datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-01-12T00:00:00.000000000,667.29,646.54694
2023-01-12T01:00:00.000000000,662.57,629.83667
2023-01-12T02:00:00.000000000,655.49,633.35579
2023-01-12T03:00:00.000000000,655.08,629.73643
2023-01-12T04:00:00.000000000,645.9,628.30234
2023-01-12T05:00:00.000000000,617.26,638.81363
2023-01-12T06:00:00.000000000,568.21,640.82866
2023-01-12T07:00:00.000000000,548.77,639.02099
2023-01-12T08:00:00.000000000,543.66,626.73534
2023-01-12T09:00:00.000000000,558.02,637.38056
2023-01-12T10:00:00.000000000,554.34,646.67185
2023-01-12T11:00:00.000000000,567.85,632.48045
2023-01-12T12:00:00.000000000,583.03,647.16544
2023-01-12T13:00:00.000000000,586.18,644.56908
2023-01-12T14:00:00.000000000,575.42,633.36242
2023-01-12T15:00:00.000000000,581.86,631.08235
2023-01-12T16:00:00.000000000,578.69,647.21383
2023-01-12T17:00:00.000000000,578.71,628.84312
2023-01-12T18:00:00.000000000,575.89,629.89302
2023-01-12T19:00:00.000000000,575.2,651.86724
2023-01-12T20:00:00.000000000,581.06,660.1576
2023-01-12T21:00:00.000000000,591.49,653.61003
2023-01-12T22:00:00.000000000,603.16,633.86213
2023-01-12T23:00:00.000000000,604.66,641.61719
2023-01-13T00:00:00.000000000,595.1,625.82466
2023-01-13T01:00:00.000000000,574.24,595.08235
2023-01-13T02:00:00.000000000,577.53,605.05951
2023-01-13T03:00:00.000000000,573.54,601.41715
2023-01-13T04:00:00.000000000,582.9,606.19447
2023-01-13T05:00:00.000000000,592.61,616.8292
2023-01-13T06:00:00.000000000,585.75,623.19476
2023-01-13T07:00:00.000000000,596.66,605.60574
2023-01-13T08:00:00.000000000,614.26,612.9746
2023-01-13T09:00:00.000000000,616.77,652.26078
2023-01-13T10:00:00.000000000,614.89,653.61924
2023-01-13T11:00:00.000000000,638.31,649.33907
2023-01-13T12:00:00.000000000,657.62,672.21568
2023-01-13T13:00:00.000000000,650.71,658.89047
2023-01-13T14:00:00.000000000,654.87,665.39307
2023-01-13T15:00:00.000000000,666.34,647.73759
2023-01-13T16:00:00.000000000,674.21,673.92358
2023-01-13T17:00:00.000000000,681.14,691.48609
2023-01-13T18:00:00.000000000,680.38,695.89156
2023-01-13T19:00:00.000000000,681.82,700.93672
2023-01-13T20:00:00.000000000,677.13,715.97497
2023-01-13T21:00:00.000000000,681.78,711.05218
2023-01-13T22:00:00.000000000,682.97,691.99031
2023-01-13T23:00:00.000000000,680.94,685.74785
2023-01-14T00:00:00.000000000,676.88,648.97544
2023-01-14T01:00:00.000000000,677.34,632.93958
2023-01-14T02:00:00.000000000,673.09,636.56086
2023-01-14T03:00:00.000000000,670.01,630.68577
