datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-06-28T00:00:00.000000000,227.83,220.75166
2023-06-28T01:00:00.000000000,215.53,203.89882
2023-06-28T02:00:00.000000000,177.12,194.82295
2023-06-28T03:00:00.000000000,168.82,189.12356
2023-06-28T04:00:00.000000000,169.98,187.31622
2023-06-28T05:00:00.000000000,169.24,190.88746
2023-06-28T06:00:00.000000000,195.16,199.42452
2023-06-28T07:00:00.000000000,216.06,211.59587
2023-06-28T08:00:00.000000000,187.92,226.07463
2023-06-28T09:00:00.000000000,197.59,237.05421
2023-06-28T10:00:00.000000000,217.71,250.0963
2023-06-28T11:00:00.000000000,210.45,263.76115
2023-06-28T12:00:00.000000000,214.4,265.13088
2023-06-28T13:00:00.000000000,214.32,263.91905
2023-06-28T14:00:00.000000000,215.36,263.24368
2023-06-28T15:00:00.000000000,211.05,260.86676
2023-06-28T16:00:00.000000000,254.97,261.00658
2023-06-28T17:00:00.000000000,273.39,270.38634
2023-06-28T18:00:00.000000000,253.15,269.64275
2023-06-28T19:00:00.000000000,239.74,269.87609
2023-06-28T20:00:00.000000000,284.08,257.84235
2023-06-28T21:00:00.000000000,268.02,250.51032
2023-06-28T22:00:00.000000000,224.14,243.46674
2023-06-28T23:00:00.000000000,202.17,234.20997
2023-06-29T00:00:00.000000000,211.41,222.80149
2023-06-29T01:00:00.000000000,221.11,207.80642
2023-06-29T02:00:00.000000000,187.77,197.20539
2023-06-29T03:00:00.000000000,172.36,188.86072
2023-06-29T04:00:00.000000000,162.61,181.51055
2023-06-29T05:00:00.000000000,149.03,180.86864
2023-06-29T06:00:00.000000000,156.34,186.75553
2023-06-29T07:00:00.000000000,142.91,197.33461
2023-06-29T08:00:00.000000000,145.95,210.22062
2023-06-29T09:00:00.000000000,163.24,221.85958
2023-06-29T10:00:00.000000000,181.13,235.36568
2023-06-29T11:00:00.000000000,188.32,250.86618
2023-06-29T12:00:00.000000000,196.23,255.93782
2023-06-29T13:00:00.000000000,168.8,257.76347
2023-06-29T14:00:00.000000000,156.77,257.8192
2023-06-29T15:00:00.000000000,187.59,255.62387
2023-06-29T16:00:00.000000000,198.74,253.42332
2023-06-29T17:00:00.000000000,221.59,261.47321
2023-06-29T18:00:00.000000000,222.02,262.234
2023-06-29T19:00:00.000000000,209.32,263.18715
2023-06-29T20:00:00.000000000,166.54,255.59314
2023-06-29T21:00:00.000000000,156.77,249.7524
2023-06-29T22:00:00.000000000,149.6,244.17405
2023-06-29T23:00:00.000000000,153.11,235.88405
2023-06-30T00:00:00.000000000,149.47,222.6375
2023-06-30T01:00:00.000000000,135.99,208.03159
2023-06-30T02:00:00.000000000,111.9,196.14048
2023-06-30T03:00:00.000000000,102.46,186.69208
2023-06-30T04:00:00.000000000,110.57,176.72544
2023-06-30T05:00:00.000000000,118.18,173.98578
2023-06-30T06:00:00.000000000,143.61,180.35941
2023-06-30T07:00:00.000000000,169.87,191.93281
2023-06-30T08:00:00.000000000,156.65,204.89869
2023-06-30T09:00:00.000000000,176.36,216.92427
2023-06-30T10:00:00.000000000,191.72,230.38417
2023-06-30T11:00:00.000000000,196.64,247.02284
2023-06-30T12:00:00.000000000,193.81,253.75465
2023-06-30T13:00:00.000000000,189.9,256.91222
2023-06-30T14:00:00.000000000,183.48,257.40691
2023-06-30T15:00:00.000000000,211.16,254.90324
2023-06-30T16:00:00.000000000,208.76,252.00837
2023-06-30T17:00:00.000000000,252.8,259.50506
2023-06-30T18:00:00.000000000,250.04,261.40131
2023-06-30T19:00:00.000000000,262.37,262.26694
2023-06-30T20:00:00.000000000,217.61,257.07582
2023-06-30T21:00:00.000000000,226.98,251.78018
2023-06-30T22:00:00.000000000,219.59,246.55406
2023-06-30T23:00:00.000000000,216.11,237.62954
2023-07-01T00:00:00.000000000,192.39,225.67263
2023-07-01T01:00:00.000000000,186.26,211.12222
2023-07-01T02:00:00.000000000,186.22,198.39591
2023-07-01T03:00:00.000000000,180.61,187.93819
2023-07-01T04:00:00.000000000,182.74,176.242
2023-07-01T05:00:00.000000000,190.7,172.73747
2023-07-01T06:00:00.000000000,208.23,178.91775
2023-07-01T07:00:00.000000000,191.89,190.60686
2023-07-01T08:00:00.000000000,214.35,203.13568
2023-07-01T09:00:00.000000000,205.27,214.92639
2023-07-01T10:00:00.000000000,214.37,228.68062
2023-07-01T11:00:00.000000000,229.12,246.00529
2023-07-01T12:00:00.000000000,217.12,253.84018
2023-07-01T13:00:00.000000000,218.08,257.84038
2023-07-01T14:00:00.000000000,208.56,258.35101
2023-07-01T15:00:00.000000000,190.47,255.52019
2023-07-01T16:00:00.000000000,236.79,252.50641
2023-07-01T17:00:00.000000000,240.93,260.52638
2023-07-01T18:00:00.000000000,269.36,264.09254
2023-07-01T19:00:00.000000000,284.0,265.66527
2023-07-01T20:00:00.000000000,278.24,261.45987
2023-07-01T21:00:00.000000000,270.22,255.94219
2023-07-01T22:00:00.000000000,255.49,250.74494
2023-07-01T23:00:00.000000000,246.8,241.23923
2023-06-29T00:00:00.000000000,211.41,213.40688
2023-06-29T01:00:00.000000000,221.11,199.47158
2023-06-29T02:00:00.000000000,187.77,188.61541
2023-06-29T03:00:00.000000000,172.36,179.62496
2023-06-29T04:00:00.000000000,162.61,173.69302
2023-06-29T05:00:00.000000000,149.03,173.07281
2023-06-29T06:00:00.000000000,156.34,177.6145
2023-06-29T07:00:00.000000000,142.91,186.9339
2023-06-29T08:00:00.000000000,145.95,195.30239
2023-06-29T09:00:00.000000000,163.24,200.53217
2023-06-29T10:00:00.000000000,181.13,211.33402
2023-06-29T11:00:00.000000000,188.32,224.30244
2023-06-29T12:00:00.000000000,196.23,229.35092
2023-06-29T13:00:00.000000000,168.8,230.25458
2023-06-29T14:00:00.000000000,156.77,233.13019
2023-06-29T15:00:00.000000000,187.59,234.14755
2023-06-29T16:00:00.000000000,198.74,238.32656
2023-06-29T17:00:00.000000000,221.59,250.7844
2023-06-29T18:00:00.000000000,222.02,255.40684
2023-06-29T19:00:00.000000000,209.32,257.6613
2023-06-29T20:00:00.000000000,166.54,250.37237
2023-06-29T21:00:00.000000000,156.77,243.37597
2023-06-29T22:00:00.000000000,149.6,236.87156
2023-06-29T23:00:00.000000000,153.11,227.1804
2023-06-30T00:00:00.000000000,149.47,217.94715
2023-06-30T01:00:00.000000000,135.99,204.3452
2023-06-30T02:00:00.000000000,111.9,192.36348
2023-06-30T03:00:00.000000000,102.46,182.64169
2023-06-30T04:00:00.000000000,110.57,173.33961
2023-06-30T05:00:00.000000000,118.18,170.52052
2023-06-30T06:00:00.000000000,143.61,176.40848
2023-06-30T07:00:00.000000000,169.87,187.13547
2023-06-30T08:00:00.000000000,156.65,197.09521
2023-06-30T09:00:00.000000000,176.36,205.27044
2023-06-30T10:00:00.000000000,191.72,216.43247
2023-06-30T11:00:00.000000000,196.64,231.19645
2023-06-30T12:00:00.000000000,193.81,237.66501
2023-06-30T13:00:00.000000000,189.9,240.38564
2023-06-30T14:00:00.000000000,183.48,242.316
2023-06-30T15:00:00.000000000,211.16,241.56832
2023-06-30T16:00:00.000000000,208.76,241.64277
2023-06-30T17:00:00.000000000,252.8,251.01934
2023-06-30T18:00:00.000000000,250.04,255.40668
2023-06-30T19:00:00.000000000,262.37,257.09695
2023-06-30T20:00:00.000000000,217.61,252.69183
2023-06-30T21:00:00.000000000,226.98,247.07734
2023-06-30T22:00:00.000000000,219.59,241.69112
2023-06-30T23:00:00.000000000,216.11,232.70337
2023-07-01T00:00:00.000000000,192.39,222.85264
2023-07-01T01:00:00.000000000,186.26,208.52358
2023-07-01T02:00:00.000000000,186.22,196.3659
2023-07-01T03:00:00.000000000,180.61,186.18292
2023-07-01T04:00:00.000000000,182.74,176.23079
2023-07-01T05:00:00.000000000,190.7,173.45397
2023-07-01T06:00:00.000000000,208.23,179.60782
2023-07-01T07:00:00.000000000,191.89,191.0891
2023-07-01T08:00:00.000000000,214.35,202.06089
2023-07-01T09:00:00.000000000,205.27,211.49158
2023-07-01T10:00:00.000000000,214.37,223.28917
2023-07-01T11:00:00.000000000,229.12,238.92763
2023-07-01T12:00:00.000000000,217.12,245.5299
2023-07-01T13:00:00.000000000,218.08,248.08063
2023-07-01T14:00:00.000000000,208.56,248.9162
2023-07-01T15:00:00.000000000,190.47,246.80678
2023-07-01T16:00:00.000000000,236.79,245.8041
2023-07-01T17:00:00.000000000,240.93,254.62957
2023-07-01T18:00:00.000000000,269.36,259.58325
2023-07-01T19:00:00.000000000,284.0,261.94447
2023-07-01T20:00:00.000000000,278.24,257.67725
2023-07-01T21:00:00.000000000,270.22,252.45184
2023-07-01T22:00:00.000000000,255.49,247.37747
2023-07-01T23:00:00.000000000,246.8,238.1587
2023-07-02T00:00:00.000000000,243.41,226.10604
