UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-10-19T00:00:00.000000000,2024-07-17 00:00:00,3.1,240.33,209.70877
2022-10-19T01:00:00.000000000,2024-07-17 00:00:00,3.1,240.6,212.6637
2022-10-19T02:00:00.000000000,2024-07-17 00:00:00,3.1,239.72,218.50435
2022-10-19T03:00:00.000000000,2024-07-17 00:00:00,3.1,237.82,228.23407
2022-10-19T04:00:00.000000000,2024-07-17 00:00:00,3.1,232.91,236.82085
2022-10-19T05:00:00.000000000,2024-07-17 00:00:00,3.1,234.5,243.66511
2022-10-19T06:00:00.000000000,2024-07-17 00:00:00,3.1,233.1,245.2986
2022-10-19T07:00:00.000000000,2024-07-17 00:00:00,3.1,219.25,243.44427
2022-10-19T08:00:00.000000000,2024-07-17 00:00:00,3.1,201.82,241.2759
2022-10-19T09:00:00.000000000,2024-07-17 00:00:00,3.1,188.79,235.31688
2022-10-19T10:00:00.000000000,2024-07-17 00:00:00,3.1,181.2,229.32297
2022-10-19T11:00:00.000000000,2024-07-17 00:00:00,3.1,187.42,224.61996
2022-10-19T12:00:00.000000000,2024-07-17 00:00:00,3.1,190.66,221.495
2022-10-19T13:00:00.000000000,2024-07-17 00:00:00,3.1,187.11,228.62798
2022-10-19T14:00:00.000000000,2024-07-17 00:00:00,3.1,204.21,233.00008
2022-10-19T15:00:00.000000000,2024-07-17 00:00:00,3.1,232.08,244.3668
2022-10-19T16:00:00.000000000,2024-07-17 00:00:00,3.1,242.49,254.64162
2022-10-19T17:00:00.000000000,2024-07-17 00:00:00,3.1,243.49,252.30755
2022-10-19T18:00:00.000000000,2024-07-17 00:00:00,3.1,235.95,256.95693
2022-10-19T19:00:00.000000000,2024-07-17 00:00:00,3.1,223.46,254.95272
2022-10-19T20:00:00.000000000,2024-07-17 00:00:00,3.1,219.99,242.39873
2022-10-19T21:00:00.000000000,2024-07-17 00:00:00,3.1,230.71,235.09884
2022-10-19T22:00:00.000000000,2024-07-17 00:00:00,3.1,223.59,225.38532
2022-10-19T23:00:00.000000000,2024-07-17 00:00:00,3.1,220.53,218.22623
2022-10-20T00:00:00.000000000,2024-07-17 00:00:00,3.1,225.57,191.58136
2022-10-20T01:00:00.000000000,2024-07-17 00:00:00,3.1,217.25,193.97445
2022-10-20T02:00:00.000000000,2024-07-17 00:00:00,3.1,218.96,200.35291
2022-10-20T03:00:00.000000000,2024-07-17 00:00:00,3.1,226.77,208.75968
2022-10-20T04:00:00.000000000,2024-07-17 00:00:00,3.1,235.84,218.88907
2022-10-20T05:00:00.000000000,2024-07-17 00:00:00,3.1,241.78,228.83963
2022-10-20T06:00:00.000000000,2024-07-17 00:00:00,3.1,240.33,233.02192
2022-10-20T07:00:00.000000000,2024-07-17 00:00:00,3.1,237.07,234.85175
2022-10-20T08:00:00.000000000,2024-07-17 00:00:00,3.1,238.74,236.58186
2022-10-20T09:00:00.000000000,2024-07-17 00:00:00,3.1,244.06,232.56179
2022-10-20T10:00:00.000000000,2024-07-17 00:00:00,3.1,233.66,225.87651
2022-10-20T11:00:00.000000000,2024-07-17 00:00:00,3.1,211.17,221.82643
2022-10-20T12:00:00.000000000,2024-07-17 00:00:00,3.1,186.23,217.10389
2022-10-20T13:00:00.000000000,2024-07-17 00:00:00,3.1,183.83,221.0645
2022-10-20T14:00:00.000000000,2024-07-17 00:00:00,3.1,205.64,226.7932
2022-10-20T15:00:00.000000000,2024-07-17 00:00:00,3.1,217.51,238.51272
2022-10-20T16:00:00.000000000,2024-07-17 00:00:00,3.1,242.03,248.03035
2022-10-20T17:00:00.000000000,2024-07-17 00:00:00,3.1,243.61,246.55765
2022-10-20T18:00:00.000000000,2024-07-17 00:00:00,3.1,239.91,250.40347
2022-10-20T19:00:00.000000000,2024-07-17 00:00:00,3.1,237.89,248.07385
2022-10-20T20:00:00.000000000,2024-07-17 00:00:00,3.1,225.45,235.99415
2022-10-20T21:00:00.000000000,2024-07-17 00:00:00,3.1,231.34,225.61519
2022-10-20T22:00:00.000000000,2024-07-17 00:00:00,3.1,222.47,216.30263
2022-10-20T23:00:00.000000000,2024-07-17 00:00:00,3.1,219.4,206.32352
2022-10-21T00:00:00.000000000,2024-07-17 00:00:00,3.1,222.85,176.31304
2022-10-21T01:00:00.000000000,2024-07-17 00:00:00,3.1,229.85,176.95465
2022-10-21T02:00:00.000000000,2024-07-17 00:00:00,3.1,229.38,184.10239
2022-10-21T03:00:00.000000000,2024-07-17 00:00:00,3.1,226.61,190.05731
2022-10-21T04:00:00.000000000,2024-07-17 00:00:00,3.1,234.58,197.152
2022-10-21T05:00:00.000000000,2024-07-17 00:00:00,3.1,241.52,202.63406
2022-10-21T06:00:00.000000000,2024-07-17 00:00:00,3.1,246.52,205.79232
2022-10-21T07:00:00.000000000,2024-07-17 00:00:00,3.1,248.01,207.78082
2022-10-21T08:00:00.000000000,2024-07-17 00:00:00,3.1,232.55,210.85476
2022-10-21T09:00:00.000000000,2024-07-17 00:00:00,3.1,213.35,212.2602
2022-10-21T10:00:00.000000000,2024-07-17 00:00:00,3.1,203.65,208.00197
2022-10-21T11:00:00.000000000,2024-07-17 00:00:00,3.1,201.96,210.6655
2022-10-21T12:00:00.000000000,2024-07-17 00:00:00,3.1,180.92,208.99307
2022-10-21T13:00:00.000000000,2024-07-17 00:00:00,3.1,184.45,213.25467
2022-10-21T14:00:00.000000000,2024-07-17 00:00:00,3.1,198.96,216.07053
2022-10-21T15:00:00.000000000,2024-07-17 00:00:00,3.1,222.23,226.25176
2022-10-21T16:00:00.000000000,2024-07-17 00:00:00,3.1,233.13,229.07068
2022-10-21T17:00:00.000000000,2024-07-17 00:00:00,3.1,233.38,225.40029
2022-10-21T18:00:00.000000000,2024-07-17 00:00:00,3.1,230.93,227.48601
2022-10-21T19:00:00.000000000,2024-07-17 00:00:00,3.1,229.1,222.31336
2022-10-21T20:00:00.000000000,2024-07-17 00:00:00,3.1,215.29,209.55206
2022-10-21T21:00:00.000000000,2024-07-17 00:00:00,3.1,207.34,201.66265
2022-10-21T22:00:00.000000000,2024-07-17 00:00:00,3.1,207.72,194.77959
2022-10-21T23:00:00.000000000,2024-07-17 00:00:00,3.1,200.63,189.70631
2022-10-22T00:00:00.000000000,2024-07-17 00:00:00,3.1,184.45,169.5857
2022-10-22T01:00:00.000000000,2024-07-17 00:00:00,3.1,177.65,169.49556
2022-10-22T02:00:00.000000000,2024-07-17 00:00:00,3.1,181.45,171.35658
2022-10-22T03:00:00.000000000,2024-07-17 00:00:00,3.1,182.69,173.34797
2022-10-22T04:00:00.000000000,2024-07-17 00:00:00,3.1,181.34,184.57099
2022-10-22T05:00:00.000000000,2024-07-17 00:00:00,3.1,185.24,194.30409
2022-10-22T06:00:00.000000000,2024-07-17 00:00:00,3.1,197.74,198.7975
2022-10-22T07:00:00.000000000,2024-07-17 00:00:00,3.1,205.43,204.061
2022-10-22T08:00:00.000000000,2024-07-17 00:00:00,3.1,197.87,208.12612
2022-10-22T09:00:00.000000000,2024-07-17 00:00:00,3.1,187.76,208.33974
2022-10-22T10:00:00.000000000,2024-07-17 00:00:00,3.1,180.21,202.70671
2022-10-22T11:00:00.000000000,2024-07-17 00:00:00,3.1,167.5,202.53588
2022-10-22T12:00:00.000000000,2024-07-17 00:00:00,3.1,166.93,195.76031
2022-10-22T13:00:00.000000000,2024-07-17 00:00:00,3.1,171.87,199.67146
2022-10-22T14:00:00.000000000,2024-07-17 00:00:00,3.1,185.64,206.74243
2022-10-22T15:00:00.000000000,2024-07-17 00:00:00,3.1,204.3,217.92934
2022-10-22T16:00:00.000000000,2024-07-17 00:00:00,3.1,216.56,229.2271
2022-10-22T17:00:00.000000000,2024-07-17 00:00:00,3.1,221.18,230.98371
2022-10-22T18:00:00.000000000,2024-07-17 00:00:00,3.1,219.13,236.55621
2022-10-22T19:00:00.000000000,2024-07-17 00:00:00,3.1,213.26,235.11801
