UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-12-22T00:00:00.000000000,2024-07-17 00:00:00,3.1,371.56,362.91326
2023-12-22T01:00:00.000000000,2024-07-17 00:00:00,3.1,372.67,362.02787
2023-12-22T02:00:00.000000000,2024-07-17 00:00:00,3.1,369.16,363.30633
2023-12-22T03:00:00.000000000,2024-07-17 00:00:00,3.1,369.61,366.8675
2023-12-22T04:00:00.000000000,2024-07-17 00:00:00,3.1,372.73,372.12165
2023-12-22T05:00:00.000000000,2024-07-17 00:00:00,3.1,371.64,377.30645
2023-12-22T06:00:00.000000000,2024-07-17 00:00:00,3.1,368.71,381.81317
2023-12-22T07:00:00.000000000,2024-07-17 00:00:00,3.1,362.13,384.87043
2023-12-22T08:00:00.000000000,2024-07-17 00:00:00,3.1,354.04,386.91266
2023-12-22T09:00:00.000000000,2024-07-17 00:00:00,3.1,347.78,388.18933
2023-12-22T10:00:00.000000000,2024-07-17 00:00:00,3.1,371.17,389.37131
2023-12-22T11:00:00.000000000,2024-07-17 00:00:00,3.1,371.54,390.73852
2023-12-22T12:00:00.000000000,2024-07-17 00:00:00,3.1,379.98,392.28043
2023-12-22T13:00:00.000000000,2024-07-17 00:00:00,3.1,390.2,394.24394
2023-12-22T14:00:00.000000000,2024-07-17 00:00:00,3.1,393.69,396.55426
2023-12-22T15:00:00.000000000,2024-07-17 00:00:00,3.1,395.12,399.34076
2023-12-22T16:00:00.000000000,2024-07-17 00:00:00,3.1,395.2,401.77163
2023-12-22T17:00:00.000000000,2024-07-17 00:00:00,3.1,392.19,403.36781
2023-12-22T18:00:00.000000000,2024-07-17 00:00:00,3.1,390.92,402.79155
2023-12-22T19:00:00.000000000,2024-07-17 00:00:00,3.1,392.54,399.93352
2023-12-22T20:00:00.000000000,2024-07-17 00:00:00,3.1,399.12,395.52518
2023-12-22T21:00:00.000000000,2024-07-17 00:00:00,3.1,394.98,389.93636
2023-12-22T22:00:00.000000000,2024-07-17 00:00:00,3.1,387.48,384.4531
2023-12-22T23:00:00.000000000,2024-07-17 00:00:00,3.1,397.48,379.71415
2023-12-23T00:00:00.000000000,2024-07-17 00:00:00,3.1,397.4,376.43195
2023-12-23T01:00:00.000000000,2024-07-17 00:00:00,3.1,394.52,372.69639
2023-12-23T02:00:00.000000000,2024-07-17 00:00:00,3.1,393.84,373.22404
2023-12-23T03:00:00.000000000,2024-07-17 00:00:00,3.1,392.04,378.63767
2023-12-23T04:00:00.000000000,2024-07-17 00:00:00,3.1,387.51,387.85858
2023-12-23T05:00:00.000000000,2024-07-17 00:00:00,3.1,393.14,398.7358
2023-12-23T06:00:00.000000000,2024-07-17 00:00:00,3.1,391.32,409.59959
2023-12-23T07:00:00.000000000,2024-07-17 00:00:00,3.1,395.45,418.48091
2023-12-23T08:00:00.000000000,2024-07-17 00:00:00,3.1,391.09,424.77799
2023-12-23T09:00:00.000000000,2024-07-17 00:00:00,3.1,386.46,428.48271
2023-12-23T10:00:00.000000000,2024-07-17 00:00:00,3.1,390.75,430.02234
2023-12-23T11:00:00.000000000,2024-07-17 00:00:00,3.1,388.15,430.56306
2023-12-23T12:00:00.000000000,2024-07-17 00:00:00,3.1,385.26,430.50657
2023-12-23T13:00:00.000000000,2024-07-17 00:00:00,3.1,387.07,430.73803
2023-12-23T14:00:00.000000000,2024-07-17 00:00:00,3.1,384.16,432.25979
2023-12-23T15:00:00.000000000,2024-07-17 00:00:00,3.1,384.74,435.16847
2023-12-23T16:00:00.000000000,2024-07-17 00:00:00,3.1,387.88,438.23895
2023-12-23T17:00:00.000000000,2024-07-17 00:00:00,3.1,385.1,440.50841
2023-12-23T18:00:00.000000000,2024-07-17 00:00:00,3.1,383.03,440.46919
2023-12-23T19:00:00.000000000,2024-07-17 00:00:00,3.1,382.98,437.32389
2023-12-23T20:00:00.000000000,2024-07-17 00:00:00,3.1,378.99,431.2107
2023-12-23T21:00:00.000000000,2024-07-17 00:00:00,3.1,378.99,422.55019
2023-12-23T22:00:00.000000000,2024-07-17 00:00:00,3.1,368.72,413.00541
2023-12-23T23:00:00.000000000,2024-07-17 00:00:00,3.1,358.22,403.63349
2023-12-24T00:00:00.000000000,2024-07-17 00:00:00,3.1,359.13,395.05239
2023-12-24T01:00:00.000000000,2024-07-17 00:00:00,3.1,359.02,393.87597
2023-12-24T02:00:00.000000000,2024-07-17 00:00:00,3.1,360.24,395.02368
2023-12-24T03:00:00.000000000,2024-07-17 00:00:00,3.1,359.62,399.13885
2023-12-24T04:00:00.000000000,2024-07-17 00:00:00,3.1,357.55,405.33734
2023-12-24T05:00:00.000000000,2024-07-17 00:00:00,3.1,360.21,412.50352
2023-12-24T06:00:00.000000000,2024-07-17 00:00:00,3.1,355.49,419.54471
2023-12-24T07:00:00.000000000,2024-07-17 00:00:00,3.1,350.03,425.23698
2023-12-24T08:00:00.000000000,2024-07-17 00:00:00,3.1,353.14,429.57484
2023-12-24T09:00:00.000000000,2024-07-17 00:00:00,3.1,346.68,432.86734
2023-12-24T10:00:00.000000000,2024-07-17 00:00:00,3.1,343.17,435.3158
2023-12-24T11:00:00.000000000,2024-07-17 00:00:00,3.1,352.19,437.57887
2023-12-24T12:00:00.000000000,2024-07-17 00:00:00,3.1,357.96,439.63708
