UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast,avg_unknown_production_forecast
2023-02-03 00:00:00,2024-07-17 00:00:00,3.1,3.6501005478582176,259.63286428631926,257.67016300607884,0.0,0.0687084260770141,1460.33397,442.4275,2764.30598,1.92331,1582.20758,0.0,497.00001,937.5681,117.09484
2023-02-03 01:00:00,2024-07-17 00:00:00,3.1,3.526898233273088,259.5688584801897,257.6318863342688,0.0,0.0340211487334776,1469.36397,452.318,2759.41939,1.31259,1508.47987,0.0,473.0,928.00961,117.55385
2023-02-03 02:00:00,2024-07-17 00:00:00,3.1,3.526898233273088,259.5688584801897,257.6318863342688,0.0,0.0340211487334776,1477.46989,458.02679,2759.628,2.10977,1565.95459,0.0,476.00001,934.74193,117.23718
2023-02-03 03:00:00,2024-07-17 00:00:00,3.1,3.526898233273088,259.5688584801897,257.6318863342688,0.0,0.0340211487334776,1490.80406,450.84312,2757.53275,0.46254,1690.66054,0.0,488.00001,943.26906,116.92139
2023-02-03 04:00:00,2024-07-17 00:00:00,3.1,3.229585638678123,259.13864526863654,257.04248696201546,0.0,0.0684857812418495,1488.82257,451.64297,2759.65069,2.81044,1794.28527,0.0,507.0,940.18999,116.38076
2023-02-03 05:00:00,2024-07-17 00:00:00,3.1,3.229585638678123,259.13864526863654,257.04248696201546,0.0,0.0684857812418495,1499.88027,464.56447,2762.59651,2.08761,1903.88358,0.0,505.0,937.80906,118.64906
2023-02-03 06:00:00,2024-07-17 00:00:00,3.1,3.229585638678123,259.13864526863654,257.04248696201546,0.0,0.0684857812418495,1514.36855,474.79737,2759.46245,2.3161,2057.12009,0.0,509.00001,937.11376,120.33246
2023-02-03 07:00:00,2024-07-17 00:00:00,3.1,3.189071900072545,261.11168790395345,258.9465597854733,31.880256187443777,0.0177950415848608,1534.96191,485.76999,2762.29603,0.7739,2149.75337,0.0,505.0,935.784,120.33685
2023-02-03 08:00:00,2024-07-17 00:00:00,3.1,3.189071900072545,261.11168790395345,258.9465597854733,31.880256187443777,0.0177950415848608,1587.67157,482.92228,2760.43236,0.32468,2206.25443,0.0,457.99999,940.87307,121.69026
2023-02-03 09:00:00,2024-07-17 00:00:00,3.1,3.189071900072545,261.11168790395345,258.9465597854733,31.880256187443777,0.0177950415848608,1643.89758,485.35767,2748.17787,1.15855,2187.2319,0.0,478.99999,941.54979,122.81842
2023-02-03 10:00:00,2024-07-17 00:00:00,3.1,3.2101802540426543,263.3990411386634,261.1121018050991,71.77761932603649,0.0485084546148928,1725.36173,481.83597,2742.26778,1.62477,2132.16375,0.0,494.0,943.68476,123.91563
2023-02-03 11:00:00,2024-07-17 00:00:00,3.1,3.2101802540426543,263.3990411386634,261.1121018050991,71.77761932603649,0.0485084546148928,1794.85562,484.96308,2757.32797,0.33339,2113.81675,0.0,595.0,945.83754,123.05802
2023-02-03 12:00:00,2024-07-17 00:00:00,3.1,3.2101802540426543,263.3990411386634,261.1121018050991,71.77761932603649,0.0485084546148928,1837.67334,487.34574,2760.23619,0.0,2059.89093,0.0,761.00002,940.22173,121.99794
2023-02-03 13:00:00,2024-07-17 00:00:00,3.1,3.107066072359178,260.9001623466904,258.6248235343555,33.16293445237975,0.0585291221249416,1845.95776,479.37466,2762.89001,2.79394,2062.44075,0.0,1001.99997,941.78412,119.49202
2023-02-03 14:00:00,2024-07-17 00:00:00,3.1,3.107066072359178,260.9001623466904,258.6248235343555,33.16293445237975,0.0585291221249416,1808.42734,474.00701,2768.22786,2.20737,2078.13582,0.0,1189.00002,941.88348,116.26723
2023-02-03 15:00:00,2024-07-17 00:00:00,3.1,3.107066072359178,260.9001623466904,258.6248235343555,33.16293445237975,0.0585291221249416,1773.03477,462.58991,2770.80007,1.62713,2077.23993,0.0,1348.99997,946.88804,112.26455
2023-02-03 16:00:00,2024-07-17 00:00:00,3.1,2.8359833504632066,260.41291797456176,258.0941520892123,16.58154507495884,0.1010564908799563,1727.05207,458.43515,2771.64927,1.69616,2096.83072,0.0,1422.99999,942.74392,112.36918
