UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-07-17T00:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,232.33413
2023-07-17T01:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,238.56588
2023-07-17T02:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,233.39815
2023-07-17T03:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,218.25274
2023-07-17T04:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,241.61578
2023-07-17T05:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,232.18336
2023-07-17T06:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,250.50666
2023-07-17T07:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,281.135
2023-07-17T08:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,293.66647
2023-07-17T09:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,298.67638
2023-07-17T10:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,282.19311
2023-07-17T11:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,299.76348
2023-07-17T12:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,349.57632
2023-07-17T13:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,333.45418
2023-07-17T14:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,345.43677
2023-07-17T15:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,360.24449
2023-07-17T16:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,361.12797
2023-07-17T17:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,350.23638
2023-07-17T18:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,363.74456
2023-07-17T19:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,349.62852
2023-07-17T20:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,363.06756
2023-07-17T21:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,323.72631
2023-07-17T22:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,317.38494
2023-07-17T23:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,302.24673
2023-07-18T00:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,308.44711
2023-07-18T01:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,302.65234
2023-07-18T02:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,307.41872
2023-07-18T03:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,297.12998
2023-07-18T04:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,310.61294
2023-07-18T05:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,300.49467
2023-07-18T06:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,314.19717
2023-07-18T07:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,331.3068
2023-07-18T08:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,336.08598
2023-07-18T09:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,340.7433
2023-07-18T10:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,320.11171
2023-07-18T11:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,355.86247
2023-07-18T12:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,373.08666
2023-07-18T13:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,375.5805
2023-07-18T14:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,372.05199
2023-07-18T15:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,403.69677
2023-07-18T16:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,383.37813
2023-07-18T17:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,396.5962
2023-07-18T18:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,388.77625
2023-07-18T19:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,387.71162
2023-07-18T20:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,377.48503
2023-07-18T21:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,353.48436
2023-07-18T22:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,334.09728
2023-07-18T23:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,326.35499
2023-07-19T00:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,308.58916
2023-07-19T01:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,303.73884
2023-07-19T02:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,310.59043
2023-07-19T03:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,298.00594
2023-07-19T04:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,311.77534
2023-07-19T05:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,298.3145
2023-07-19T06:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,312.82431
2023-07-19T07:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,329.89587
2023-07-19T08:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,332.11717
2023-07-19T09:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,336.3532
2023-07-19T10:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,316.82367
2023-07-19T11:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,345.00739
2023-07-19T12:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,361.58897
2023-07-19T13:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,367.171
2023-07-19T14:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,363.8359
2023-07-19T15:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,391.68515
2023-07-19T16:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,374.88156
2023-07-19T17:00:00.000000000,2024-07-17 00:00:00,3.1,169.37,386.79077
