UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-07-25T00:00:00.000000000,2024-07-17 00:00:00,3.1,181.49,168.22439
2023-07-25T01:00:00.000000000,2024-07-17 00:00:00,3.1,181.48,172.63267
2023-07-25T02:00:00.000000000,2024-07-17 00:00:00,3.1,174.44,175.4124
2023-07-25T03:00:00.000000000,2024-07-17 00:00:00,3.1,173.02,174.6979
2023-07-25T04:00:00.000000000,2024-07-17 00:00:00,3.1,171.39,170.77209
2023-07-25T05:00:00.000000000,2024-07-17 00:00:00,3.1,167.08,165.75934
2023-07-25T06:00:00.000000000,2024-07-17 00:00:00,3.1,170.69,161.63953
2023-07-25T07:00:00.000000000,2024-07-17 00:00:00,3.1,168.61,159.75628
2023-07-25T08:00:00.000000000,2024-07-17 00:00:00,3.1,170.77,158.54999
2023-07-25T09:00:00.000000000,2024-07-17 00:00:00,3.1,161.52,161.0506
2023-07-25T10:00:00.000000000,2024-07-17 00:00:00,3.1,173.34,164.3678
2023-07-25T11:00:00.000000000,2024-07-17 00:00:00,3.1,173.28,168.93403
2023-07-25T12:00:00.000000000,2024-07-17 00:00:00,3.1,172.51,171.7424
2023-07-25T13:00:00.000000000,2024-07-17 00:00:00,3.1,164.46,172.45975
2023-07-25T14:00:00.000000000,2024-07-17 00:00:00,3.1,168.65,171.03112
2023-07-25T15:00:00.000000000,2024-07-17 00:00:00,3.1,170.81,167.25729
2023-07-25T16:00:00.000000000,2024-07-17 00:00:00,3.1,185.0,163.28255
2023-07-25T17:00:00.000000000,2024-07-17 00:00:00,3.1,188.85,159.68802
2023-07-25T18:00:00.000000000,2024-07-17 00:00:00,3.1,186.59,157.77475
2023-07-25T19:00:00.000000000,2024-07-17 00:00:00,3.1,192.64,158.47148
2023-07-25T20:00:00.000000000,2024-07-17 00:00:00,3.1,200.44,160.79052
2023-07-25T21:00:00.000000000,2024-07-17 00:00:00,3.1,206.78,165.21079
2023-07-25T22:00:00.000000000,2024-07-17 00:00:00,3.1,213.87,170.20063
2023-07-25T23:00:00.000000000,2024-07-17 00:00:00,3.1,214.24,175.99095
2023-07-26T00:00:00.000000000,2024-07-17 00:00:00,3.1,203.69,170.71216
2023-07-26T01:00:00.000000000,2024-07-17 00:00:00,3.1,200.03,173.51249
2023-07-26T02:00:00.000000000,2024-07-17 00:00:00,3.1,201.76,174.26278
2023-07-26T03:00:00.000000000,2024-07-17 00:00:00,3.1,206.71,171.77158
2023-07-26T04:00:00.000000000,2024-07-17 00:00:00,3.1,180.53,166.3245
2023-07-26T05:00:00.000000000,2024-07-17 00:00:00,3.1,191.7,160.41474
2023-07-26T06:00:00.000000000,2024-07-17 00:00:00,3.1,187.82,155.92858
2023-07-26T07:00:00.000000000,2024-07-17 00:00:00,3.1,186.55,154.29437
2023-07-26T08:00:00.000000000,2024-07-17 00:00:00,3.1,175.51,153.72618
2023-07-26T09:00:00.000000000,2024-07-17 00:00:00,3.1,171.06,157.05548
2023-07-26T10:00:00.000000000,2024-07-17 00:00:00,3.1,158.5,161.17073
2023-07-26T11:00:00.000000000,2024-07-17 00:00:00,3.1,156.47,166.23924
2023-07-26T12:00:00.000000000,2024-07-17 00:00:00,3.1,156.86,169.43596
2023-07-26T13:00:00.000000000,2024-07-17 00:00:00,3.1,167.34,170.48378
2023-07-26T14:00:00.000000000,2024-07-17 00:00:00,3.1,171.18,169.20441
2023-07-26T15:00:00.000000000,2024-07-17 00:00:00,3.1,170.41,165.58252
2023-07-26T16:00:00.000000000,2024-07-17 00:00:00,3.1,164.03,161.69865
2023-07-26T17:00:00.000000000,2024-07-17 00:00:00,3.1,157.63,158.25436
2023-07-26T18:00:00.000000000,2024-07-17 00:00:00,3.1,157.14,156.51577
2023-07-26T19:00:00.000000000,2024-07-17 00:00:00,3.1,158.24,157.48801
2023-07-26T20:00:00.000000000,2024-07-17 00:00:00,3.1,159.4,160.18277
2023-07-26T21:00:00.000000000,2024-07-17 00:00:00,3.1,161.05,165.2069
2023-07-26T22:00:00.000000000,2024-07-17 00:00:00,3.1,162.57,170.75384
2023-07-26T23:00:00.000000000,2024-07-17 00:00:00,3.1,148.95,176.58337
2023-07-27T00:00:00.000000000,2024-07-17 00:00:00,3.1,147.79,167.74148
2023-07-27T01:00:00.000000000,2024-07-17 00:00:00,3.1,146.44,170.74669
2023-07-27T02:00:00.000000000,2024-07-17 00:00:00,3.1,146.87,171.98664
2023-07-27T03:00:00.000000000,2024-07-17 00:00:00,3.1,149.24,171.32322
2023-07-27T04:00:00.000000000,2024-07-17 00:00:00,3.1,149.07,168.81139
2023-07-27T05:00:00.000000000,2024-07-17 00:00:00,3.1,161.0,166.97927
2023-07-27T06:00:00.000000000,2024-07-17 00:00:00,3.1,164.52,167.25367
2023-07-27T07:00:00.000000000,2024-07-17 00:00:00,3.1,167.88,170.68615
2023-07-27T08:00:00.000000000,2024-07-17 00:00:00,3.1,171.12,174.51712
2023-07-27T09:00:00.000000000,2024-07-17 00:00:00,3.1,178.7,181.81428
2023-07-27T10:00:00.000000000,2024-07-17 00:00:00,3.1,184.71,187.97994
2023-07-27T11:00:00.000000000,2024-07-17 00:00:00,3.1,188.4,193.75496
2023-07-27T12:00:00.000000000,2024-07-17 00:00:00,3.1,189.66,196.39655
2023-07-27T13:00:00.000000000,2024-07-17 00:00:00,3.1,197.79,196.48821
2023-07-27T14:00:00.000000000,2024-07-17 00:00:00,3.1,187.57,193.70252
2023-07-27T15:00:00.000000000,2024-07-17 00:00:00,3.1,184.36,188.33426
2023-07-27T16:00:00.000000000,2024-07-17 00:00:00,3.1,191.57,183.92174
2023-07-27T17:00:00.000000000,2024-07-17 00:00:00,3.1,198.43,180.78993
2023-07-27T18:00:00.000000000,2024-07-17 00:00:00,3.1,202.94,180.70243
2023-07-27T19:00:00.000000000,2024-07-17 00:00:00,3.1,199.1,184.1461
2023-07-27T20:00:00.000000000,2024-07-17 00:00:00,3.1,202.37,188.55894
2023-07-27T21:00:00.000000000,2024-07-17 00:00:00,3.1,205.4,194.59369
2023-07-27T22:00:00.000000000,2024-07-17 00:00:00,3.1,216.19,199.87899
2023-07-27T23:00:00.000000000,2024-07-17 00:00:00,3.1,213.02,204.4374
2023-07-28T00:00:00.000000000,2024-07-17 00:00:00,3.1,216.15,209.78623
2023-07-28T01:00:00.000000000,2024-07-17 00:00:00,3.1,216.71,212.29123
2023-07-28T02:00:00.000000000,2024-07-17 00:00:00,3.1,218.25,213.17748
2023-07-28T03:00:00.000000000,2024-07-17 00:00:00,3.1,219.62,209.65787
2023-07-28T04:00:00.000000000,2024-07-17 00:00:00,3.1,206.97,202.54264
2023-07-28T05:00:00.000000000,2024-07-17 00:00:00,3.1,204.85,193.71763
2023-07-28T06:00:00.000000000,2024-07-17 00:00:00,3.1,201.73,186.11987
2023-07-28T07:00:00.000000000,2024-07-17 00:00:00,3.1,193.78,181.426
2023-07-28T08:00:00.000000000,2024-07-17 00:00:00,3.1,179.97,178.32468
2023-07-28T09:00:00.000000000,2024-07-17 00:00:00,3.1,171.26,179.64711
2023-07-28T10:00:00.000000000,2024-07-17 00:00:00,3.1,165.07,182.36725
2023-07-28T11:00:00.000000000,2024-07-17 00:00:00,3.1,155.42,186.42069
2023-07-28T12:00:00.000000000,2024-07-17 00:00:00,3.1,154.34,187.92768
2023-07-28T13:00:00.000000000,2024-07-17 00:00:00,3.1,160.66,186.69517
2023-07-28T14:00:00.000000000,2024-07-17 00:00:00,3.1,162.62,182.55904
2023-07-28T15:00:00.000000000,2024-07-17 00:00:00,3.1,174.75,175.42523
2023-07-28T16:00:00.000000000,2024-07-17 00:00:00,3.1,185.84,167.07523
2023-07-28T17:00:00.000000000,2024-07-17 00:00:00,3.1,191.82,159.7005
2023-07-28T18:00:00.000000000,2024-07-17 00:00:00,3.1,194.6,155.22784
2023-07-28T19:00:00.000000000,2024-07-17 00:00:00,3.1,193.69,155.25307
2023-07-28T20:00:00.000000000,2024-07-17 00:00:00,3.1,193.36,158.78485
2023-07-28T21:00:00.000000000,2024-07-17 00:00:00,3.1,201.41,165.26224
2023-07-28T22:00:00.000000000,2024-07-17 00:00:00,3.1,216.8,173.25734
2023-07-28T23:00:00.000000000,2024-07-17 00:00:00,3.1,221.98,181.12345
