UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass
2023-08-12 00:00:00,242.0,22.0,692.0,0.0,668.0,0.0,0.0,14.0
2023-08-12 01:00:00,241.0,22.0,692.0,0.0,669.0,0.0,0.0,14.0
2023-08-12 02:00:00,240.0,22.0,692.0,0.0,706.0,0.0,1.0,14.0
2023-08-12 03:00:00,241.0,23.0,693.0,0.0,696.0,0.0,1.0,14.0
2023-08-12 04:00:00,243.0,23.0,693.0,0.0,710.0,7.0,1.0,13.0
2023-08-12 05:00:00,291.0,25.0,692.0,0.0,807.0,33.0,0.0,14.0
2023-08-12 06:00:00,293.0,24.0,692.0,0.0,681.0,74.0,0.0,14.0
2023-08-12 07:00:00,227.0,22.0,692.0,0.0,777.0,131.0,0.0,15.0
2023-08-12 08:00:00,223.0,21.0,692.0,0.0,700.0,171.0,0.0,14.0
2023-08-12 09:00:00,223.0,22.0,692.0,0.0,474.0,190.0,0.0,15.0
2023-08-12 10:00:00,223.0,21.0,692.0,0.0,449.0,200.0,0.0,15.0
2023-08-12 11:00:00,224.0,21.0,692.0,0.0,512.0,215.0,0.0,14.0
2023-08-12 12:00:00,224.0,20.0,691.0,0.0,624.0,186.0,0.0,15.0
2023-08-12 13:00:00,228.0,20.0,691.0,0.0,622.0,171.0,0.0,14.0
2023-08-12 14:00:00,224.0,21.0,691.0,0.0,679.0,123.0,0.0,14.0
2023-08-12 15:00:00,284.0,21.0,692.0,0.0,791.0,85.0,0.0,14.0
2023-08-12 16:00:00,362.0,22.0,692.0,0.0,813.0,34.0,0.0,14.0
2023-08-12 17:00:00,481.0,27.0,691.0,0.0,826.0,5.0,0.0,14.0
2023-08-12 18:00:00,526.0,29.0,691.0,0.0,832.0,0.0,0.0,15.0
2023-08-12 19:00:00,528.0,24.0,691.0,0.0,852.0,0.0,0.0,15.0
2023-08-12 20:00:00,429.0,23.0,691.0,0.0,843.0,0.0,0.0,15.0
2023-08-12 21:00:00,384.0,23.0,691.0,0.0,835.0,0.0,0.0,15.0
2023-08-12 22:00:00,373.0,22.0,691.0,0.0,809.0,0.0,1.0,15.0
2023-08-12 23:00:00,287.0,25.0,691.0,0.0,770.0,0.0,1.0,14.0
