UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-07-06T00:00:00.000000000,2024-07-17 00:00:00,3.1,176.42,199.46367
2023-07-06T01:00:00.000000000,2024-07-17 00:00:00,3.1,174.42,200.56993
2023-07-06T02:00:00.000000000,2024-07-17 00:00:00,3.1,219.41,201.86013
2023-07-06T03:00:00.000000000,2024-07-17 00:00:00,3.1,211.72,202.24187
2023-07-06T04:00:00.000000000,2024-07-17 00:00:00,3.1,200.34,198.11138
2023-07-06T05:00:00.000000000,2024-07-17 00:00:00,3.1,192.34,194.32485
2023-07-06T06:00:00.000000000,2024-07-17 00:00:00,3.1,189.3,191.65442
2023-07-06T07:00:00.000000000,2024-07-17 00:00:00,3.1,189.95,183.03283
2023-07-06T08:00:00.000000000,2024-07-17 00:00:00,3.1,192.97,178.82148
2023-07-06T09:00:00.000000000,2024-07-17 00:00:00,3.1,170.87,180.40049
2023-07-06T10:00:00.000000000,2024-07-17 00:00:00,3.1,168.24,181.21314
2023-07-06T11:00:00.000000000,2024-07-17 00:00:00,3.1,207.41,183.77465
2023-07-06T12:00:00.000000000,2024-07-17 00:00:00,3.1,216.98,187.53244
2023-07-06T13:00:00.000000000,2024-07-17 00:00:00,3.1,216.31,197.22467
2023-07-06T14:00:00.000000000,2024-07-17 00:00:00,3.1,215.71,199.14323
2023-07-06T15:00:00.000000000,2024-07-17 00:00:00,3.1,200.96,202.51066
2023-07-06T16:00:00.000000000,2024-07-17 00:00:00,3.1,192.4,203.88831
2023-07-06T17:00:00.000000000,2024-07-17 00:00:00,3.1,189.76,202.14621
2023-07-06T18:00:00.000000000,2024-07-17 00:00:00,3.1,190.3,199.62288
2023-07-06T19:00:00.000000000,2024-07-17 00:00:00,3.1,190.06,196.74978
2023-07-06T20:00:00.000000000,2024-07-17 00:00:00,3.1,199.41,192.27941
2023-07-06T21:00:00.000000000,2024-07-17 00:00:00,3.1,204.74,190.51048
2023-07-06T22:00:00.000000000,2024-07-17 00:00:00,3.1,209.42,190.09358
2023-07-06T23:00:00.000000000,2024-07-17 00:00:00,3.1,209.24,192.6201
2023-07-07T00:00:00.000000000,2024-07-17 00:00:00,3.1,212.35,192.6042
2023-07-07T01:00:00.000000000,2024-07-17 00:00:00,3.1,212.25,194.56965
2023-07-07T02:00:00.000000000,2024-07-17 00:00:00,3.1,212.52,197.70246
2023-07-07T03:00:00.000000000,2024-07-17 00:00:00,3.1,211.52,198.7704
2023-07-07T04:00:00.000000000,2024-07-17 00:00:00,3.1,203.75,194.36699
2023-07-07T05:00:00.000000000,2024-07-17 00:00:00,3.1,199.17,191.17874
2023-07-07T06:00:00.000000000,2024-07-17 00:00:00,3.1,193.62,187.39004
2023-07-07T07:00:00.000000000,2024-07-17 00:00:00,3.1,193.44,178.52505
2023-07-07T08:00:00.000000000,2024-07-17 00:00:00,3.1,199.72,173.45858
2023-07-07T09:00:00.000000000,2024-07-17 00:00:00,3.1,187.39,173.49636
2023-07-07T10:00:00.000000000,2024-07-17 00:00:00,3.1,149.7,174.80779
2023-07-07T11:00:00.000000000,2024-07-17 00:00:00,3.1,147.34,177.67896
2023-07-07T12:00:00.000000000,2024-07-17 00:00:00,3.1,147.99,182.63672
2023-07-07T13:00:00.000000000,2024-07-17 00:00:00,3.1,150.12,192.31783
2023-07-07T14:00:00.000000000,2024-07-17 00:00:00,3.1,178.44,197.1442
2023-07-07T15:00:00.000000000,2024-07-17 00:00:00,3.1,187.34,202.62344
2023-07-07T16:00:00.000000000,2024-07-17 00:00:00,3.1,190.34,204.47629
2023-07-07T17:00:00.000000000,2024-07-17 00:00:00,3.1,190.04,203.66662
2023-07-07T18:00:00.000000000,2024-07-17 00:00:00,3.1,192.92,200.85222
2023-07-07T19:00:00.000000000,2024-07-17 00:00:00,3.1,190.44,198.00336
2023-07-07T20:00:00.000000000,2024-07-17 00:00:00,3.1,196.36,194.92685
2023-07-07T21:00:00.000000000,2024-07-17 00:00:00,3.1,186.18,192.38021
2023-07-07T22:00:00.000000000,2024-07-17 00:00:00,3.1,208.86,193.00646
2023-07-07T23:00:00.000000000,2024-07-17 00:00:00,3.1,212.58,195.49825
2023-07-08T00:00:00.000000000,2024-07-17 00:00:00,3.1,184.42,194.96883
2023-07-08T01:00:00.000000000,2024-07-17 00:00:00,3.1,151.07,196.49202
2023-07-08T02:00:00.000000000,2024-07-17 00:00:00,3.1,145.66,199.48746
2023-07-08T03:00:00.000000000,2024-07-17 00:00:00,3.1,124.09,200.4099
2023-07-08T04:00:00.000000000,2024-07-17 00:00:00,3.1,114.78,196.00066
2023-07-08T05:00:00.000000000,2024-07-17 00:00:00,3.1,112.46,193.02136
2023-07-08T06:00:00.000000000,2024-07-17 00:00:00,3.1,134.89,189.4815
2023-07-08T07:00:00.000000000,2024-07-17 00:00:00,3.1,142.35,181.05025
2023-07-08T08:00:00.000000000,2024-07-17 00:00:00,3.1,151.39,176.07721
2023-07-08T09:00:00.000000000,2024-07-17 00:00:00,3.1,123.02,176.408
2023-07-08T10:00:00.000000000,2024-07-17 00:00:00,3.1,123.97,177.56698
2023-07-08T11:00:00.000000000,2024-07-17 00:00:00,3.1,124.65,180.45982
2023-07-08T12:00:00.000000000,2024-07-17 00:00:00,3.1,128.74,185.08325
2023-07-08T13:00:00.000000000,2024-07-17 00:00:00,3.1,125.25,194.55801
2023-07-08T14:00:00.000000000,2024-07-17 00:00:00,3.1,120.92,199.3549
2023-07-08T15:00:00.000000000,2024-07-17 00:00:00,3.1,134.23,204.96274
2023-07-08T16:00:00.000000000,2024-07-17 00:00:00,3.1,165.54,207.0395
2023-07-08T17:00:00.000000000,2024-07-17 00:00:00,3.1,203.31,206.73209
2023-07-08T18:00:00.000000000,2024-07-17 00:00:00,3.1,204.83,203.94557
2023-07-08T19:00:00.000000000,2024-07-17 00:00:00,3.1,204.6,201.34414
2023-07-08T20:00:00.000000000,2024-07-17 00:00:00,3.1,211.19,198.57315
2023-07-08T21:00:00.000000000,2024-07-17 00:00:00,3.1,212.36,196.11106
2023-07-08T22:00:00.000000000,2024-07-17 00:00:00,3.1,211.41,196.65334
2023-07-08T23:00:00.000000000,2024-07-17 00:00:00,3.1,220.85,198.6625
2023-07-09T00:00:00.000000000,2024-07-17 00:00:00,3.1,229.62,192.14182
2023-07-09T01:00:00.000000000,2024-07-17 00:00:00,3.1,224.05,191.83938
2023-07-09T02:00:00.000000000,2024-07-17 00:00:00,3.1,224.89,194.53801
2023-07-09T03:00:00.000000000,2024-07-17 00:00:00,3.1,225.12,195.85854
2023-07-09T04:00:00.000000000,2024-07-17 00:00:00,3.1,220.92,194.67945
2023-07-09T05:00:00.000000000,2024-07-17 00:00:00,3.1,192.73,194.94842
2023-07-09T06:00:00.000000000,2024-07-17 00:00:00,3.1,148.76,197.39382
2023-07-09T07:00:00.000000000,2024-07-17 00:00:00,3.1,129.71,194.38583
2023-07-09T08:00:00.000000000,2024-07-17 00:00:00,3.1,125.6,193.879
2023-07-09T09:00:00.000000000,2024-07-17 00:00:00,3.1,124.03,195.1266
2023-07-09T10:00:00.000000000,2024-07-17 00:00:00,3.1,124.65,196.2324
