UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
2023-09-01 00:00:00,85.0,74.0,2337.0,34.0,256.0,0.0,0.0,78.0,138.0
2023-09-01 01:00:00,85.0,78.0,2338.0,34.0,256.0,0.0,0.0,77.0,141.0
2023-09-01 02:00:00,85.0,82.0,2342.0,33.0,254.0,0.0,0.0,78.0,137.0
2023-09-01 03:00:00,85.0,91.0,2343.0,34.0,268.0,0.0,0.0,73.0,136.0
2023-09-01 04:00:00,85.0,88.0,2349.0,33.0,402.0,3.0,0.0,69.0,137.0
2023-09-01 05:00:00,84.0,86.0,2349.0,33.0,507.0,27.0,0.0,76.0,138.0
2023-09-01 06:00:00,84.0,83.0,2347.0,33.0,501.0,53.0,0.0,72.0,133.0
2023-09-01 07:00:00,84.0,85.0,2346.0,32.0,456.0,68.0,0.0,65.0,133.0
2023-09-01 08:00:00,84.0,87.0,2337.0,34.0,418.0,95.0,0.0,47.0,134.0
2023-09-01 09:00:00,84.0,87.0,2332.0,29.0,393.0,121.0,0.0,42.0,136.0
2023-09-01 10:00:00,84.0,88.0,2326.0,28.0,329.0,129.0,0.0,41.0,137.0
2023-09-01 11:00:00,84.0,88.0,2322.0,28.0,319.0,113.0,0.0,40.0,142.0
2023-09-01 12:00:00,84.0,83.0,2317.0,28.0,316.0,117.0,0.0,41.0,143.0
2023-09-01 13:00:00,85.0,84.0,2310.0,28.0,346.0,110.0,0.0,42.0,141.0
2023-09-01 14:00:00,85.0,213.0,2303.0,28.0,451.0,80.0,0.0,41.0,139.0
2023-09-01 15:00:00,85.0,381.0,2300.0,27.0,427.0,42.0,0.0,41.0,139.0
2023-09-01 16:00:00,85.0,411.0,2300.0,28.0,509.0,14.0,0.0,41.0,142.0
2023-09-01 17:00:00,85.0,455.0,2298.0,33.0,578.0,1.0,0.0,41.0,143.0
2023-09-01 18:00:00,85.0,451.0,2298.0,33.0,531.0,0.0,0.0,41.0,140.0
2023-09-01 19:00:00,85.0,450.0,2301.0,33.0,463.0,0.0,1.0,41.0,139.0
2023-09-01 20:00:00,85.0,436.0,2302.0,32.0,454.0,0.0,1.0,41.0,140.0
2023-09-01 21:00:00,85.0,426.0,2307.0,32.0,377.0,0.0,1.0,41.0,141.0
2023-09-01 22:00:00,85.0,280.0,2314.0,31.0,350.0,0.0,0.0,41.0,138.0
2023-09-01 23:00:00,85.0,76.0,2315.0,32.0,364.0,0.0,0.0,41.0,139.0
