UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-04-23T00:00:00.000000000,2024-07-17 00:00:00,3.1,304.77,310.18314
2023-04-23T01:00:00.000000000,2024-07-17 00:00:00,3.1,336.78,324.78649
2023-04-23T02:00:00.000000000,2024-07-17 00:00:00,3.1,366.61,350.71652
2023-04-23T03:00:00.000000000,2024-07-17 00:00:00,3.1,382.41,352.78402
2023-04-23T04:00:00.000000000,2024-07-17 00:00:00,3.1,373.71,368.94206
2023-04-23T05:00:00.000000000,2024-07-17 00:00:00,3.1,378.28,382.34894
2023-04-23T06:00:00.000000000,2024-07-17 00:00:00,3.1,387.45,387.19134
2023-04-23T07:00:00.000000000,2024-07-17 00:00:00,3.1,379.63,409.83049
2023-04-23T08:00:00.000000000,2024-07-17 00:00:00,3.1,386.79,409.50056
2023-04-23T09:00:00.000000000,2024-07-17 00:00:00,3.1,391.54,403.22914
2023-04-23T10:00:00.000000000,2024-07-17 00:00:00,3.1,404.83,420.12721
2023-04-23T11:00:00.000000000,2024-07-17 00:00:00,3.1,414.15,425.21826
2023-04-23T12:00:00.000000000,2024-07-17 00:00:00,3.1,425.18,419.12138
2023-04-23T13:00:00.000000000,2024-07-17 00:00:00,3.1,434.4,409.87253
2023-04-23T14:00:00.000000000,2024-07-17 00:00:00,3.1,439.93,407.67967
2023-04-23T15:00:00.000000000,2024-07-17 00:00:00,3.1,409.09,358.13347
2023-04-23T16:00:00.000000000,2024-07-17 00:00:00,3.1,340.44,356.45189
2023-04-23T17:00:00.000000000,2024-07-17 00:00:00,3.1,307.48,329.08908
2023-04-23T18:00:00.000000000,2024-07-17 00:00:00,3.1,304.6,323.8503
2023-04-23T19:00:00.000000000,2024-07-17 00:00:00,3.1,305.09,320.67033
2023-04-23T20:00:00.000000000,2024-07-17 00:00:00,3.1,301.5,313.17166
2023-04-23T21:00:00.000000000,2024-07-17 00:00:00,3.1,301.29,300.20127
2023-04-23T22:00:00.000000000,2024-07-17 00:00:00,3.1,294.95,298.17702
2023-04-23T23:00:00.000000000,2024-07-17 00:00:00,3.1,286.86,311.75132
2023-04-24T00:00:00.000000000,2024-07-17 00:00:00,3.1,285.73,336.05747
2023-04-24T01:00:00.000000000,2024-07-17 00:00:00,3.1,307.48,349.34964
2023-04-24T02:00:00.000000000,2024-07-17 00:00:00,3.1,360.19,374.15102
2023-04-24T03:00:00.000000000,2024-07-17 00:00:00,3.1,380.95,377.44954
2023-04-24T04:00:00.000000000,2024-07-17 00:00:00,3.1,375.4,398.5165
2023-04-24T05:00:00.000000000,2024-07-17 00:00:00,3.1,374.9,409.06578
