UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-03-10T00:00:00.000000000,2024-07-17 00:00:00,3.1,89.43,81.34553
2023-03-10T01:00:00.000000000,2024-07-17 00:00:00,3.1,81.49,79.46004
2023-03-10T02:00:00.000000000,2024-07-17 00:00:00,3.1,74.59,76.7043
2023-03-10T03:00:00.000000000,2024-07-17 00:00:00,3.1,71.47,75.74207
2023-03-10T04:00:00.000000000,2024-07-17 00:00:00,3.1,72.94,75.39016
2023-03-10T05:00:00.000000000,2024-07-17 00:00:00,3.1,78.04,76.92975
2023-03-10T06:00:00.000000000,2024-07-17 00:00:00,3.1,83.28,79.59394
2023-03-10T07:00:00.000000000,2024-07-17 00:00:00,3.1,90.35,83.19976
2023-03-10T08:00:00.000000000,2024-07-17 00:00:00,3.1,94.18,86.08808
2023-03-10T09:00:00.000000000,2024-07-17 00:00:00,3.1,94.67,89.14075
2023-03-10T10:00:00.000000000,2024-07-17 00:00:00,3.1,95.37,89.97482
2023-03-10T11:00:00.000000000,2024-07-17 00:00:00,3.1,97.2,88.74949
2023-03-10T12:00:00.000000000,2024-07-17 00:00:00,3.1,99.47,86.3866
2023-03-10T13:00:00.000000000,2024-07-17 00:00:00,3.1,93.12,83.18273
2023-03-10T14:00:00.000000000,2024-07-17 00:00:00,3.1,86.17,79.07945
2023-03-10T15:00:00.000000000,2024-07-17 00:00:00,3.1,77.18,75.96239
2023-03-10T16:00:00.000000000,2024-07-17 00:00:00,3.1,70.96,73.81448
2023-03-10T17:00:00.000000000,2024-07-17 00:00:00,3.1,71.71,72.83184
2023-03-10T18:00:00.000000000,2024-07-17 00:00:00,3.1,80.46,73.33795
2023-03-10T19:00:00.000000000,2024-07-17 00:00:00,3.1,84.07,75.42498
2023-03-10T20:00:00.000000000,2024-07-17 00:00:00,3.1,82.23,77.68674
2023-03-10T21:00:00.000000000,2024-07-17 00:00:00,3.1,81.84,79.9725
2023-03-10T22:00:00.000000000,2024-07-17 00:00:00,3.1,82.16,81.30068
2023-03-10T23:00:00.000000000,2024-07-17 00:00:00,3.1,79.65,80.58473
2023-03-11T00:00:00.000000000,2024-07-17 00:00:00,3.1,79.04,72.9237
2023-03-11T01:00:00.000000000,2024-07-17 00:00:00,3.1,73.55,71.37006
2023-03-11T02:00:00.000000000,2024-07-17 00:00:00,3.1,73.45,69.39736
2023-03-11T03:00:00.000000000,2024-07-17 00:00:00,3.1,72.22,68.74104
2023-03-11T04:00:00.000000000,2024-07-17 00:00:00,3.1,76.76,68.69312
2023-03-11T05:00:00.000000000,2024-07-17 00:00:00,3.1,78.06,70.21754
2023-03-11T06:00:00.000000000,2024-07-17 00:00:00,3.1,80.2,72.57978
2023-03-11T07:00:00.000000000,2024-07-17 00:00:00,3.1,84.98,75.6022
2023-03-11T08:00:00.000000000,2024-07-17 00:00:00,3.1,86.36,77.87141
2023-03-11T09:00:00.000000000,2024-07-17 00:00:00,3.1,88.1,80.14855
2023-03-11T10:00:00.000000000,2024-07-17 00:00:00,3.1,89.6,80.58282
2023-03-11T11:00:00.000000000,2024-07-17 00:00:00,3.1,93.91,79.2665
