UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-11-16T00:00:00.000000000,2024-07-17 00:00:00,3.1,466.99,454.87917
2023-11-16T01:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,477.10869
2023-11-16T02:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,491.07284
2023-11-16T03:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,492.40437
2023-11-16T04:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,489.20558
2023-11-16T05:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,487.35844
2023-11-16T06:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,488.82457
2023-11-16T07:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,490.07049
2023-11-16T08:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,488.96177
2023-11-16T09:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,489.34257
2023-11-16T10:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,490.38635
2023-11-16T11:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,491.55715
2023-11-16T12:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,492.9227
2023-11-16T13:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,490.84873
2023-11-16T14:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,475.89895
2023-11-16T15:00:00.000000000,2024-07-17 00:00:00,3.1,479.98,442.36167
2023-11-16T16:00:00.000000000,2024-07-17 00:00:00,3.1,464.29,407.69312
2023-11-16T17:00:00.000000000,2024-07-17 00:00:00,3.1,435.7,392.37766
2023-11-16T18:00:00.000000000,2024-07-17 00:00:00,3.1,431.65,393.64631
2023-11-16T19:00:00.000000000,2024-07-17 00:00:00,3.1,414.92,399.3928
2023-11-16T20:00:00.000000000,2024-07-17 00:00:00,3.1,418.05,405.58573
2023-11-16T21:00:00.000000000,2024-07-17 00:00:00,3.1,422.88,409.18142
2023-11-16T22:00:00.000000000,2024-07-17 00:00:00,3.1,402.95,413.7114
2023-11-16T23:00:00.000000000,2024-07-17 00:00:00,3.1,436.24,427.47136
2023-11-17T00:00:00.000000000,2024-07-17 00:00:00,3.1,481.15,458.98965
2023-11-17T01:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,478.00049
2023-11-17T02:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,489.38801
2023-11-17T03:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,490.58849
2023-11-17T04:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,488.46218
2023-11-17T05:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,486.61911
2023-11-17T06:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,487.43261
2023-11-17T07:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,488.94116
2023-11-17T08:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,488.84303
2023-11-17T09:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,489.31488
2023-11-17T10:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,490.15715
2023-11-17T11:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,491.61869
