UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-04-08T00:00:00.000000000,2024-07-17 00:00:00,3.1,206.92,228.66333
2023-04-08T01:00:00.000000000,2024-07-17 00:00:00,3.1,202.72,231.48959
2023-04-08T02:00:00.000000000,2024-07-17 00:00:00,3.1,201.32,235.84833
2023-04-08T03:00:00.000000000,2024-07-17 00:00:00,3.1,216.3,239.4684
2023-04-08T04:00:00.000000000,2024-07-17 00:00:00,3.1,213.8,241.65901
2023-04-08T05:00:00.000000000,2024-07-17 00:00:00,3.1,208.55,241.65383
2023-04-08T06:00:00.000000000,2024-07-17 00:00:00,3.1,193.09,237.11596
2023-04-08T07:00:00.000000000,2024-07-17 00:00:00,3.1,187.21,229.78283
2023-04-08T08:00:00.000000000,2024-07-17 00:00:00,3.1,186.16,219.74648
2023-04-08T09:00:00.000000000,2024-07-17 00:00:00,3.1,168.8,211.08213
2023-04-08T10:00:00.000000000,2024-07-17 00:00:00,3.1,159.49,205.7336
2023-04-08T11:00:00.000000000,2024-07-17 00:00:00,3.1,153.07,206.06982
2023-04-08T12:00:00.000000000,2024-07-17 00:00:00,3.1,154.89,211.29932
2023-04-08T13:00:00.000000000,2024-07-17 00:00:00,3.1,151.07,221.11699
2023-04-08T14:00:00.000000000,2024-07-17 00:00:00,3.1,149.73,233.33694
2023-04-08T15:00:00.000000000,2024-07-17 00:00:00,3.1,167.72,247.05207
2023-04-08T16:00:00.000000000,2024-07-17 00:00:00,3.1,216.7,258.79123
2023-04-08T17:00:00.000000000,2024-07-17 00:00:00,3.1,235.5,266.90062
2023-04-08T18:00:00.000000000,2024-07-17 00:00:00,3.1,239.83,269.57669
2023-04-08T19:00:00.000000000,2024-07-17 00:00:00,3.1,244.52,265.98906
2023-04-08T20:00:00.000000000,2024-07-17 00:00:00,3.1,246.61,259.53589
2023-04-08T21:00:00.000000000,2024-07-17 00:00:00,3.1,235.14,251.86218
2023-04-08T22:00:00.000000000,2024-07-17 00:00:00,3.1,227.89,243.53035
2023-04-08T23:00:00.000000000,2024-07-17 00:00:00,3.1,207.55,237.65593
2023-04-09T00:00:00.000000000,2024-07-17 00:00:00,3.1,181.67,237.20741
2023-04-09T01:00:00.000000000,2024-07-17 00:00:00,3.1,167.5,238.84495
2023-04-09T02:00:00.000000000,2024-07-17 00:00:00,3.1,163.19,242.75938
2023-04-09T03:00:00.000000000,2024-07-17 00:00:00,3.1,166.24,246.31727
2023-04-09T04:00:00.000000000,2024-07-17 00:00:00,3.1,172.35,249.19266
2023-04-09T05:00:00.000000000,2024-07-17 00:00:00,3.1,169.3,250.00924
2023-04-09T06:00:00.000000000,2024-07-17 00:00:00,3.1,161.91,246.6749
2023-04-09T07:00:00.000000000,2024-07-17 00:00:00,3.1,141.73,240.0331
2023-04-09T08:00:00.000000000,2024-07-17 00:00:00,3.1,125.58,229.71501
2023-04-09T09:00:00.000000000,2024-07-17 00:00:00,3.1,113.84,219.05844
2023-04-09T10:00:00.000000000,2024-07-17 00:00:00,3.1,108.92,210.75565
2023-04-09T11:00:00.000000000,2024-07-17 00:00:00,3.1,107.84,207.87648
2023-04-09T12:00:00.000000000,2024-07-17 00:00:00,3.1,120.98,210.57179
2023-04-09T13:00:00.000000000,2024-07-17 00:00:00,3.1,111.07,218.47736
2023-04-09T14:00:00.000000000,2024-07-17 00:00:00,3.1,114.96,230.18092
2023-04-09T15:00:00.000000000,2024-07-17 00:00:00,3.1,123.48,243.97156
2023-04-09T16:00:00.000000000,2024-07-17 00:00:00,3.1,142.96,257.28006
2023-04-09T17:00:00.000000000,2024-07-17 00:00:00,3.1,160.67,268.25753
2023-04-09T18:00:00.000000000,2024-07-17 00:00:00,3.1,174.33,274.51043
2023-04-09T19:00:00.000000000,2024-07-17 00:00:00,3.1,178.47,274.52101
2023-04-09T20:00:00.000000000,2024-07-17 00:00:00,3.1,171.04,271.54137
2023-04-09T21:00:00.000000000,2024-07-17 00:00:00,3.1,169.61,265.55298
2023-04-09T22:00:00.000000000,2024-07-17 00:00:00,3.1,151.89,258.00734
2023-04-09T23:00:00.000000000,2024-07-17 00:00:00,3.1,141.42,252.21406
2023-04-10T00:00:00.000000000,2024-07-17 00:00:00,3.1,132.11,235.6154
2023-04-10T01:00:00.000000000,2024-07-17 00:00:00,3.1,124.1,236.67885
2023-04-10T02:00:00.000000000,2024-07-17 00:00:00,3.1,121.94,239.05555
2023-04-10T03:00:00.000000000,2024-07-17 00:00:00,3.1,122.12,240.58991
2023-04-10T04:00:00.000000000,2024-07-17 00:00:00,3.1,121.8,241.70686
2023-04-10T05:00:00.000000000,2024-07-17 00:00:00,3.1,128.7,241.32431
2023-04-10T06:00:00.000000000,2024-07-17 00:00:00,3.1,131.29,237.60837
2023-04-10T07:00:00.000000000,2024-07-17 00:00:00,3.1,124.02,231.45725
2023-04-10T08:00:00.000000000,2024-07-17 00:00:00,3.1,114.49,222.51536
2023-04-10T09:00:00.000000000,2024-07-17 00:00:00,3.1,109.75,213.59928
2023-04-10T10:00:00.000000000,2024-07-17 00:00:00,3.1,109.14,206.52146
2023-04-10T11:00:00.000000000,2024-07-17 00:00:00,3.1,105.8,204.00799
2023-04-10T12:00:00.000000000,2024-07-17 00:00:00,3.1,103.53,206.17328
2023-04-10T13:00:00.000000000,2024-07-17 00:00:00,3.1,104.72,213.00678
2023-04-10T14:00:00.000000000,2024-07-17 00:00:00,3.1,108.78,223.2891
2023-04-10T15:00:00.000000000,2024-07-17 00:00:00,3.1,110.53,235.18241
2023-04-10T16:00:00.000000000,2024-07-17 00:00:00,3.1,113.32,246.44277
2023-04-10T17:00:00.000000000,2024-07-17 00:00:00,3.1,121.18,255.49174
2023-04-10T18:00:00.000000000,2024-07-17 00:00:00,3.1,125.77,260.33327
2023-04-10T19:00:00.000000000,2024-07-17 00:00:00,3.1,124.94,259.99294
2023-04-10T20:00:00.000000000,2024-07-17 00:00:00,3.1,127.83,257.71308
2023-04-10T21:00:00.000000000,2024-07-17 00:00:00,3.1,128.46,253.42761
2023-04-10T22:00:00.000000000,2024-07-17 00:00:00,3.1,116.25,247.81606
2023-04-10T23:00:00.000000000,2024-07-17 00:00:00,3.1,110.7,243.67215
2023-04-11T00:00:00.000000000,2024-07-17 00:00:00,3.1,107.47,238.8682
2023-04-11T01:00:00.000000000,2024-07-17 00:00:00,3.1,111.37,241.53624
2023-04-11T02:00:00.000000000,2024-07-17 00:00:00,3.1,110.65,245.62321
2023-04-11T03:00:00.000000000,2024-07-17 00:00:00,3.1,116.05,251.12617
2023-04-11T04:00:00.000000000,2024-07-17 00:00:00,3.1,119.25,257.15115
