UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-12-16T00:00:00.000000000,2024-07-17 00:00:00,3.1,337.6,340.48415
2023-12-16T01:00:00.000000000,2024-07-17 00:00:00,3.1,333.71,337.25742
2023-12-16T02:00:00.000000000,2024-07-17 00:00:00,3.1,332.5,337.45238
2023-12-16T03:00:00.000000000,2024-07-17 00:00:00,3.1,335.25,340.82273
2023-12-16T04:00:00.000000000,2024-07-17 00:00:00,3.1,333.72,346.56414
2023-12-16T05:00:00.000000000,2024-07-17 00:00:00,3.1,341.44,353.56735
2023-12-16T06:00:00.000000000,2024-07-17 00:00:00,3.1,344.03,360.53459
2023-12-16T07:00:00.000000000,2024-07-17 00:00:00,3.1,343.9,363.3836
2023-12-16T08:00:00.000000000,2024-07-17 00:00:00,3.1,330.99,362.28568
2023-12-16T09:00:00.000000000,2024-07-17 00:00:00,3.1,327.84,358.84527
2023-12-16T10:00:00.000000000,2024-07-17 00:00:00,3.1,324.9,356.07753
2023-12-16T11:00:00.000000000,2024-07-17 00:00:00,3.1,323.76,353.73145
2023-12-16T12:00:00.000000000,2024-07-17 00:00:00,3.1,326.99,352.18982
2023-12-16T13:00:00.000000000,2024-07-17 00:00:00,3.1,341.57,349.79532
2023-12-16T14:00:00.000000000,2024-07-17 00:00:00,3.1,355.08,346.6133
2023-12-16T15:00:00.000000000,2024-07-17 00:00:00,3.1,365.95,345.09955
2023-12-16T16:00:00.000000000,2024-07-17 00:00:00,3.1,352.47,342.67534
2023-12-16T17:00:00.000000000,2024-07-17 00:00:00,3.1,344.38,341.32959
2023-12-16T18:00:00.000000000,2024-07-17 00:00:00,3.1,350.28,341.05156
2023-12-16T19:00:00.000000000,2024-07-17 00:00:00,3.1,350.98,343.65832
2023-12-16T20:00:00.000000000,2024-07-17 00:00:00,3.1,353.44,348.09749
2023-12-16T21:00:00.000000000,2024-07-17 00:00:00,3.1,352.89,352.08344
2023-12-16T22:00:00.000000000,2024-07-17 00:00:00,3.1,358.98,354.21065
2023-12-16T23:00:00.000000000,2024-07-17 00:00:00,3.1,363.93,353.64529
2023-12-17T00:00:00.000000000,2024-07-17 00:00:00,3.1,364.45,352.96369
2023-12-17T01:00:00.000000000,2024-07-17 00:00:00,3.1,368.34,350.87153
2023-12-17T02:00:00.000000000,2024-07-17 00:00:00,3.1,369.62,352.31791
2023-12-17T03:00:00.000000000,2024-07-17 00:00:00,3.1,369.53,355.50167
2023-12-17T04:00:00.000000000,2024-07-17 00:00:00,3.1,371.23,358.95335
2023-12-17T05:00:00.000000000,2024-07-17 00:00:00,3.1,387.8,362.15671
2023-12-17T06:00:00.000000000,2024-07-17 00:00:00,3.1,378.2,364.5606
2023-12-17T07:00:00.000000000,2024-07-17 00:00:00,3.1,339.0,364.2205
2023-12-17T08:00:00.000000000,2024-07-17 00:00:00,3.1,306.39,361.16372
2023-12-17T09:00:00.000000000,2024-07-17 00:00:00,3.1,289.98,358.23092
2023-12-17T10:00:00.000000000,2024-07-17 00:00:00,3.1,297.59,357.95746
2023-12-17T11:00:00.000000000,2024-07-17 00:00:00,3.1,302.19,359.52111
2023-12-17T12:00:00.000000000,2024-07-17 00:00:00,3.1,314.54,362.20885
2023-12-17T13:00:00.000000000,2024-07-17 00:00:00,3.1,348.78,364.01009
2023-12-17T14:00:00.000000000,2024-07-17 00:00:00,3.1,380.59,364.295
2023-12-17T15:00:00.000000000,2024-07-17 00:00:00,3.1,360.83,364.66283
2023-12-17T16:00:00.000000000,2024-07-17 00:00:00,3.1,349.22,364.0077
2023-12-17T17:00:00.000000000,2024-07-17 00:00:00,3.1,347.77,364.28349
2023-12-17T18:00:00.000000000,2024-07-17 00:00:00,3.1,358.92,365.56768
2023-12-17T19:00:00.000000000,2024-07-17 00:00:00,3.1,378.06,368.0995
2023-12-17T20:00:00.000000000,2024-07-17 00:00:00,3.1,375.7,370.78875
2023-12-17T21:00:00.000000000,2024-07-17 00:00:00,3.1,375.87,371.40762
2023-12-17T22:00:00.000000000,2024-07-17 00:00:00,3.1,365.28,369.40525
2023-12-17T23:00:00.000000000,2024-07-17 00:00:00,3.1,361.24,365.39282
2023-12-18T00:00:00.000000000,2024-07-17 00:00:00,3.1,357.67,363.55973
2023-12-18T01:00:00.000000000,2024-07-17 00:00:00,3.1,357.67,361.47991
2023-12-18T02:00:00.000000000,2024-07-17 00:00:00,3.1,357.87,363.38663
2023-12-18T03:00:00.000000000,2024-07-17 00:00:00,3.1,363.14,366.95068
2023-12-18T04:00:00.000000000,2024-07-17 00:00:00,3.1,373.49,370.06566
2023-12-18T05:00:00.000000000,2024-07-17 00:00:00,3.1,377.64,372.63289
2023-12-18T06:00:00.000000000,2024-07-17 00:00:00,3.1,363.06,374.33786
2023-12-18T07:00:00.000000000,2024-07-17 00:00:00,3.1,319.04,374.14574
2023-12-18T08:00:00.000000000,2024-07-17 00:00:00,3.1,303.29,372.05955
2023-12-18T09:00:00.000000000,2024-07-17 00:00:00,3.1,296.51,370.75419
2023-12-18T10:00:00.000000000,2024-07-17 00:00:00,3.1,294.37,372.74937
2023-12-18T11:00:00.000000000,2024-07-17 00:00:00,3.1,303.22,376.66689
2023-12-18T12:00:00.000000000,2024-07-17 00:00:00,3.1,319.63,381.0145
2023-12-18T13:00:00.000000000,2024-07-17 00:00:00,3.1,347.71,383.30437
2023-12-18T14:00:00.000000000,2024-07-17 00:00:00,3.1,376.19,383.04254
2023-12-18T15:00:00.000000000,2024-07-17 00:00:00,3.1,367.14,382.05495
2023-12-18T16:00:00.000000000,2024-07-17 00:00:00,3.1,363.47,380.5279
