Unnamed: 0,UTC time,carbon_intensity,nuclear,hydro,solar,wind
38568,2023-05-27 00:00:00,19.03,818.0,1206.0,0.0,30.0
38569,2023-05-27 01:00:00,19.96,571.0,1188.0,0.0,29.0
38570,2023-05-27 02:00:00,20.93,374.0,1180.0,0.0,29.0
38571,2023-05-27 03:00:00,20.86,360.0,1116.0,0.0,32.0
38572,2023-05-27 04:00:00,21.41,360.0,958.0,51.0,29.0
38573,2023-05-27 05:00:00,24.71,360.0,1171.0,282.0,23.0
38574,2023-05-27 06:00:00,28.99,360.0,1047.0,723.0,13.0
38575,2023-05-27 07:00:00,32.78,360.0,996.0,1343.0,8.0
38576,2023-05-27 08:00:00,35.54,360.0,772.0,1857.0,7.0
38577,2023-05-27 09:00:00,36.7,360.0,716.0,2190.0,7.0
38578,2023-05-27 10:00:00,37.3,359.0,700.0,2421.0,9.0
38579,2023-05-27 11:00:00,37.35,359.0,745.0,2532.0,12.0
38580,2023-05-27 12:00:00,37.18,359.0,759.0,2475.0,12.0
38581,2023-05-27 13:00:00,36.7,359.0,762.0,2273.0,12.0
38582,2023-05-27 14:00:00,35.85,359.0,755.0,1953.0,14.0
38583,2023-05-27 15:00:00,33.84,359.0,888.0,1511.0,13.0
38584,2023-05-27 16:00:00,29.72,359.0,1401.0,955.0,11.0
38585,2023-05-27 17:00:00,25.44,359.0,2502.0,437.0,8.0
38586,2023-05-27 18:00:00,23.45,359.0,2893.0,121.0,8.0
38587,2023-05-27 19:00:00,22.67,359.0,2844.0,6.0,8.0
38588,2023-05-27 20:00:00,22.54,359.0,2656.0,0.0,9.0
38589,2023-05-27 21:00:00,22.1,359.0,1977.0,0.0,11.0
38590,2023-05-27 22:00:00,21.98,359.0,1859.0,0.0,16.0
38591,2023-05-27 23:00:00,21.46,359.0,1418.0,0.0,19.0
