UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-04-05T00:00:00.000000000,2024-07-17 00:00:00,3.1,547.44,440.4361
2023-04-05T01:00:00.000000000,2024-07-17 00:00:00,3.1,555.02,444.05378
2023-04-05T02:00:00.000000000,2024-07-17 00:00:00,3.1,564.08,444.78256
2023-04-05T03:00:00.000000000,2024-07-17 00:00:00,3.1,571.0,441.73471
2023-04-05T04:00:00.000000000,2024-07-17 00:00:00,3.1,571.9,435.69662
2023-04-05T05:00:00.000000000,2024-07-17 00:00:00,3.1,547.28,411.20965
2023-04-05T06:00:00.000000000,2024-07-17 00:00:00,3.1,476.03,385.55167
2023-04-05T07:00:00.000000000,2024-07-17 00:00:00,3.1,406.49,352.04953
2023-04-05T08:00:00.000000000,2024-07-17 00:00:00,3.1,349.28,316.74686
2023-04-05T09:00:00.000000000,2024-07-17 00:00:00,3.1,306.66,295.15429
2023-04-05T10:00:00.000000000,2024-07-17 00:00:00,3.1,288.54,273.5939
2023-04-05T11:00:00.000000000,2024-07-17 00:00:00,3.1,282.96,262.66736
2023-04-05T12:00:00.000000000,2024-07-17 00:00:00,3.1,291.99,265.35168
2023-04-05T13:00:00.000000000,2024-07-17 00:00:00,3.1,317.06,278.11793
2023-04-05T14:00:00.000000000,2024-07-17 00:00:00,3.1,356.8,298.00885
2023-04-05T15:00:00.000000000,2024-07-17 00:00:00,3.1,432.78,319.60896
2023-04-05T16:00:00.000000000,2024-07-17 00:00:00,3.1,515.57,326.32585
2023-04-05T17:00:00.000000000,2024-07-17 00:00:00,3.1,570.48,339.53741
2023-04-05T18:00:00.000000000,2024-07-17 00:00:00,3.1,569.85,337.84643
2023-04-05T19:00:00.000000000,2024-07-17 00:00:00,3.1,557.62,337.65927
2023-04-05T20:00:00.000000000,2024-07-17 00:00:00,3.1,546.21,323.52248
2023-04-05T21:00:00.000000000,2024-07-17 00:00:00,3.1,532.48,316.86059
2023-04-05T22:00:00.000000000,2024-07-17 00:00:00,3.1,516.08,299.34377
2023-04-05T23:00:00.000000000,2024-07-17 00:00:00,3.1,502.33,303.11398
2023-04-06T00:00:00.000000000,2024-07-17 00:00:00,3.1,495.37,237.99615
2023-04-06T01:00:00.000000000,2024-07-17 00:00:00,3.1,492.9,239.15184
2023-04-06T02:00:00.000000000,2024-07-17 00:00:00,3.1,490.65,238.00724
2023-04-06T03:00:00.000000000,2024-07-17 00:00:00,3.1,495.38,252.64368
2023-04-06T04:00:00.000000000,2024-07-17 00:00:00,3.1,496.64,267.21867
2023-04-06T05:00:00.000000000,2024-07-17 00:00:00,3.1,467.3,277.0436
2023-04-06T06:00:00.000000000,2024-07-17 00:00:00,3.1,403.25,278.6792
2023-04-06T07:00:00.000000000,2024-07-17 00:00:00,3.1,348.47,277.77011
2023-04-06T08:00:00.000000000,2024-07-17 00:00:00,3.1,301.65,263.50224
2023-04-06T09:00:00.000000000,2024-07-17 00:00:00,3.1,261.88,265.93246
2023-04-06T10:00:00.000000000,2024-07-17 00:00:00,3.1,245.98,248.73657
2023-04-06T11:00:00.000000000,2024-07-17 00:00:00,3.1,237.28,248.99891
2023-04-06T12:00:00.000000000,2024-07-17 00:00:00,3.1,238.97,245.40211
2023-04-06T13:00:00.000000000,2024-07-17 00:00:00,3.1,253.51,251.59803
