UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-12-18T00:00:00.000000000,2024-07-17 00:00:00,3.1,37.92,43.62335
2023-12-18T01:00:00.000000000,2024-07-17 00:00:00,3.1,39.32,49.6006
2023-12-18T02:00:00.000000000,2024-07-17 00:00:00,3.1,40.26,55.82976
2023-12-18T03:00:00.000000000,2024-07-17 00:00:00,3.1,43.03,64.2614
2023-12-18T04:00:00.000000000,2024-07-17 00:00:00,3.1,49.56,72.60122
2023-12-18T05:00:00.000000000,2024-07-17 00:00:00,3.1,64.89,80.92782
2023-12-18T06:00:00.000000000,2024-07-17 00:00:00,3.1,83.45,87.41178
2023-12-18T07:00:00.000000000,2024-07-17 00:00:00,3.1,98.72,94.95586
2023-12-18T08:00:00.000000000,2024-07-17 00:00:00,3.1,103.63,100.04483
2023-12-18T09:00:00.000000000,2024-07-17 00:00:00,3.1,101.57,103.29392
2023-12-18T10:00:00.000000000,2024-07-17 00:00:00,3.1,90.51,104.66273
2023-12-18T11:00:00.000000000,2024-07-17 00:00:00,3.1,69.88,105.41629
2023-12-18T12:00:00.000000000,2024-07-17 00:00:00,3.1,69.36,104.01253
2023-12-18T13:00:00.000000000,2024-07-17 00:00:00,3.1,71.67,98.83462
2023-12-18T14:00:00.000000000,2024-07-17 00:00:00,3.1,75.05,93.6945
2023-12-18T15:00:00.000000000,2024-07-17 00:00:00,3.1,77.66,86.97324
2023-12-18T16:00:00.000000000,2024-07-17 00:00:00,3.1,71.91,80.09131
2023-12-18T17:00:00.000000000,2024-07-17 00:00:00,3.1,61.23,74.36013
2023-12-18T18:00:00.000000000,2024-07-17 00:00:00,3.1,54.84,67.70793
2023-12-18T19:00:00.000000000,2024-07-17 00:00:00,3.1,42.93,62.39506
2023-12-18T20:00:00.000000000,2024-07-17 00:00:00,3.1,35.86,57.42161
2023-12-18T21:00:00.000000000,2024-07-17 00:00:00,3.1,35.56,55.38645
2023-12-18T22:00:00.000000000,2024-07-17 00:00:00,3.1,32.84,52.73432
2023-12-18T23:00:00.000000000,2024-07-17 00:00:00,3.1,32.08,53.60215
2023-12-19T00:00:00.000000000,2024-07-17 00:00:00,3.1,33.67,55.69117
2023-12-19T01:00:00.000000000,2024-07-17 00:00:00,3.1,35.67,64.42202
2023-12-19T02:00:00.000000000,2024-07-17 00:00:00,3.1,38.04,74.77281
2023-12-19T03:00:00.000000000,2024-07-17 00:00:00,3.1,42.38,87.83275
2023-12-19T04:00:00.000000000,2024-07-17 00:00:00,3.1,53.33,100.59729
2023-12-19T05:00:00.000000000,2024-07-17 00:00:00,3.1,70.37,113.84151
2023-12-19T06:00:00.000000000,2024-07-17 00:00:00,3.1,90.21,125.12917
2023-12-19T07:00:00.000000000,2024-07-17 00:00:00,3.1,112.71,136.02444
2023-12-19T08:00:00.000000000,2024-07-17 00:00:00,3.1,106.26,144.62456
2023-12-19T09:00:00.000000000,2024-07-17 00:00:00,3.1,109.93,148.98408
2023-12-19T10:00:00.000000000,2024-07-17 00:00:00,3.1,121.46,152.04482
2023-12-19T11:00:00.000000000,2024-07-17 00:00:00,3.1,117.78,153.45006
2023-12-19T12:00:00.000000000,2024-07-17 00:00:00,3.1,117.5,152.3675
2023-12-19T13:00:00.000000000,2024-07-17 00:00:00,3.1,114.27,149.58316
2023-12-19T14:00:00.000000000,2024-07-17 00:00:00,3.1,113.0,145.55587
2023-12-19T15:00:00.000000000,2024-07-17 00:00:00,3.1,112.61,140.42328
2023-12-19T16:00:00.000000000,2024-07-17 00:00:00,3.1,124.06,134.82035
2023-12-19T17:00:00.000000000,2024-07-17 00:00:00,3.1,129.78,129.10201
2023-12-19T18:00:00.000000000,2024-07-17 00:00:00,3.1,110.98,121.54533
2023-12-19T19:00:00.000000000,2024-07-17 00:00:00,3.1,98.49,114.16297
2023-12-19T20:00:00.000000000,2024-07-17 00:00:00,3.1,88.14,106.39124
2023-12-19T21:00:00.000000000,2024-07-17 00:00:00,3.1,82.05,100.01002
2023-12-19T22:00:00.000000000,2024-07-17 00:00:00,3.1,75.81,94.08593
2023-12-19T23:00:00.000000000,2024-07-17 00:00:00,3.1,61.17,90.61671
2023-12-20T00:00:00.000000000,2024-07-17 00:00:00,3.1,52.12,81.31601
2023-12-20T01:00:00.000000000,2024-07-17 00:00:00,3.1,47.81,81.03828
2023-12-20T02:00:00.000000000,2024-07-17 00:00:00,3.1,46.55,80.03862
2023-12-20T03:00:00.000000000,2024-07-17 00:00:00,3.1,44.24,80.59237
2023-12-20T04:00:00.000000000,2024-07-17 00:00:00,3.1,49.67,81.34215
2023-12-20T05:00:00.000000000,2024-07-17 00:00:00,3.1,66.37,83.52334
2023-12-20T06:00:00.000000000,2024-07-17 00:00:00,3.1,74.06,85.90179
2023-12-20T07:00:00.000000000,2024-07-17 00:00:00,3.1,75.16,88.07266
2023-12-20T08:00:00.000000000,2024-07-17 00:00:00,3.1,85.8,90.87082
2023-12-20T09:00:00.000000000,2024-07-17 00:00:00,3.1,87.39,93.31779
2023-12-20T10:00:00.000000000,2024-07-17 00:00:00,3.1,72.8,94.47377
2023-12-20T11:00:00.000000000,2024-07-17 00:00:00,3.1,61.68,95.1088
2023-12-20T12:00:00.000000000,2024-07-17 00:00:00,3.1,61.53,95.59403
2023-12-20T13:00:00.000000000,2024-07-17 00:00:00,3.1,77.61,95.78029
2023-12-20T14:00:00.000000000,2024-07-17 00:00:00,3.1,82.52,96.99391
2023-12-20T15:00:00.000000000,2024-07-17 00:00:00,3.1,90.94,102.7103
2023-12-20T16:00:00.000000000,2024-07-17 00:00:00,3.1,96.74,111.58891
2023-12-20T17:00:00.000000000,2024-07-17 00:00:00,3.1,103.57,124.32225
2023-12-20T18:00:00.000000000,2024-07-17 00:00:00,3.1,109.69,136.18525
2023-12-20T19:00:00.000000000,2024-07-17 00:00:00,3.1,117.34,149.12634
2023-12-20T20:00:00.000000000,2024-07-17 00:00:00,3.1,114.53,160.84144
