UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-10-27T00:00:00.000000000,2024-07-17 00:00:00,3.1,48.21,70.9808
2023-10-27T01:00:00.000000000,2024-07-17 00:00:00,3.1,48.93,71.56977
2023-10-27T02:00:00.000000000,2024-07-17 00:00:00,3.1,47.15,73.29941
2023-10-27T03:00:00.000000000,2024-07-17 00:00:00,3.1,47.7,76.85182
2023-10-27T04:00:00.000000000,2024-07-17 00:00:00,3.1,49.35,80.40244
2023-10-27T05:00:00.000000000,2024-07-17 00:00:00,3.1,54.48,83.27582
2023-10-27T06:00:00.000000000,2024-07-17 00:00:00,3.1,58.89,85.42054
2023-10-27T07:00:00.000000000,2024-07-17 00:00:00,3.1,50.52,85.83404
2023-10-27T08:00:00.000000000,2024-07-17 00:00:00,3.1,41.06,84.60558
2023-10-27T09:00:00.000000000,2024-07-17 00:00:00,3.1,39.31,81.7407
2023-10-27T10:00:00.000000000,2024-07-17 00:00:00,3.1,38.04,77.71615
2023-10-27T11:00:00.000000000,2024-07-17 00:00:00,3.1,35.14,75.14917
2023-10-27T12:00:00.000000000,2024-07-17 00:00:00,3.1,34.02,75.4639
2023-10-27T13:00:00.000000000,2024-07-17 00:00:00,3.1,34.69,79.21044
2023-10-27T14:00:00.000000000,2024-07-17 00:00:00,3.1,33.03,84.62522
2023-10-27T15:00:00.000000000,2024-07-17 00:00:00,3.1,37.65,90.27849
2023-10-27T16:00:00.000000000,2024-07-17 00:00:00,3.1,52.53,95.71752
2023-10-27T17:00:00.000000000,2024-07-17 00:00:00,3.1,70.34,100.36483
2023-10-27T18:00:00.000000000,2024-07-17 00:00:00,3.1,79.45,103.47996
2023-10-27T19:00:00.000000000,2024-07-17 00:00:00,3.1,75.46,104.98144
2023-10-27T20:00:00.000000000,2024-07-17 00:00:00,3.1,64.68,103.12864
2023-10-27T21:00:00.000000000,2024-07-17 00:00:00,3.1,58.71,98.66829
2023-10-27T22:00:00.000000000,2024-07-17 00:00:00,3.1,55.69,93.62124
2023-10-27T23:00:00.000000000,2024-07-17 00:00:00,3.1,57.01,90.31405
2023-10-28T00:00:00.000000000,2024-07-17 00:00:00,3.1,59.78,91.44008
2023-10-28T01:00:00.000000000,2024-07-17 00:00:00,3.1,59.36,89.06788
2023-10-28T02:00:00.000000000,2024-07-17 00:00:00,3.1,59.47,87.31372
2023-10-28T03:00:00.000000000,2024-07-17 00:00:00,3.1,61.54,87.76459
2023-10-28T04:00:00.000000000,2024-07-17 00:00:00,3.1,62.45,89.10963
2023-10-28T05:00:00.000000000,2024-07-17 00:00:00,3.1,59.3,91.18051
2023-10-28T06:00:00.000000000,2024-07-17 00:00:00,3.1,61.33,93.95511
2023-10-28T07:00:00.000000000,2024-07-17 00:00:00,3.1,52.61,96.13093
2023-10-28T08:00:00.000000000,2024-07-17 00:00:00,3.1,38.88,97.62441
2023-10-28T09:00:00.000000000,2024-07-17 00:00:00,3.1,37.39,97.57464
2023-10-28T10:00:00.000000000,2024-07-17 00:00:00,3.1,37.25,95.40618
2023-10-28T11:00:00.000000000,2024-07-17 00:00:00,3.1,38.21,93.09524
2023-10-28T12:00:00.000000000,2024-07-17 00:00:00,3.1,38.14,91.76332
2023-10-28T13:00:00.000000000,2024-07-17 00:00:00,3.1,38.73,92.4296
2023-10-28T14:00:00.000000000,2024-07-17 00:00:00,3.1,41.08,94.45629
2023-10-28T15:00:00.000000000,2024-07-17 00:00:00,3.1,40.65,97.76754
2023-10-28T16:00:00.000000000,2024-07-17 00:00:00,3.1,50.83,102.54725
2023-10-28T17:00:00.000000000,2024-07-17 00:00:00,3.1,51.46,108.0889
2023-10-28T18:00:00.000000000,2024-07-17 00:00:00,3.1,53.13,112.94503
2023-10-28T19:00:00.000000000,2024-07-17 00:00:00,3.1,54.98,116.49494
2023-10-28T20:00:00.000000000,2024-07-17 00:00:00,3.1,54.14,116.85949
2023-10-28T21:00:00.000000000,2024-07-17 00:00:00,3.1,52.86,114.00514
2023-10-28T22:00:00.000000000,2024-07-17 00:00:00,3.1,53.53,109.70965
2023-10-28T23:00:00.000000000,2024-07-17 00:00:00,3.1,57.54,105.78706
2023-10-29T00:00:00.000000000,2024-07-17 00:00:00,3.1,58.83,100.29164
2023-10-29T01:00:00.000000000,2024-07-17 00:00:00,3.1,58.8,100.39768
2023-10-29T02:00:00.000000000,2024-07-17 00:00:00,3.1,56.76,101.26796
2023-10-29T03:00:00.000000000,2024-07-17 00:00:00,3.1,61.26,103.43909
