UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-07-14T00:00:00.000000000,2024-07-17 00:00:00,3.1,61.28,60.25525
2023-07-14T01:00:00.000000000,2024-07-17 00:00:00,3.1,61.44,60.32413
2023-07-14T02:00:00.000000000,2024-07-17 00:00:00,3.1,62.58,60.70346
2023-07-14T03:00:00.000000000,2024-07-17 00:00:00,3.1,62.74,61.21402
2023-07-14T04:00:00.000000000,2024-07-17 00:00:00,3.1,60.56,61.45301
2023-07-14T05:00:00.000000000,2024-07-17 00:00:00,3.1,58.87,61.36284
2023-07-14T06:00:00.000000000,2024-07-17 00:00:00,3.1,58.27,60.41468
2023-07-14T07:00:00.000000000,2024-07-17 00:00:00,3.1,52.36,58.68814
2023-07-14T08:00:00.000000000,2024-07-17 00:00:00,3.1,46.83,56.79428
2023-07-14T09:00:00.000000000,2024-07-17 00:00:00,3.1,39.84,54.51997
2023-07-14T10:00:00.000000000,2024-07-17 00:00:00,3.1,33.2,52.5019
2023-07-14T11:00:00.000000000,2024-07-17 00:00:00,3.1,32.35,51.27741
2023-07-14T12:00:00.000000000,2024-07-17 00:00:00,3.1,32.12,51.26626
2023-07-14T13:00:00.000000000,2024-07-17 00:00:00,3.1,31.49,52.18468
2023-07-14T14:00:00.000000000,2024-07-17 00:00:00,3.1,30.68,54.02989
2023-07-14T15:00:00.000000000,2024-07-17 00:00:00,3.1,29.5,55.98248
2023-07-14T16:00:00.000000000,2024-07-17 00:00:00,3.1,31.79,57.91252
2023-07-14T17:00:00.000000000,2024-07-17 00:00:00,3.1,42.09,59.23403
2023-07-14T18:00:00.000000000,2024-07-17 00:00:00,3.1,46.79,59.74694
2023-07-14T19:00:00.000000000,2024-07-17 00:00:00,3.1,44.58,59.45478
2023-07-14T20:00:00.000000000,2024-07-17 00:00:00,3.1,44.3,58.82617
2023-07-14T21:00:00.000000000,2024-07-17 00:00:00,3.1,38.96,57.82936
2023-07-14T22:00:00.000000000,2024-07-17 00:00:00,3.1,29.39,56.73928
2023-07-14T23:00:00.000000000,2024-07-17 00:00:00,3.1,25.33,56.20135
2023-07-15T00:00:00.000000000,2024-07-17 00:00:00,3.1,22.74,51.10379
