UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-08-08T00:00:00.000000000,2024-07-17 00:00:00,3.1,216.33,218.43959
2023-08-08T01:00:00.000000000,2024-07-17 00:00:00,3.1,191.18,213.11011
2023-08-08T02:00:00.000000000,2024-07-17 00:00:00,3.1,174.5,194.95455
2023-08-08T03:00:00.000000000,2024-07-17 00:00:00,3.1,167.03,169.76098
2023-08-08T04:00:00.000000000,2024-07-17 00:00:00,3.1,132.23,152.59724
2023-08-08T05:00:00.000000000,2024-07-17 00:00:00,3.1,127.59,141.10159
2023-08-08T06:00:00.000000000,2024-07-17 00:00:00,3.1,119.34,124.03518
2023-08-08T07:00:00.000000000,2024-07-17 00:00:00,3.1,193.91,121.00376
2023-08-08T08:00:00.000000000,2024-07-17 00:00:00,3.1,210.69,129.86358
2023-08-08T09:00:00.000000000,2024-07-17 00:00:00,3.1,209.33,127.91696
2023-08-08T10:00:00.000000000,2024-07-17 00:00:00,3.1,228.24,141.34314
2023-08-08T11:00:00.000000000,2024-07-17 00:00:00,3.1,237.49,147.23096
2023-08-08T12:00:00.000000000,2024-07-17 00:00:00,3.1,165.56,142.15394
2023-08-08T13:00:00.000000000,2024-07-17 00:00:00,3.1,360.61,127.47029
2023-08-08T14:00:00.000000000,2024-07-17 00:00:00,3.1,189.58,125.43094
2023-08-08T15:00:00.000000000,2024-07-17 00:00:00,3.1,78.3,120.01957
2023-08-08T16:00:00.000000000,2024-07-17 00:00:00,3.1,51.98,110.30026
2023-08-08T17:00:00.000000000,2024-07-17 00:00:00,3.1,51.2,113.28415
2023-08-08T18:00:00.000000000,2024-07-17 00:00:00,3.1,50.48,108.47127
2023-08-08T19:00:00.000000000,2024-07-17 00:00:00,3.1,48.53,137.61252
2023-08-08T20:00:00.000000000,2024-07-17 00:00:00,3.1,49.24,154.68295
2023-08-08T21:00:00.000000000,2024-07-17 00:00:00,3.1,72.17,183.3522
2023-08-08T22:00:00.000000000,2024-07-17 00:00:00,3.1,119.95,208.69155
2023-08-08T23:00:00.000000000,2024-07-17 00:00:00,3.1,124.27,220.84831
2023-08-09T00:00:00.000000000,2024-07-17 00:00:00,3.1,155.38,197.07803
2023-08-09T01:00:00.000000000,2024-07-17 00:00:00,3.1,102.72,189.31893
2023-08-09T02:00:00.000000000,2024-07-17 00:00:00,3.1,107.54,173.40372
2023-08-09T03:00:00.000000000,2024-07-17 00:00:00,3.1,73.3,146.40598
2023-08-09T04:00:00.000000000,2024-07-17 00:00:00,3.1,80.87,133.01887
2023-08-09T05:00:00.000000000,2024-07-17 00:00:00,3.1,90.1,122.45693
2023-08-09T06:00:00.000000000,2024-07-17 00:00:00,3.1,92.94,112.20546
2023-08-09T07:00:00.000000000,2024-07-17 00:00:00,3.1,92.94,113.89237
2023-08-09T08:00:00.000000000,2024-07-17 00:00:00,3.1,101.27,127.54924
2023-08-09T09:00:00.000000000,2024-07-17 00:00:00,3.1,100.83,126.11746
2023-08-09T10:00:00.000000000,2024-07-17 00:00:00,3.1,91.72,131.4637
2023-08-09T11:00:00.000000000,2024-07-17 00:00:00,3.1,94.99,143.51659
2023-08-09T12:00:00.000000000,2024-07-17 00:00:00,3.1,101.73,132.09093
2023-08-09T13:00:00.000000000,2024-07-17 00:00:00,3.1,84.62,116.13668
