UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-09-01T00:00:00.000000000,2024-07-17 00:00:00,3.1,395.91,405.50341
2023-09-01T01:00:00.000000000,2024-07-17 00:00:00,3.1,395.45,412.06648
2023-09-01T02:00:00.000000000,2024-07-17 00:00:00,3.1,395.26,418.17782
2023-09-01T03:00:00.000000000,2024-07-17 00:00:00,3.1,396.92,422.85154
2023-09-01T04:00:00.000000000,2024-07-17 00:00:00,3.1,403.14,426.24525
2023-09-01T05:00:00.000000000,2024-07-17 00:00:00,3.1,405.95,428.58939
2023-09-01T06:00:00.000000000,2024-07-17 00:00:00,3.1,412.62,430.02619
2023-09-01T07:00:00.000000000,2024-07-17 00:00:00,3.1,415.9,431.30089
2023-09-01T08:00:00.000000000,2024-07-17 00:00:00,3.1,417.12,432.68971
2023-09-01T09:00:00.000000000,2024-07-17 00:00:00,3.1,421.86,434.28366
2023-09-01T10:00:00.000000000,2024-07-17 00:00:00,3.1,430.4,435.11338
2023-09-01T11:00:00.000000000,2024-07-17 00:00:00,3.1,439.87,434.9103
2023-09-01T12:00:00.000000000,2024-07-17 00:00:00,3.1,445.16,433.21188
2023-09-01T13:00:00.000000000,2024-07-17 00:00:00,3.1,440.48,429.23782
2023-09-01T14:00:00.000000000,2024-07-17 00:00:00,3.1,428.52,423.21041
2023-09-01T15:00:00.000000000,2024-07-17 00:00:00,3.1,418.8,415.37493
2023-09-01T16:00:00.000000000,2024-07-17 00:00:00,3.1,415.33,406.06162
2023-09-01T17:00:00.000000000,2024-07-17 00:00:00,3.1,412.05,396.65539
2023-09-01T18:00:00.000000000,2024-07-17 00:00:00,3.1,407.99,388.10822
2023-09-01T19:00:00.000000000,2024-07-17 00:00:00,3.1,404.33,381.36051
2023-09-01T20:00:00.000000000,2024-07-17 00:00:00,3.1,399.79,376.85452
2023-09-01T21:00:00.000000000,2024-07-17 00:00:00,3.1,396.71,375.21258
2023-09-01T22:00:00.000000000,2024-07-17 00:00:00,3.1,394.53,376.17551
2023-09-01T23:00:00.000000000,2024-07-17 00:00:00,3.1,393.26,379.11704
2023-09-02T00:00:00.000000000,2024-07-17 00:00:00,3.1,393.87,390.12419
2023-09-02T01:00:00.000000000,2024-07-17 00:00:00,3.1,393.14,395.99655
2023-09-02T02:00:00.000000000,2024-07-17 00:00:00,3.1,389.81,401.77314
2023-09-02T03:00:00.000000000,2024-07-17 00:00:00,3.1,390.72,406.89228
2023-09-02T04:00:00.000000000,2024-07-17 00:00:00,3.1,395.68,411.29808
2023-09-02T05:00:00.000000000,2024-07-17 00:00:00,3.1,402.33,414.95608
2023-09-02T06:00:00.000000000,2024-07-17 00:00:00,3.1,414.48,417.68389
2023-09-02T07:00:00.000000000,2024-07-17 00:00:00,3.1,429.35,420.21691
2023-09-02T08:00:00.000000000,2024-07-17 00:00:00,3.1,443.5,422.61909
2023-09-02T09:00:00.000000000,2024-07-17 00:00:00,3.1,459.5,424.59201
2023-09-02T10:00:00.000000000,2024-07-17 00:00:00,3.1,473.56,425.38478
2023-09-02T11:00:00.000000000,2024-07-17 00:00:00,3.1,476.36,424.80543
2023-09-02T12:00:00.000000000,2024-07-17 00:00:00,3.1,478.6,422.58551
2023-09-02T13:00:00.000000000,2024-07-17 00:00:00,3.1,479.18,418.16289
2023-09-02T14:00:00.000000000,2024-07-17 00:00:00,3.1,472.43,411.9373
2023-09-02T15:00:00.000000000,2024-07-17 00:00:00,3.1,450.53,404.05552
2023-09-02T16:00:00.000000000,2024-07-17 00:00:00,3.1,422.69,395.19304
2023-09-02T17:00:00.000000000,2024-07-17 00:00:00,3.1,401.53,386.63395
2023-09-02T18:00:00.000000000,2024-07-17 00:00:00,3.1,398.09,378.8557
