UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-08-11T00:00:00.000000000,2024-07-17 00:00:00,3.1,495.48,512.68291
2023-08-11T01:00:00.000000000,2024-07-17 00:00:00,3.1,497.4,513.72579
2023-08-11T02:00:00.000000000,2024-07-17 00:00:00,3.1,494.19,516.02498
2023-08-11T03:00:00.000000000,2024-07-17 00:00:00,3.1,492.66,519.6886
2023-08-11T04:00:00.000000000,2024-07-17 00:00:00,3.1,495.74,524.06659
2023-08-11T05:00:00.000000000,2024-07-17 00:00:00,3.1,514.53,528.96201
2023-08-11T06:00:00.000000000,2024-07-17 00:00:00,3.1,545.21,533.86044
2023-08-11T07:00:00.000000000,2024-07-17 00:00:00,3.1,569.39,538.21886
2023-08-11T08:00:00.000000000,2024-07-17 00:00:00,3.1,588.75,541.16514
2023-08-11T09:00:00.000000000,2024-07-17 00:00:00,3.1,584.39,541.81969
2023-08-11T10:00:00.000000000,2024-07-17 00:00:00,3.1,581.29,541.22299
2023-08-11T11:00:00.000000000,2024-07-17 00:00:00,3.1,583.61,539.22631
2023-08-11T12:00:00.000000000,2024-07-17 00:00:00,3.1,566.59,537.07938
2023-08-11T13:00:00.000000000,2024-07-17 00:00:00,3.1,545.54,534.14947
2023-08-11T14:00:00.000000000,2024-07-17 00:00:00,3.1,519.08,532.18452
2023-08-11T15:00:00.000000000,2024-07-17 00:00:00,3.1,493.44,530.948
2023-08-11T16:00:00.000000000,2024-07-17 00:00:00,3.1,483.77,529.69371
2023-08-11T17:00:00.000000000,2024-07-17 00:00:00,3.1,476.6,528.59863
2023-08-11T18:00:00.000000000,2024-07-17 00:00:00,3.1,477.41,526.65389
2023-08-11T19:00:00.000000000,2024-07-17 00:00:00,3.1,480.13,523.88119
2023-08-11T20:00:00.000000000,2024-07-17 00:00:00,3.1,486.68,520.3963
2023-08-11T21:00:00.000000000,2024-07-17 00:00:00,3.1,486.73,516.26179
2023-08-11T22:00:00.000000000,2024-07-17 00:00:00,3.1,481.5,511.25359
2023-08-11T23:00:00.000000000,2024-07-17 00:00:00,3.1,468.88,507.06477
2023-08-12T00:00:00.000000000,2024-07-17 00:00:00,3.1,459.08,527.92655
2023-08-12T01:00:00.000000000,2024-07-17 00:00:00,3.1,459.73,528.4418
2023-08-12T02:00:00.000000000,2024-07-17 00:00:00,3.1,458.09,528.56117
2023-08-12T03:00:00.000000000,2024-07-17 00:00:00,3.1,462.68,528.85047
2023-08-12T04:00:00.000000000,2024-07-17 00:00:00,3.1,473.91,529.45724
2023-08-12T05:00:00.000000000,2024-07-17 00:00:00,3.1,483.31,530.26735
2023-08-12T06:00:00.000000000,2024-07-17 00:00:00,3.1,486.86,530.8994
2023-08-12T07:00:00.000000000,2024-07-17 00:00:00,3.1,493.82,530.48134
2023-08-12T08:00:00.000000000,2024-07-17 00:00:00,3.1,509.36,528.43429
2023-08-12T09:00:00.000000000,2024-07-17 00:00:00,3.1,512.53,522.93015
2023-08-12T10:00:00.000000000,2024-07-17 00:00:00,3.1,539.67,517.16286
2023-08-12T11:00:00.000000000,2024-07-17 00:00:00,3.1,543.58,510.94907
2023-08-12T12:00:00.000000000,2024-07-17 00:00:00,3.1,543.57,505.21567
2023-08-12T13:00:00.000000000,2024-07-17 00:00:00,3.1,537.5,499.20594
2023-08-12T14:00:00.000000000,2024-07-17 00:00:00,3.1,505.26,493.55981
2023-08-12T15:00:00.000000000,2024-07-17 00:00:00,3.1,476.57,488.48042
2023-08-12T16:00:00.000000000,2024-07-17 00:00:00,3.1,453.26,483.42084
2023-08-12T17:00:00.000000000,2024-07-17 00:00:00,3.1,427.09,478.47925
2023-08-12T18:00:00.000000000,2024-07-17 00:00:00,3.1,411.16,472.7725
2023-08-12T19:00:00.000000000,2024-07-17 00:00:00,3.1,412.31,466.57081
2023-08-12T20:00:00.000000000,2024-07-17 00:00:00,3.1,405.18,461.9512
2023-08-12T21:00:00.000000000,2024-07-17 00:00:00,3.1,398.72,457.83143
2023-08-12T22:00:00.000000000,2024-07-17 00:00:00,3.1,372.23,453.85929
2023-08-12T23:00:00.000000000,2024-07-17 00:00:00,3.1,352.82,451.58181
2023-08-13T00:00:00.000000000,2024-07-17 00:00:00,3.1,346.1,442.79983
2023-08-13T01:00:00.000000000,2024-07-17 00:00:00,3.1,351.47,443.64261
2023-08-13T02:00:00.000000000,2024-07-17 00:00:00,3.1,351.82,445.83053
2023-08-13T03:00:00.000000000,2024-07-17 00:00:00,3.1,351.86,450.61376
2023-08-13T04:00:00.000000000,2024-07-17 00:00:00,3.1,376.48,456.006
2023-08-13T05:00:00.000000000,2024-07-17 00:00:00,3.1,414.0,463.01752
2023-08-13T06:00:00.000000000,2024-07-17 00:00:00,3.1,459.59,471.3742
2023-08-13T07:00:00.000000000,2024-07-17 00:00:00,3.1,493.87,478.14434
2023-08-13T08:00:00.000000000,2024-07-17 00:00:00,3.1,511.71,484.39045
2023-08-13T09:00:00.000000000,2024-07-17 00:00:00,3.1,525.07,489.33263
2023-08-13T10:00:00.000000000,2024-07-17 00:00:00,3.1,533.64,495.06289
2023-08-13T11:00:00.000000000,2024-07-17 00:00:00,3.1,539.7,498.06906
2023-08-13T12:00:00.000000000,2024-07-17 00:00:00,3.1,536.48,500.58585
2023-08-13T13:00:00.000000000,2024-07-17 00:00:00,3.1,520.3,502.50818
2023-08-13T14:00:00.000000000,2024-07-17 00:00:00,3.1,507.86,504.86253
2023-08-13T15:00:00.000000000,2024-07-17 00:00:00,3.1,490.65,507.24589
2023-08-13T16:00:00.000000000,2024-07-17 00:00:00,3.1,483.78,508.39874
2023-08-13T17:00:00.000000000,2024-07-17 00:00:00,3.1,478.85,508.9927
2023-08-13T18:00:00.000000000,2024-07-17 00:00:00,3.1,472.79,507.81352
2023-08-13T19:00:00.000000000,2024-07-17 00:00:00,3.1,487.39,504.6602
2023-08-13T20:00:00.000000000,2024-07-17 00:00:00,3.1,489.03,500.2131
2023-08-13T21:00:00.000000000,2024-07-17 00:00:00,3.1,480.18,494.74788
2023-08-13T22:00:00.000000000,2024-07-17 00:00:00,3.1,457.44,488.95576
2023-08-13T23:00:00.000000000,2024-07-17 00:00:00,3.1,447.55,484.54053
2023-08-14T00:00:00.000000000,2024-07-17 00:00:00,3.1,455.74,473.93304
2023-08-14T01:00:00.000000000,2024-07-17 00:00:00,3.1,471.97,476.55866
2023-08-14T02:00:00.000000000,2024-07-17 00:00:00,3.1,482.3,480.55149
2023-08-14T03:00:00.000000000,2024-07-17 00:00:00,3.1,492.94,485.62274
2023-08-14T04:00:00.000000000,2024-07-17 00:00:00,3.1,502.45,490.63756
2023-08-14T05:00:00.000000000,2024-07-17 00:00:00,3.1,515.43,495.97724
