UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-07-12T00:00:00.000000000,2024-07-17 00:00:00,3.1,280.89,300.39764
2022-07-12T01:00:00.000000000,2024-07-17 00:00:00,3.1,280.76,291.85263
2022-07-12T02:00:00.000000000,2024-07-17 00:00:00,3.1,276.23,282.24824
2022-07-12T03:00:00.000000000,2024-07-17 00:00:00,3.1,270.69,272.28062
2022-07-12T04:00:00.000000000,2024-07-17 00:00:00,3.1,245.69,260.14111
2022-07-12T05:00:00.000000000,2024-07-17 00:00:00,3.1,242.8,249.60018
2022-07-12T06:00:00.000000000,2024-07-17 00:00:00,3.1,237.4,242.0713
2022-07-12T07:00:00.000000000,2024-07-17 00:00:00,3.1,231.78,233.04487
2022-07-12T08:00:00.000000000,2024-07-17 00:00:00,3.1,233.41,229.56829
2022-07-12T09:00:00.000000000,2024-07-17 00:00:00,3.1,238.27,227.66053
2022-07-12T10:00:00.000000000,2024-07-17 00:00:00,3.1,233.69,228.17236
2022-07-12T11:00:00.000000000,2024-07-17 00:00:00,3.1,231.47,228.57688
2022-07-12T12:00:00.000000000,2024-07-17 00:00:00,3.1,232.05,230.77054
2022-07-12T13:00:00.000000000,2024-07-17 00:00:00,3.1,233.9,236.52502
2022-07-12T14:00:00.000000000,2024-07-17 00:00:00,3.1,238.89,237.56405
2022-07-12T15:00:00.000000000,2024-07-17 00:00:00,3.1,243.39,237.00977
2022-07-12T16:00:00.000000000,2024-07-17 00:00:00,3.1,247.54,239.79646
2022-07-12T17:00:00.000000000,2024-07-17 00:00:00,3.1,245.52,244.96923
2022-07-12T18:00:00.000000000,2024-07-17 00:00:00,3.1,246.27,250.61707
2022-07-12T19:00:00.000000000,2024-07-17 00:00:00,3.1,240.9,256.64024
2022-07-12T20:00:00.000000000,2024-07-17 00:00:00,3.1,265.37,264.38078
2022-07-12T21:00:00.000000000,2024-07-17 00:00:00,3.1,275.13,270.67085
2022-07-12T22:00:00.000000000,2024-07-17 00:00:00,3.1,280.67,278.98718
2022-07-12T23:00:00.000000000,2024-07-17 00:00:00,3.1,280.03,284.66187
2022-07-13T00:00:00.000000000,2024-07-17 00:00:00,3.1,279.05,309.11049
2022-07-13T01:00:00.000000000,2024-07-17 00:00:00,3.1,276.4,299.33863
2022-07-13T02:00:00.000000000,2024-07-17 00:00:00,3.1,266.07,287.597
2022-07-13T03:00:00.000000000,2024-07-17 00:00:00,3.1,265.54,275.34217
2022-07-13T04:00:00.000000000,2024-07-17 00:00:00,3.1,250.31,260.82841
2022-07-13T05:00:00.000000000,2024-07-17 00:00:00,3.1,244.9,248.1355
2022-07-13T06:00:00.000000000,2024-07-17 00:00:00,3.1,242.19,239.45147
2022-07-13T07:00:00.000000000,2024-07-17 00:00:00,3.1,234.99,228.81321
2022-07-13T08:00:00.000000000,2024-07-17 00:00:00,3.1,224.86,224.6582
2022-07-13T09:00:00.000000000,2024-07-17 00:00:00,3.1,206.83,222.08442
2022-07-13T10:00:00.000000000,2024-07-17 00:00:00,3.1,202.39,222.41144
2022-07-13T11:00:00.000000000,2024-07-17 00:00:00,3.1,200.45,222.15934
2022-07-13T12:00:00.000000000,2024-07-17 00:00:00,3.1,201.23,223.65158
2022-07-13T13:00:00.000000000,2024-07-17 00:00:00,3.1,200.33,228.91306
2022-07-13T14:00:00.000000000,2024-07-17 00:00:00,3.1,176.29,229.84775
2022-07-13T15:00:00.000000000,2024-07-17 00:00:00,3.1,181.08,229.75774
2022-07-13T16:00:00.000000000,2024-07-17 00:00:00,3.1,225.16,233.40374
2022-07-13T17:00:00.000000000,2024-07-17 00:00:00,3.1,232.95,239.80878
2022-07-13T18:00:00.000000000,2024-07-17 00:00:00,3.1,242.67,246.86753
2022-07-13T19:00:00.000000000,2024-07-17 00:00:00,3.1,255.43,254.47766
2022-07-13T20:00:00.000000000,2024-07-17 00:00:00,3.1,282.97,264.04878
2022-07-13T21:00:00.000000000,2024-07-17 00:00:00,3.1,284.17,272.31275
2022-07-13T22:00:00.000000000,2024-07-17 00:00:00,3.1,280.57,282.66351
2022-07-13T23:00:00.000000000,2024-07-17 00:00:00,3.1,270.98,289.20392
2022-07-14T00:00:00.000000000,2024-07-17 00:00:00,3.1,262.61,308.60881
2022-07-14T01:00:00.000000000,2024-07-17 00:00:00,3.1,251.48,299.54668
2022-07-14T02:00:00.000000000,2024-07-17 00:00:00,3.1,246.85,289.1726
2022-07-14T03:00:00.000000000,2024-07-17 00:00:00,3.1,245.96,278.27777
2022-07-14T04:00:00.000000000,2024-07-17 00:00:00,3.1,232.1,264.88945
2022-07-14T05:00:00.000000000,2024-07-17 00:00:00,3.1,248.78,253.28763
2022-07-14T06:00:00.000000000,2024-07-17 00:00:00,3.1,250.02,244.9506
2022-07-14T07:00:00.000000000,2024-07-17 00:00:00,3.1,244.02,235.69971
2022-07-14T08:00:00.000000000,2024-07-17 00:00:00,3.1,236.49,232.8707
2022-07-14T09:00:00.000000000,2024-07-17 00:00:00,3.1,235.38,232.44861
2022-07-14T10:00:00.000000000,2024-07-17 00:00:00,3.1,233.94,234.31201
2022-07-14T11:00:00.000000000,2024-07-17 00:00:00,3.1,240.38,236.28241
2022-07-14T12:00:00.000000000,2024-07-17 00:00:00,3.1,245.44,240.00473
2022-07-14T13:00:00.000000000,2024-07-17 00:00:00,3.1,250.39,246.51456
2022-07-14T14:00:00.000000000,2024-07-17 00:00:00,3.1,250.12,247.50587
2022-07-14T15:00:00.000000000,2024-07-17 00:00:00,3.1,254.14,246.15568
2022-07-14T16:00:00.000000000,2024-07-17 00:00:00,3.1,260.81,248.19133
2022-07-14T17:00:00.000000000,2024-07-17 00:00:00,3.1,259.02,252.03307
2022-07-14T18:00:00.000000000,2024-07-17 00:00:00,3.1,254.84,257.28607
2022-07-14T19:00:00.000000000,2024-07-17 00:00:00,3.1,253.75,263.32157
2022-07-14T20:00:00.000000000,2024-07-17 00:00:00,3.1,275.6,271.38116
2022-07-14T21:00:00.000000000,2024-07-17 00:00:00,3.1,279.56,277.57284
2022-07-14T22:00:00.000000000,2024-07-17 00:00:00,3.1,285.81,286.08544
2022-07-14T23:00:00.000000000,2024-07-17 00:00:00,3.1,289.73,291.90755
2022-07-15T00:00:00.000000000,2024-07-17 00:00:00,3.1,293.1,307.52152
2022-07-15T01:00:00.000000000,2024-07-17 00:00:00,3.1,296.5,307.16889
2022-07-15T02:00:00.000000000,2024-07-17 00:00:00,3.1,299.61,304.50348
2022-07-15T03:00:00.000000000,2024-07-17 00:00:00,3.1,300.92,300.89635
2022-07-15T04:00:00.000000000,2024-07-17 00:00:00,3.1,275.61,294.12592
2022-07-15T05:00:00.000000000,2024-07-17 00:00:00,3.1,264.32,286.28746
2022-07-15T06:00:00.000000000,2024-07-17 00:00:00,3.1,255.38,278.91271
2022-07-15T07:00:00.000000000,2024-07-17 00:00:00,3.1,254.15,267.63394
2022-07-15T08:00:00.000000000,2024-07-17 00:00:00,3.1,250.28,258.81027
2022-07-15T09:00:00.000000000,2024-07-17 00:00:00,3.1,250.91,249.33268
2022-07-15T10:00:00.000000000,2024-07-17 00:00:00,3.1,244.89,242.67384
2022-07-15T11:00:00.000000000,2024-07-17 00:00:00,3.1,232.25,236.43367
2022-07-15T12:00:00.000000000,2024-07-17 00:00:00,3.1,229.07,232.11314
2022-07-15T13:00:00.000000000,2024-07-17 00:00:00,3.1,226.23,233.26209
2022-07-15T14:00:00.000000000,2024-07-17 00:00:00,3.1,219.65,231.29926
2022-07-15T15:00:00.000000000,2024-07-17 00:00:00,3.1,233.8,228.6561
2022-07-15T16:00:00.000000000,2024-07-17 00:00:00,3.1,237.13,228.9362
2022-07-15T17:00:00.000000000,2024-07-17 00:00:00,3.1,237.89,232.0661
2022-07-15T18:00:00.000000000,2024-07-17 00:00:00,3.1,235.37,235.84044
2022-07-15T19:00:00.000000000,2024-07-17 00:00:00,3.1,234.19,240.28193
2022-07-15T20:00:00.000000000,2024-07-17 00:00:00,3.1,261.12,245.99375
2022-07-15T21:00:00.000000000,2024-07-17 00:00:00,3.1,273.59,251.82292
2022-07-15T22:00:00.000000000,2024-07-17 00:00:00,3.1,268.14,261.26399
2022-07-15T23:00:00.000000000,2024-07-17 00:00:00,3.1,267.65,270.40645
