,Solar,Wind Onshore
2019-01-01 01:00:00+01:00,0.0,109.0
2019-01-01 02:00:00+01:00,0.0,79.0
2019-01-01 03:00:00+01:00,0.0,29.0
2019-01-01 04:00:00+01:00,0.0,7.0
2019-01-01 05:00:00+01:00,0.0,14.0
2019-01-01 06:00:00+01:00,0.0,33.0
2019-01-01 07:00:00+01:00,29.0,101.0
2019-01-01 08:00:00+01:00,168.0,250.0
2019-01-01 09:00:00+01:00,301.0,310.0
2019-01-01 10:00:00+01:00,376.0,376.0
2019-01-01 11:00:00+01:00,360.0,403.0
2019-01-01 12:00:00+01:00,267.0,380.0
2019-01-01 13:00:00+01:00,153.0,524.0
2019-01-01 14:00:00+01:00,74.0,630.0
2019-01-01 15:00:00+01:00,14.0,736.0
2019-01-01 16:00:00+01:00,0.0,843.0
2019-01-01 17:00:00+01:00,0.0,862.0
2019-01-01 18:00:00+01:00,0.0,717.0
2019-01-01 19:00:00+01:00,0.0,610.0
2019-01-01 20:00:00+01:00,0.0,647.0
2019-01-01 21:00:00+01:00,0.0,856.0
2019-01-01 22:00:00+01:00,0.0,814.0
2019-01-01 23:00:00+01:00,0.0,859.0
2019-01-02 00:00:00+01:00,0.0,1255.0
2019-01-02 01:00:00+01:00,0.0,1239.0
2019-01-02 02:00:00+01:00,0.0,1236.0
2019-01-02 03:00:00+01:00,0.0,1264.0
2019-01-02 04:00:00+01:00,0.0,1238.0
2019-01-02 05:00:00+01:00,0.0,1274.0
2019-01-02 06:00:00+01:00,0.0,1298.0
2019-01-02 07:00:00+01:00,23.0,1310.0
2019-01-02 08:00:00+01:00,137.0,1305.0
2019-01-02 09:00:00+01:00,310.0,1301.0
2019-01-02 10:00:00+01:00,665.0,1296.0
2019-01-02 11:00:00+01:00,636.0,1294.0
2019-01-02 12:00:00+01:00,444.0,1290.0
2019-01-02 13:00:00+01:00,227.0,1301.0
2019-01-02 14:00:00+01:00,88.0,1301.0
2019-01-02 15:00:00+01:00,17.0,1301.0
2019-01-02 16:00:00+01:00,0.0,1288.0
2019-01-02 17:00:00+01:00,0.0,1263.0
2019-01-02 18:00:00+01:00,0.0,1239.0
2019-01-02 19:00:00+01:00,0.0,1207.0
2019-01-02 20:00:00+01:00,0.0,1207.0
2019-01-02 21:00:00+01:00,0.0,1248.0
2019-01-02 22:00:00+01:00,0.0,1246.0
2019-01-02 23:00:00+01:00,0.0,1152.0
2019-01-03 00:00:00+01:00,0.0,1192.0
2019-01-03 01:00:00+01:00,0.0,1185.0
2019-01-03 02:00:00+01:00,0.0,1216.0
2019-01-03 03:00:00+01:00,0.0,1224.0
2019-01-03 04:00:00+01:00,0.0,1232.0
2019-01-03 05:00:00+01:00,0.0,1245.0
2019-01-03 06:00:00+01:00,0.0,1248.0
2019-01-03 07:00:00+01:00,36.0,1253.0
2019-01-03 08:00:00+01:00,268.0,1256.0
2019-01-03 09:00:00+01:00,557.0,1255.0
2019-01-03 10:00:00+01:00,681.0,1251.0
2019-01-03 11:00:00+01:00,835.0,1262.0
2019-01-03 12:00:00+01:00,574.0,1223.0
2019-01-03 13:00:00+01:00,289.0,1166.0
2019-01-03 14:00:00+01:00,106.0,1079.0
2019-01-03 15:00:00+01:00,21.0,956.0
2019-01-03 16:00:00+01:00,0.0,832.0
2019-01-03 17:00:00+01:00,0.0,863.0
2019-01-03 18:00:00+01:00,0.0,857.0
2019-01-03 19:00:00+01:00,0.0,988.0
2019-01-03 20:00:00+01:00,0.0,999.0
2019-01-03 21:00:00+01:00,0.0,1014.0
2019-01-03 22:00:00+01:00,0.0,1059.0
2019-01-03 23:00:00+01:00,0.0,1027.0
2019-01-04 00:00:00+01:00,0.0,992.0
2019-01-04 01:00:00+01:00,0.0,1022.0
2019-01-04 02:00:00+01:00,0.0,1071.0
2019-01-04 03:00:00+01:00,0.0,1152.0
2019-01-04 04:00:00+01:00,0.0,1102.0
2019-01-04 05:00:00+01:00,0.0,1060.0
2019-01-04 06:00:00+01:00,0.0,992.0
2019-01-04 07:00:00+01:00,34.0,1021.0
2019-01-04 08:00:00+01:00,254.0,985.0
2019-01-04 09:00:00+01:00,605.0,1057.0
2019-01-04 10:00:00+01:00,966.0,1020.0
2019-01-04 11:00:00+01:00,995.0,948.0
2019-01-04 12:00:00+01:00,674.0,894.0
2019-01-04 13:00:00+01:00,327.0,811.0
2019-01-04 14:00:00+01:00,107.0,563.0
2019-01-04 15:00:00+01:00,21.0,324.0
2019-01-04 16:00:00+01:00,0.0,208.0
2019-01-04 17:00:00+01:00,0.0,168.0
2019-01-04 18:00:00+01:00,0.0,106.0
2019-01-04 19:00:00+01:00,0.0,50.0
2019-01-04 20:00:00+01:00,0.0,55.0
2019-01-04 21:00:00+01:00,0.0,32.0
2019-01-04 22:00:00+01:00,0.0,62.0
2019-01-04 23:00:00+01:00,0.0,124.0
2019-01-05 00:00:00+01:00,0.0,185.0
2019-01-05 01:00:00+01:00,0.0,218.0
2019-01-05 02:00:00+01:00,0.0,285.0
2019-01-05 03:00:00+01:00,0.0,438.0
2019-01-05 04:00:00+01:00,0.0,417.0
2019-01-05 05:00:00+01:00,0.0,435.0
2019-01-05 06:00:00+01:00,0.0,396.0
2019-01-05 07:00:00+01:00,24.0,409.0
2019-01-05 08:00:00+01:00,140.0,471.0
2019-01-05 09:00:00+01:00,283.0,556.0
2019-01-05 10:00:00+01:00,376.0,633.0
2019-01-05 11:00:00+01:00,408.0,657.0
2019-01-05 12:00:00+01:00,289.0,747.0
2019-01-05 13:00:00+01:00,154.0,855.0
2019-01-05 14:00:00+01:00,65.0,1002.0
2019-01-05 15:00:00+01:00,13.0,1140.0
2019-01-05 16:00:00+01:00,0.0,1253.0
2019-01-05 17:00:00+01:00,0.0,1237.0
2019-01-05 18:00:00+01:00,0.0,1229.0
2019-01-05 19:00:00+01:00,0.0,1177.0
2019-01-05 20:00:00+01:00,0.0,1118.0
2019-01-05 21:00:00+01:00,0.0,1146.0
2019-01-05 22:00:00+01:00,0.0,1144.0
2019-01-05 23:00:00+01:00,0.0,727.0
2019-01-06 00:00:00+01:00,0.0,838.0
2019-01-06 01:00:00+01:00,0.0,914.0
2019-01-06 02:00:00+01:00,0.0,911.0
2019-01-06 03:00:00+01:00,0.0,882.0
2019-01-06 04:00:00+01:00,0.0,894.0
2019-01-06 05:00:00+01:00,0.0,967.0
2019-01-06 06:00:00+01:00,0.0,963.0
2019-01-06 07:00:00+01:00,37.0,994.0
2019-01-06 08:00:00+01:00,273.0,1146.0
2019-01-06 09:00:00+01:00,625.0,1152.0
2019-01-06 10:00:00+01:00,979.0,1185.0
2019-01-06 11:00:00+01:00,1012.0,1199.0
2019-01-06 12:00:00+01:00,692.0,1221.0
2019-01-06 13:00:00+01:00,343.0,1166.0
