Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,other
36000,2023-02-09 00:00:00,2024-07-17 00:00:00,3.1,742.96,4477.0,0.0,17.0,0.0,95.0,0.0
36001,2023-02-09 01:00:00,2024-07-17 00:00:00,3.1,742.73,4398.0,0.0,16.0,0.0,95.0,0.0
36002,2023-02-09 02:00:00,2024-07-17 00:00:00,3.1,741.55,4207.0,0.0,17.0,0.0,97.0,0.0
36003,2023-02-09 03:00:00,2024-07-17 00:00:00,3.1,740.32,3937.0,0.0,17.0,0.0,97.0,0.0
36004,2023-02-09 04:00:00,2024-07-17 00:00:00,3.1,739.01,3579.0,0.0,17.0,0.0,94.0,0.0
36005,2023-02-09 05:00:00,2024-07-17 00:00:00,3.1,735.72,3170.0,0.0,17.0,0.0,97.0,0.0
36006,2023-02-09 06:00:00,2024-07-17 00:00:00,3.1,732.97,2821.0,0.0,18.0,0.0,96.0,0.0
36007,2023-02-09 07:00:00,2024-07-17 00:00:00,3.1,731.18,2627.0,0.0,17.0,0.0,96.0,0.0
36008,2023-02-09 08:00:00,2024-07-17 00:00:00,3.1,730.75,2537.0,0.0,17.0,0.0,94.0,0.0
36009,2023-02-09 09:00:00,2024-07-17 00:00:00,3.1,729.79,2512.0,0.0,18.0,0.0,96.0,0.0
36010,2023-02-09 10:00:00,2024-07-17 00:00:00,3.1,730.3,2522.0,0.0,17.0,0.0,95.0,0.0
36011,2023-02-09 11:00:00,2024-07-17 00:00:00,3.1,732.39,2759.0,0.0,18.0,0.0,96.0,0.0
36012,2023-02-09 12:00:00,2024-07-17 00:00:00,3.1,736.91,3307.0,0.0,17.0,0.0,96.0,0.0
36013,2023-02-09 13:00:00,2024-07-17 00:00:00,3.1,730.82,3481.0,0.0,18.0,34.0,97.0,0.0
36014,2023-02-09 14:00:00,2024-07-17 00:00:00,3.1,671.31,3260.0,0.0,17.0,326.0,98.0,0.0
36015,2023-02-09 15:00:00,2024-07-17 00:00:00,3.1,630.2,3153.0,0.0,18.0,549.0,94.0,0.0
36016,2023-02-09 16:00:00,2024-07-17 00:00:00,3.1,621.97,3196.0,0.0,18.0,606.0,97.0,0.0
36017,2023-02-09 17:00:00,2024-07-17 00:00:00,3.1,636.68,3434.0,0.0,17.0,565.0,94.0,0.0
36018,2023-02-09 18:00:00,2024-07-17 00:00:00,3.1,648.5,3622.0,0.0,18.0,521.0,95.0,0.0
36019,2023-02-09 19:00:00,2024-07-17 00:00:00,3.1,656.06,3780.0,0.0,18.0,496.0,96.0,0.0
36020,2023-02-09 20:00:00,2024-07-17 00:00:00,3.1,656.6,4010.0,0.0,17.0,528.0,97.0,0.0
36021,2023-02-09 21:00:00,2024-07-17 00:00:00,3.1,675.71,4226.0,0.0,18.0,421.0,99.0,0.0
36022,2023-02-09 22:00:00,2024-07-17 00:00:00,3.1,706.8,4446.0,0.0,18.0,233.0,94.0,0.0
36023,2023-02-09 23:00:00,2024-07-17 00:00:00,3.1,736.37,4645.0,0.0,18.0,42.0,99.0,0.0
