Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,oil,solar,other
41016,2023-09-22 00:00:00,2024-07-17 00:00:00,3.1,341.82,12721.0,3679.0,0.0,30.0,3900.0
41017,2023-09-22 01:00:00,2024-07-17 00:00:00,3.1,340.76,12000.0,3676.0,0.0,0.0,3850.0
41018,2023-09-22 02:00:00,2024-07-17 00:00:00,3.1,337.66,10944.0,3677.0,0.0,0.0,3740.0
41019,2023-09-22 03:00:00,2024-07-17 00:00:00,3.1,332.45,9893.0,3678.0,0.0,0.0,3510.0
41020,2023-09-22 04:00:00,2024-07-17 00:00:00,3.1,327.31,8525.0,3681.0,0.0,0.0,3395.0
41021,2023-09-22 05:00:00,2024-07-17 00:00:00,3.1,318.07,7349.0,3682.0,0.0,0.0,3073.0
41022,2023-09-22 06:00:00,2024-07-17 00:00:00,3.1,310.01,6570.0,3688.0,0.0,0.0,2827.0
41023,2023-09-22 07:00:00,2024-07-17 00:00:00,3.1,303.21,6264.0,3689.0,0.0,0.0,2576.0
41024,2023-09-22 08:00:00,2024-07-17 00:00:00,3.1,297.42,6175.0,3691.0,0.0,0.0,2340.0
41025,2023-09-22 09:00:00,2024-07-17 00:00:00,3.1,295.57,6161.0,3690.0,0.0,0.0,2262.0
41026,2023-09-22 10:00:00,2024-07-17 00:00:00,3.1,303.71,6328.0,3691.0,0.0,0.0,2586.0
41027,2023-09-22 11:00:00,2024-07-17 00:00:00,3.1,314.8,6974.0,3691.0,0.0,0.0,2986.0
41028,2023-09-22 12:00:00,2024-07-17 00:00:00,3.1,316.15,7490.0,3691.0,0.0,65.0,3029.0
41029,2023-09-22 13:00:00,2024-07-17 00:00:00,3.1,298.03,7732.0,3688.0,0.0,982.0,3016.0
41030,2023-09-22 14:00:00,2024-07-17 00:00:00,3.1,272.4,7862.0,3689.0,0.0,2473.0,3011.0
41031,2023-09-22 15:00:00,2024-07-17 00:00:00,3.1,259.26,8238.0,3689.0,0.0,3497.0,3011.0
41032,2023-09-22 16:00:00,2024-07-17 00:00:00,3.1,258.76,9146.0,3691.0,0.0,3932.0,3020.0
41033,2023-09-22 17:00:00,2024-07-17 00:00:00,3.1,264.75,10221.0,3688.0,0.0,4040.0,3127.0
41034,2023-09-22 18:00:00,2024-07-17 00:00:00,3.1,272.12,11253.0,3687.0,0.0,4007.0,3276.0
41035,2023-09-22 19:00:00,2024-07-17 00:00:00,3.1,278.52,11921.0,3683.0,0.0,3912.0,3457.0
41036,2023-09-22 20:00:00,2024-07-17 00:00:00,3.1,287.75,12396.0,3680.0,0.0,3612.0,3755.0
41037,2023-09-22 21:00:00,2024-07-17 00:00:00,3.1,299.35,13099.0,3676.0,0.0,3050.0,3947.0
41038,2023-09-22 22:00:00,2024-07-17 00:00:00,3.1,310.46,13359.0,3673.0,0.0,2294.0,3996.0
41039,2023-09-22 23:00:00,2024-07-17 00:00:00,3.1,343.55,14229.0,3080.0,0.0,840.0,4193.0
