UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-06-21T00:00:00.000000000,2024-07-17 00:00:00,3.1,423.5,402.953
2023-06-21T01:00:00.000000000,2024-07-17 00:00:00,3.1,425.98,401.49151
2023-06-21T02:00:00.000000000,2024-07-17 00:00:00,3.1,418.26,397.32661
2023-06-21T03:00:00.000000000,2024-07-17 00:00:00,3.1,410.35,391.25597
2023-06-21T04:00:00.000000000,2024-07-17 00:00:00,3.1,398.07,384.29248
2023-06-21T05:00:00.000000000,2024-07-17 00:00:00,3.1,389.4,377.81804
2023-06-21T06:00:00.000000000,2024-07-17 00:00:00,3.1,380.44,371.72399
2023-06-21T07:00:00.000000000,2024-07-17 00:00:00,3.1,370.11,366.50421
2023-06-21T08:00:00.000000000,2024-07-17 00:00:00,3.1,361.44,363.24692
2023-06-21T09:00:00.000000000,2024-07-17 00:00:00,3.1,359.71,362.25402
2023-06-21T10:00:00.000000000,2024-07-17 00:00:00,3.1,367.77,363.94593
2023-06-21T11:00:00.000000000,2024-07-17 00:00:00,3.1,373.65,367.57187
2023-06-21T12:00:00.000000000,2024-07-17 00:00:00,3.1,372.42,371.32849
2023-06-21T13:00:00.000000000,2024-07-17 00:00:00,3.1,367.64,373.96492
2023-06-21T14:00:00.000000000,2024-07-17 00:00:00,3.1,362.79,375.17813
2023-06-21T15:00:00.000000000,2024-07-17 00:00:00,3.1,354.81,375.29989
2023-06-21T16:00:00.000000000,2024-07-17 00:00:00,3.1,349.55,375.65825
2023-06-21T17:00:00.000000000,2024-07-17 00:00:00,3.1,357.97,377.29312
2023-06-21T18:00:00.000000000,2024-07-17 00:00:00,3.1,373.69,379.61848
2023-06-21T19:00:00.000000000,2024-07-17 00:00:00,3.1,383.99,382.67498
2023-06-21T20:00:00.000000000,2024-07-17 00:00:00,3.1,390.17,386.55186
2023-06-21T21:00:00.000000000,2024-07-17 00:00:00,3.1,395.81,391.58503
2023-06-21T22:00:00.000000000,2024-07-17 00:00:00,3.1,411.83,396.64526
2023-06-21T23:00:00.000000000,2024-07-17 00:00:00,3.1,423.21,400.93059
2023-06-22T00:00:00.000000000,2024-07-17 00:00:00,3.1,426.16,399.78928
2023-06-22T01:00:00.000000000,2024-07-17 00:00:00,3.1,422.65,398.30265
2023-06-22T02:00:00.000000000,2024-07-17 00:00:00,3.1,418.18,394.74754
2023-06-22T03:00:00.000000000,2024-07-17 00:00:00,3.1,410.34,389.19252
2023-06-22T04:00:00.000000000,2024-07-17 00:00:00,3.1,404.59,382.57243
2023-06-22T05:00:00.000000000,2024-07-17 00:00:00,3.1,393.36,376.78493
2023-06-22T06:00:00.000000000,2024-07-17 00:00:00,3.1,384.13,372.32224
2023-06-22T07:00:00.000000000,2024-07-17 00:00:00,3.1,376.48,369.2561
2023-06-22T08:00:00.000000000,2024-07-17 00:00:00,3.1,370.37,367.48028
2023-06-22T09:00:00.000000000,2024-07-17 00:00:00,3.1,368.51,366.65842
2023-06-22T10:00:00.000000000,2024-07-17 00:00:00,3.1,373.92,367.67369
2023-06-22T11:00:00.000000000,2024-07-17 00:00:00,3.1,380.58,370.86537
2023-06-22T12:00:00.000000000,2024-07-17 00:00:00,3.1,380.93,375.22945
2023-06-22T13:00:00.000000000,2024-07-17 00:00:00,3.1,370.6,379.31487
2023-06-22T14:00:00.000000000,2024-07-17 00:00:00,3.1,367.37,382.21407
2023-06-22T15:00:00.000000000,2024-07-17 00:00:00,3.1,362.65,383.39468
2023-06-22T16:00:00.000000000,2024-07-17 00:00:00,3.1,365.76,383.96215
2023-06-22T17:00:00.000000000,2024-07-17 00:00:00,3.1,370.41,385.29863
