Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,solar,wind
41016,2023-09-06 00:00:00,2024-07-17 00:00:00,3.1,608.32,1333.0,560.0,113.0,0.0
41017,2023-09-06 01:00:00,2024-07-17 00:00:00,3.1,614.49,1299.0,562.0,75.0,9.0
41018,2023-09-06 02:00:00,2024-07-17 00:00:00,3.1,605.19,1291.0,559.0,11.0,102.0
41019,2023-09-06 03:00:00,2024-07-17 00:00:00,3.1,554.76,1297.0,558.0,0.0,294.0
41020,2023-09-06 04:00:00,2024-07-17 00:00:00,3.1,534.51,1311.0,559.0,0.0,381.0
41021,2023-09-06 05:00:00,2024-07-17 00:00:00,3.1,524.43,1314.0,551.0,0.0,428.0
41022,2023-09-06 06:00:00,2024-07-17 00:00:00,3.1,531.05,1219.0,414.0,0.0,400.0
41023,2023-09-06 07:00:00,2024-07-17 00:00:00,3.1,537.98,1199.0,419.0,0.0,364.0
41024,2023-09-06 08:00:00,2024-07-17 00:00:00,3.1,540.42,1301.0,560.0,0.0,352.0
41025,2023-09-06 09:00:00,2024-07-17 00:00:00,3.1,526.98,1298.0,631.0,0.0,386.0
41026,2023-09-06 10:00:00,2024-07-17 00:00:00,3.1,532.77,1289.0,631.0,0.0,357.0
41027,2023-09-06 11:00:00,2024-07-17 00:00:00,3.1,546.41,1286.0,634.0,0.0,298.0
41028,2023-09-06 12:00:00,2024-07-17 00:00:00,3.1,590.89,1281.0,633.0,0.0,130.0
41029,2023-09-06 13:00:00,2024-07-17 00:00:00,3.1,598.56,1267.0,633.0,0.0,100.0
41030,2023-09-06 14:00:00,2024-07-17 00:00:00,3.1,584.74,1128.0,632.0,16.0,90.0
41031,2023-09-06 15:00:00,2024-07-17 00:00:00,3.1,574.52,1146.0,632.0,85.0,60.0
41032,2023-09-06 16:00:00,2024-07-17 00:00:00,3.1,549.02,1094.0,633.0,123.0,91.0
41033,2023-09-06 17:00:00,2024-07-17 00:00:00,3.1,545.03,1003.0,634.0,123.0,69.0
41034,2023-09-06 18:00:00,2024-07-17 00:00:00,3.1,561.15,1012.0,633.0,121.0,22.0
41035,2023-09-06 19:00:00,2024-07-17 00:00:00,3.1,562.21,996.0,633.0,117.0,17.0
41036,2023-09-06 20:00:00,2024-07-17 00:00:00,3.1,575.13,1167.0,634.0,117.0,32.0
41037,2023-09-06 21:00:00,2024-07-17 00:00:00,3.1,580.76,1294.0,632.0,116.0,54.0
41038,2023-09-06 22:00:00,2024-07-17 00:00:00,3.1,570.92,1346.0,633.0,115.0,108.0
41039,2023-09-06 23:00:00,2024-07-17 00:00:00,3.1,558.28,1351.0,632.0,115.0,160.0
