Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,solar,wind
43776,2023-12-30 00:00:00,2024-07-17 00:00:00,3.1,813.31,1852.0,0.0,13.0,3.0
43777,2023-12-30 01:00:00,2024-07-17 00:00:00,3.1,820.0,1846.0,0.0,0.0,0.0
43778,2023-12-30 02:00:00,2024-07-17 00:00:00,3.1,820.0,1911.0,0.0,0.0,0.0
43779,2023-12-30 03:00:00,2024-07-17 00:00:00,3.1,820.0,1918.0,0.0,0.0,0.0
43780,2023-12-30 04:00:00,2024-07-17 00:00:00,3.1,820.0,1928.0,0.0,0.0,0.0
43781,2023-12-30 05:00:00,2024-07-17 00:00:00,3.1,814.59,1931.0,0.0,0.0,13.0
43782,2023-12-30 06:00:00,2024-07-17 00:00:00,3.1,764.95,1931.0,0.0,0.0,141.0
43783,2023-12-30 07:00:00,2024-07-17 00:00:00,3.1,694.58,1924.0,0.0,0.0,353.0
43784,2023-12-30 08:00:00,2024-07-17 00:00:00,3.1,672.31,1921.0,0.0,0.0,429.0
43785,2023-12-30 09:00:00,2024-07-17 00:00:00,3.1,671.44,1885.0,0.0,0.0,424.0
43786,2023-12-30 10:00:00,2024-07-17 00:00:00,3.1,659.3,1880.0,0.0,0.0,466.0
43787,2023-12-30 11:00:00,2024-07-17 00:00:00,3.1,658.88,1898.0,0.0,0.0,472.0
43788,2023-12-30 12:00:00,2024-07-17 00:00:00,3.1,668.08,1903.0,0.0,0.0,440.0
43789,2023-12-30 13:00:00,2024-07-17 00:00:00,3.1,661.59,1881.0,0.0,0.0,458.0
43790,2023-12-30 14:00:00,2024-07-17 00:00:00,3.1,663.66,1887.0,0.0,0.0,452.0
43791,2023-12-30 15:00:00,2024-07-17 00:00:00,3.1,663.33,1911.0,0.0,1.0,458.0
43792,2023-12-30 16:00:00,2024-07-17 00:00:00,3.1,690.83,1915.0,0.0,43.0,323.0
43793,2023-12-30 17:00:00,2024-07-17 00:00:00,3.1,735.21,1776.0,0.0,108.0,105.0
43794,2023-12-30 18:00:00,2024-07-17 00:00:00,3.1,754.32,1721.0,0.0,108.0,49.0
43795,2023-12-30 19:00:00,2024-07-17 00:00:00,3.1,757.02,1711.0,0.0,100.0,49.0
43796,2023-12-30 20:00:00,2024-07-17 00:00:00,3.1,763.22,1704.0,0.0,97.0,36.0
43797,2023-12-30 21:00:00,2024-07-17 00:00:00,3.1,765.22,1699.0,0.0,102.0,26.0
43798,2023-12-30 22:00:00,2024-07-17 00:00:00,3.1,758.26,1696.0,0.0,107.0,38.0
43799,2023-12-30 23:00:00,2024-07-17 00:00:00,3.1,768.22,1700.0,0.0,106.0,15.0
