UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-01-21T00:00:00.000000000,2024-07-17 00:00:00,3.1,121.47,117.24526
2023-01-21T01:00:00.000000000,2024-07-17 00:00:00,3.1,145.21,118.64639
2023-01-21T02:00:00.000000000,2024-07-17 00:00:00,3.1,143.7,120.1677
2023-01-21T03:00:00.000000000,2024-07-17 00:00:00,3.1,142.78,118.42104
2023-01-21T04:00:00.000000000,2024-07-17 00:00:00,3.1,158.25,119.36482
2023-01-21T05:00:00.000000000,2024-07-17 00:00:00,3.1,159.54,119.53363
2023-01-21T06:00:00.000000000,2024-07-17 00:00:00,3.1,168.95,120.12952
2023-01-21T07:00:00.000000000,2024-07-17 00:00:00,3.1,176.22,119.32307
2023-01-21T08:00:00.000000000,2024-07-17 00:00:00,3.1,192.18,119.41114
2023-01-21T09:00:00.000000000,2024-07-17 00:00:00,3.1,202.86,117.6264
2023-01-21T10:00:00.000000000,2024-07-17 00:00:00,3.1,187.64,116.15623
2023-01-21T11:00:00.000000000,2024-07-17 00:00:00,3.1,183.74,113.6107
2023-01-21T12:00:00.000000000,2024-07-17 00:00:00,3.1,182.15,110.09579
2023-01-21T13:00:00.000000000,2024-07-17 00:00:00,3.1,175.93,108.77632
2023-01-21T14:00:00.000000000,2024-07-17 00:00:00,3.1,156.9,105.0298
2023-01-21T15:00:00.000000000,2024-07-17 00:00:00,3.1,157.33,101.92121
2023-01-21T16:00:00.000000000,2024-07-17 00:00:00,3.1,152.08,97.48511
2023-01-21T17:00:00.000000000,2024-07-17 00:00:00,3.1,121.98,95.77843
2023-01-21T18:00:00.000000000,2024-07-17 00:00:00,3.1,116.16,93.43036
2023-01-21T19:00:00.000000000,2024-07-17 00:00:00,3.1,116.99,90.79009
2023-01-21T20:00:00.000000000,2024-07-17 00:00:00,3.1,122.1,87.34428
2023-01-21T21:00:00.000000000,2024-07-17 00:00:00,3.1,120.34,88.27414
2023-01-21T22:00:00.000000000,2024-07-17 00:00:00,3.1,113.79,86.92791
2023-01-21T23:00:00.000000000,2024-07-17 00:00:00,3.1,105.91,86.82343
2023-01-22T00:00:00.000000000,2024-07-17 00:00:00,3.1,119.2,82.77002
2023-01-22T01:00:00.000000000,2024-07-17 00:00:00,3.1,129.4,85.32038
2023-01-22T02:00:00.000000000,2024-07-17 00:00:00,3.1,124.48,87.34442
2023-01-22T03:00:00.000000000,2024-07-17 00:00:00,3.1,120.25,88.35247
2023-01-22T04:00:00.000000000,2024-07-17 00:00:00,3.1,130.12,91.08251
2023-01-22T05:00:00.000000000,2024-07-17 00:00:00,3.1,141.7,93.55919
2023-01-22T06:00:00.000000000,2024-07-17 00:00:00,3.1,166.08,96.0516
2023-01-22T07:00:00.000000000,2024-07-17 00:00:00,3.1,166.82,97.46731
2023-01-22T08:00:00.000000000,2024-07-17 00:00:00,3.1,171.16,99.62965
2023-01-22T09:00:00.000000000,2024-07-17 00:00:00,3.1,175.64,100.26042
2023-01-22T10:00:00.000000000,2024-07-17 00:00:00,3.1,174.08,99.87263
2023-01-22T11:00:00.000000000,2024-07-17 00:00:00,3.1,185.06,99.70401
2023-01-22T12:00:00.000000000,2024-07-17 00:00:00,3.1,184.91,98.02469
2023-01-22T13:00:00.000000000,2024-07-17 00:00:00,3.1,166.57,98.15216
2023-01-22T14:00:00.000000000,2024-07-17 00:00:00,3.1,167.91,95.9668
2023-01-22T15:00:00.000000000,2024-07-17 00:00:00,3.1,158.7,93.97897
2023-01-22T16:00:00.000000000,2024-07-17 00:00:00,3.1,160.53,91.91172
