UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-10-28T00:00:00.000000000,2024-07-17 00:00:00,3.1,147.58,175.20732
2023-10-28T01:00:00.000000000,2024-07-17 00:00:00,3.1,151.17,180.5266
2023-10-28T02:00:00.000000000,2024-07-17 00:00:00,3.1,147.18,189.39661
2023-10-28T03:00:00.000000000,2024-07-17 00:00:00,3.1,140.47,191.40841
2023-10-28T04:00:00.000000000,2024-07-17 00:00:00,3.1,149.49,194.49396
2023-10-28T05:00:00.000000000,2024-07-17 00:00:00,3.1,167.89,199.70137
2023-10-28T06:00:00.000000000,2024-07-17 00:00:00,3.1,179.85,204.99719
2023-10-28T07:00:00.000000000,2024-07-17 00:00:00,3.1,186.2,206.45947
2023-10-28T08:00:00.000000000,2024-07-17 00:00:00,3.1,175.29,209.1462
2023-10-28T09:00:00.000000000,2024-07-17 00:00:00,3.1,171.91,207.57228
2023-10-28T10:00:00.000000000,2024-07-17 00:00:00,3.1,167.46,201.61584
2023-10-28T11:00:00.000000000,2024-07-17 00:00:00,3.1,163.69,203.85741
2023-10-28T12:00:00.000000000,2024-07-17 00:00:00,3.1,163.79,194.84717
2023-10-28T13:00:00.000000000,2024-07-17 00:00:00,3.1,155.38,192.07299
2023-10-28T14:00:00.000000000,2024-07-17 00:00:00,3.1,144.87,194.31713
2023-10-28T15:00:00.000000000,2024-07-17 00:00:00,3.1,155.23,183.63686
2023-10-28T16:00:00.000000000,2024-07-17 00:00:00,3.1,158.93,179.12905
2023-10-28T17:00:00.000000000,2024-07-17 00:00:00,3.1,152.14,173.72799
2023-10-28T18:00:00.000000000,2024-07-17 00:00:00,3.1,149.11,172.78898
2023-10-28T19:00:00.000000000,2024-07-17 00:00:00,3.1,163.6,168.95409
2023-10-28T20:00:00.000000000,2024-07-17 00:00:00,3.1,167.09,170.81575
2023-10-28T21:00:00.000000000,2024-07-17 00:00:00,3.1,183.48,174.48793
2023-10-28T22:00:00.000000000,2024-07-17 00:00:00,3.1,170.65,166.54124
2023-10-28T23:00:00.000000000,2024-07-17 00:00:00,3.1,154.27,167.41889
2023-10-29T00:00:00.000000000,2024-07-17 00:00:00,3.1,170.49,185.91506
2023-10-29T01:00:00.000000000,2024-07-17 00:00:00,3.1,165.73,198.77258
2023-10-29T02:00:00.000000000,2024-07-17 00:00:00,3.1,157.05,209.38965
2023-10-29T03:00:00.000000000,2024-07-17 00:00:00,3.1,168.45,211.2244
2023-10-29T04:00:00.000000000,2024-07-17 00:00:00,3.1,173.3,213.77635
2023-10-29T05:00:00.000000000,2024-07-17 00:00:00,3.1,181.72,222.69755
2023-10-29T06:00:00.000000000,2024-07-17 00:00:00,3.1,174.93,236.74621
2023-10-29T07:00:00.000000000,2024-07-17 00:00:00,3.1,184.3,237.05586
2023-10-29T08:00:00.000000000,2024-07-17 00:00:00,3.1,170.89,237.84738
