Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,wind
39192,2023-06-22 00:00:00,2024-07-17 00:00:00,3.1,561.92,999.0,1348.0,292.0
39193,2023-06-22 01:00:00,2024-07-17 00:00:00,3.1,574.71,998.0,1406.0,223.0
39194,2023-06-22 02:00:00,2024-07-17 00:00:00,3.1,573.8,997.0,1297.0,243.0
39195,2023-06-22 03:00:00,2024-07-17 00:00:00,3.1,573.26,967.0,1245.0,240.0
39196,2023-06-22 04:00:00,2024-07-17 00:00:00,3.1,592.34,969.0,1224.0,164.0
39197,2023-06-22 05:00:00,2024-07-17 00:00:00,3.1,618.54,943.0,1133.0,73.0
39198,2023-06-22 06:00:00,2024-07-17 00:00:00,3.1,622.22,914.0,1210.0,34.0
39199,2023-06-22 07:00:00,2024-07-17 00:00:00,3.1,629.6,887.0,1161.0,11.0
39200,2023-06-22 08:00:00,2024-07-17 00:00:00,3.1,573.71,432.0,1177.0,14.0
39201,2023-06-22 09:00:00,2024-07-17 00:00:00,3.1,571.88,428.0,1023.0,40.0
39202,2023-06-22 10:00:00,2024-07-17 00:00:00,3.1,554.01,373.0,1041.0,60.0
39203,2023-06-22 11:00:00,2024-07-17 00:00:00,3.1,556.67,464.0,1088.0,91.0
39204,2023-06-22 12:00:00,2024-07-17 00:00:00,3.1,560.16,584.0,1067.0,140.0
39205,2023-06-22 13:00:00,2024-07-17 00:00:00,3.1,591.29,794.0,1157.0,111.0
39206,2023-06-22 14:00:00,2024-07-17 00:00:00,3.1,608.78,855.0,1314.0,41.0
39207,2023-06-22 15:00:00,2024-07-17 00:00:00,3.1,609.38,877.0,1472.0,15.0
39208,2023-06-22 16:00:00,2024-07-17 00:00:00,3.1,613.15,946.0,1545.0,9.0
39209,2023-06-22 17:00:00,2024-07-17 00:00:00,3.1,610.35,987.0,1580.0,28.0
39210,2023-06-22 18:00:00,2024-07-17 00:00:00,3.1,607.79,1005.0,1608.0,40.0
39211,2023-06-22 19:00:00,2024-07-17 00:00:00,3.1,612.76,1006.0,1561.0,28.0
39212,2023-06-22 20:00:00,2024-07-17 00:00:00,3.1,611.18,1004.0,1641.0,18.0
39213,2023-06-22 21:00:00,2024-07-17 00:00:00,3.1,611.48,1004.0,1585.0,28.0
39214,2023-06-22 22:00:00,2024-07-17 00:00:00,3.1,609.59,1009.0,1615.0,32.0
39215,2023-06-22 23:00:00,2024-07-17 00:00:00,3.1,610.28,1008.0,1638.0,24.0
