UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-02-23T00:00:00.000000000,2024-07-17 00:00:00,3.1,506.29,413.17524
2023-02-23T01:00:00.000000000,2024-07-17 00:00:00,3.1,507.09,427.3701
2023-02-23T02:00:00.000000000,2024-07-17 00:00:00,3.1,485.96,443.33924
2023-02-23T03:00:00.000000000,2024-07-17 00:00:00,3.1,511.96,447.70306
2023-02-23T04:00:00.000000000,2024-07-17 00:00:00,3.1,514.76,467.0815
2023-02-23T05:00:00.000000000,2024-07-17 00:00:00,3.1,514.98,482.30626
2023-02-23T06:00:00.000000000,2024-07-17 00:00:00,3.1,514.31,485.3278
2023-02-23T07:00:00.000000000,2024-07-17 00:00:00,3.1,510.67,506.35264
2023-02-23T08:00:00.000000000,2024-07-17 00:00:00,3.1,528.62,502.11634
2023-02-23T09:00:00.000000000,2024-07-17 00:00:00,3.1,525.7,494.29936
2023-02-23T10:00:00.000000000,2024-07-17 00:00:00,3.1,535.05,500.36753
2023-02-23T11:00:00.000000000,2024-07-17 00:00:00,3.1,533.99,506.48741
2023-02-23T12:00:00.000000000,2024-07-17 00:00:00,3.1,541.47,496.21463
2023-02-23T13:00:00.000000000,2024-07-17 00:00:00,3.1,535.97,488.29231
2023-02-23T14:00:00.000000000,2024-07-17 00:00:00,3.1,532.34,490.174
2023-02-23T15:00:00.000000000,2024-07-17 00:00:00,3.1,531.75,462.56415
2023-02-23T16:00:00.000000000,2024-07-17 00:00:00,3.1,524.75,451.01271
2023-02-23T17:00:00.000000000,2024-07-17 00:00:00,3.1,511.57,433.12588
2023-02-23T18:00:00.000000000,2024-07-17 00:00:00,3.1,508.35,426.67505
2023-02-23T19:00:00.000000000,2024-07-17 00:00:00,3.1,480.01,415.80805
2023-02-23T20:00:00.000000000,2024-07-17 00:00:00,3.1,485.96,406.43137
2023-02-23T21:00:00.000000000,2024-07-17 00:00:00,3.1,494.55,401.58694
2023-02-23T22:00:00.000000000,2024-07-17 00:00:00,3.1,503.98,405.42326
2023-02-23T23:00:00.000000000,2024-07-17 00:00:00,3.1,505.62,413.58353
2023-02-24T00:00:00.000000000,2024-07-17 00:00:00,3.1,495.91,385.43278
2023-02-24T01:00:00.000000000,2024-07-17 00:00:00,3.1,499.21,403.56367
2023-02-24T02:00:00.000000000,2024-07-17 00:00:00,3.1,506.91,419.45797
2023-02-24T03:00:00.000000000,2024-07-17 00:00:00,3.1,509.78,426.57213
2023-02-24T04:00:00.000000000,2024-07-17 00:00:00,3.1,516.57,447.22324
2023-02-24T05:00:00.000000000,2024-07-17 00:00:00,3.1,534.79,460.3517
2023-02-24T06:00:00.000000000,2024-07-17 00:00:00,3.1,530.37,465.87078
2023-02-24T07:00:00.000000000,2024-07-17 00:00:00,3.1,537.19,482.76923
2023-02-24T08:00:00.000000000,2024-07-17 00:00:00,3.1,542.48,479.53622
2023-02-24T09:00:00.000000000,2024-07-17 00:00:00,3.1,538.16,469.44909
2023-02-24T10:00:00.000000000,2024-07-17 00:00:00,3.1,540.5,472.92758
2023-02-24T11:00:00.000000000,2024-07-17 00:00:00,3.1,544.63,476.95892
2023-02-24T12:00:00.000000000,2024-07-17 00:00:00,3.1,534.82,460.18865
2023-02-24T13:00:00.000000000,2024-07-17 00:00:00,3.1,534.8,453.53919
2023-02-24T14:00:00.000000000,2024-07-17 00:00:00,3.1,551.89,453.11241
2023-02-24T15:00:00.000000000,2024-07-17 00:00:00,3.1,555.85,424.13568
2023-02-24T16:00:00.000000000,2024-07-17 00:00:00,3.1,546.33,417.00087
2023-02-24T17:00:00.000000000,2024-07-17 00:00:00,3.1,509.0,396.34577
2023-02-24T18:00:00.000000000,2024-07-17 00:00:00,3.1,502.27,390.67293
2023-02-24T19:00:00.000000000,2024-07-17 00:00:00,3.1,500.9,382.10652
2023-02-24T20:00:00.000000000,2024-07-17 00:00:00,3.1,497.32,371.17907
2023-02-24T21:00:00.000000000,2024-07-17 00:00:00,3.1,486.04,364.57984
2023-02-24T22:00:00.000000000,2024-07-17 00:00:00,3.1,483.69,373.85764
2023-02-24T23:00:00.000000000,2024-07-17 00:00:00,3.1,477.1,385.67618
2023-02-25T00:00:00.000000000,2024-07-17 00:00:00,3.1,468.74,380.01121
2023-02-25T01:00:00.000000000,2024-07-17 00:00:00,3.1,480.65,399.02441
2023-02-25T02:00:00.000000000,2024-07-17 00:00:00,3.1,500.8,414.06672
2023-02-25T03:00:00.000000000,2024-07-17 00:00:00,3.1,505.63,422.12941
2023-02-25T04:00:00.000000000,2024-07-17 00:00:00,3.1,513.5,441.47937
2023-02-25T05:00:00.000000000,2024-07-17 00:00:00,3.1,512.65,454.07723
2023-02-25T06:00:00.000000000,2024-07-17 00:00:00,3.1,516.26,457.70702
2023-02-25T07:00:00.000000000,2024-07-17 00:00:00,3.1,532.67,473.75106
2023-02-25T08:00:00.000000000,2024-07-17 00:00:00,3.1,544.44,470.7471
2023-02-25T09:00:00.000000000,2024-07-17 00:00:00,3.1,537.78,457.91152
2023-02-25T10:00:00.000000000,2024-07-17 00:00:00,3.1,533.87,459.73993
2023-02-25T11:00:00.000000000,2024-07-17 00:00:00,3.1,534.29,462.21889
