UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-09-04T00:00:00.000000000,2024-07-17 00:00:00,3.1,554.22,536.97583
2022-09-04T01:00:00.000000000,2024-07-17 00:00:00,3.1,562.62,543.25527
2022-09-04T02:00:00.000000000,2024-07-17 00:00:00,3.1,594.99,556.56161
2022-09-04T03:00:00.000000000,2024-07-17 00:00:00,3.1,606.89,561.28674
2022-09-04T04:00:00.000000000,2024-07-17 00:00:00,3.1,608.99,591.53434
2022-09-04T05:00:00.000000000,2024-07-17 00:00:00,3.1,608.51,597.73716
2022-09-04T06:00:00.000000000,2024-07-17 00:00:00,3.1,610.23,606.53956
2022-09-04T07:00:00.000000000,2024-07-17 00:00:00,3.1,617.73,612.4128
2022-09-04T08:00:00.000000000,2024-07-17 00:00:00,3.1,630.77,636.27273
2022-09-04T09:00:00.000000000,2024-07-17 00:00:00,3.1,647.19,645.0626
2022-09-04T10:00:00.000000000,2024-07-17 00:00:00,3.1,666.15,654.54362
2022-09-04T11:00:00.000000000,2024-07-17 00:00:00,3.1,682.69,652.58326
2022-09-04T12:00:00.000000000,2024-07-17 00:00:00,3.1,689.73,630.37282
2022-09-04T13:00:00.000000000,2024-07-17 00:00:00,3.1,687.99,629.22745
2022-09-04T14:00:00.000000000,2024-07-17 00:00:00,3.1,689.85,617.61461
2022-09-04T15:00:00.000000000,2024-07-17 00:00:00,3.1,671.28,608.66195
2022-09-04T16:00:00.000000000,2024-07-17 00:00:00,3.1,627.71,581.96231
2022-09-04T17:00:00.000000000,2024-07-17 00:00:00,3.1,579.93,555.59553
2022-09-04T18:00:00.000000000,2024-07-17 00:00:00,3.1,563.32,547.24246
2022-09-04T19:00:00.000000000,2024-07-17 00:00:00,3.1,556.58,533.52667
2022-09-04T20:00:00.000000000,2024-07-17 00:00:00,3.1,555.32,531.31769
2022-09-04T21:00:00.000000000,2024-07-17 00:00:00,3.1,546.91,521.00267
2022-09-04T22:00:00.000000000,2024-07-17 00:00:00,3.1,545.67,510.55628
2022-09-04T23:00:00.000000000,2024-07-17 00:00:00,3.1,541.85,525.48893
2022-09-05T00:00:00.000000000,2024-07-17 00:00:00,3.1,543.12,526.01548
2022-09-05T01:00:00.000000000,2024-07-17 00:00:00,3.1,547.27,532.55201
2022-09-05T02:00:00.000000000,2024-07-17 00:00:00,3.1,555.1,545.61767
2022-09-05T03:00:00.000000000,2024-07-17 00:00:00,3.1,558.02,549.29597
2022-09-05T04:00:00.000000000,2024-07-17 00:00:00,3.1,563.25,580.42078
2022-09-05T05:00:00.000000000,2024-07-17 00:00:00,3.1,577.03,586.71415
2022-09-05T06:00:00.000000000,2024-07-17 00:00:00,3.1,584.49,596.96097
2022-09-05T07:00:00.000000000,2024-07-17 00:00:00,3.1,594.46,600.5977
2022-09-05T08:00:00.000000000,2024-07-17 00:00:00,3.1,624.03,622.0423
2022-09-05T09:00:00.000000000,2024-07-17 00:00:00,3.1,631.19,630.17876
2022-09-05T10:00:00.000000000,2024-07-17 00:00:00,3.1,659.88,636.62054
2022-09-05T11:00:00.000000000,2024-07-17 00:00:00,3.1,654.19,636.02894
2022-09-05T12:00:00.000000000,2024-07-17 00:00:00,3.1,641.25,614.89086
2022-09-05T13:00:00.000000000,2024-07-17 00:00:00,3.1,638.05,607.6466
2022-09-05T14:00:00.000000000,2024-07-17 00:00:00,3.1,634.43,596.40758
2022-09-05T15:00:00.000000000,2024-07-17 00:00:00,3.1,612.39,587.69892
2022-09-05T16:00:00.000000000,2024-07-17 00:00:00,3.1,565.09,563.81546
2022-09-05T17:00:00.000000000,2024-07-17 00:00:00,3.1,555.06,537.97696
2022-09-05T18:00:00.000000000,2024-07-17 00:00:00,3.1,561.66,528.77903
2022-09-05T19:00:00.000000000,2024-07-17 00:00:00,3.1,556.68,516.21371
2022-09-05T20:00:00.000000000,2024-07-17 00:00:00,3.1,552.9,516.43819
2022-09-05T21:00:00.000000000,2024-07-17 00:00:00,3.1,549.0,510.18942
2022-09-05T22:00:00.000000000,2024-07-17 00:00:00,3.1,542.35,495.49312
2022-09-05T23:00:00.000000000,2024-07-17 00:00:00,3.1,534.81,513.25504
2022-09-06T00:00:00.000000000,2024-07-17 00:00:00,3.1,520.66,507.8648
2022-09-06T01:00:00.000000000,2024-07-17 00:00:00,3.1,528.04,514.42789
2022-09-06T02:00:00.000000000,2024-07-17 00:00:00,3.1,541.68,525.88874
2022-09-06T03:00:00.000000000,2024-07-17 00:00:00,3.1,547.67,526.8172
2022-09-06T04:00:00.000000000,2024-07-17 00:00:00,3.1,552.02,558.65732
2022-09-06T05:00:00.000000000,2024-07-17 00:00:00,3.1,553.68,563.94455
2022-09-06T06:00:00.000000000,2024-07-17 00:00:00,3.1,568.29,571.42449
2022-09-06T07:00:00.000000000,2024-07-17 00:00:00,3.1,592.52,570.84337
2022-09-06T08:00:00.000000000,2024-07-17 00:00:00,3.1,617.57,590.23913
2022-09-06T09:00:00.000000000,2024-07-17 00:00:00,3.1,625.94,598.20455
2022-09-06T10:00:00.000000000,2024-07-17 00:00:00,3.1,647.2,603.24546
2022-09-06T11:00:00.000000000,2024-07-17 00:00:00,3.1,644.96,604.18853
2022-09-06T12:00:00.000000000,2024-07-17 00:00:00,3.1,651.33,586.68988
2022-09-06T13:00:00.000000000,2024-07-17 00:00:00,3.1,658.19,576.55772
2022-09-06T14:00:00.000000000,2024-07-17 00:00:00,3.1,663.29,569.20351
2022-09-06T15:00:00.000000000,2024-07-17 00:00:00,3.1,642.57,563.426
2022-09-06T16:00:00.000000000,2024-07-17 00:00:00,3.1,583.79,544.47831
2022-09-06T17:00:00.000000000,2024-07-17 00:00:00,3.1,574.02,520.90513
2022-09-06T18:00:00.000000000,2024-07-17 00:00:00,3.1,568.41,515.9315
2022-09-06T19:00:00.000000000,2024-07-17 00:00:00,3.1,561.49,503.45592
2022-09-06T20:00:00.000000000,2024-07-17 00:00:00,3.1,552.14,502.22707
2022-09-06T21:00:00.000000000,2024-07-17 00:00:00,3.1,543.17,497.63524
2022-09-06T22:00:00.000000000,2024-07-17 00:00:00,3.1,538.39,479.55698
2022-09-06T23:00:00.000000000,2024-07-17 00:00:00,3.1,536.23,495.28867
2022-09-07T00:00:00.000000000,2024-07-17 00:00:00,3.1,533.57,499.35168
2022-09-07T01:00:00.000000000,2024-07-17 00:00:00,3.1,540.09,505.08833
2022-09-07T02:00:00.000000000,2024-07-17 00:00:00,3.1,555.25,515.04528
2022-09-07T03:00:00.000000000,2024-07-17 00:00:00,3.1,559.13,514.40613
2022-09-07T04:00:00.000000000,2024-07-17 00:00:00,3.1,564.67,545.83415
2022-09-07T05:00:00.000000000,2024-07-17 00:00:00,3.1,571.11,550.08049
2022-09-07T06:00:00.000000000,2024-07-17 00:00:00,3.1,594.71,558.07742
2022-09-07T07:00:00.000000000,2024-07-17 00:00:00,3.1,617.14,556.1302
2022-09-07T08:00:00.000000000,2024-07-17 00:00:00,3.1,650.38,574.29458
2022-09-07T09:00:00.000000000,2024-07-17 00:00:00,3.1,662.16,582.09211
2022-09-07T10:00:00.000000000,2024-07-17 00:00:00,3.1,673.34,586.11789
2022-09-07T11:00:00.000000000,2024-07-17 00:00:00,3.1,676.44,587.8368
2022-09-07T12:00:00.000000000,2024-07-17 00:00:00,3.1,675.48,571.0936
2022-09-07T13:00:00.000000000,2024-07-17 00:00:00,3.1,664.21,559.76722
2022-09-07T14:00:00.000000000,2024-07-17 00:00:00,3.1,657.89,552.41794
2022-09-07T15:00:00.000000000,2024-07-17 00:00:00,3.1,637.46,547.95911
2022-09-07T16:00:00.000000000,2024-07-17 00:00:00,3.1,595.84,531.71018
2022-09-07T17:00:00.000000000,2024-07-17 00:00:00,3.1,581.92,510.35469
2022-09-07T18:00:00.000000000,2024-07-17 00:00:00,3.1,577.85,506.53876
2022-09-07T19:00:00.000000000,2024-07-17 00:00:00,3.1,572.24,495.27714
2022-09-07T20:00:00.000000000,2024-07-17 00:00:00,3.1,557.93,495.29405
2022-09-07T21:00:00.000000000,2024-07-17 00:00:00,3.1,550.69,492.43355
2022-09-07T22:00:00.000000000,2024-07-17 00:00:00,3.1,542.6,472.69036
2022-09-07T23:00:00.000000000,2024-07-17 00:00:00,3.1,541.26,487.18549
