Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass
38232,2023-05-13 00:00:00,379.0,1023.0,154.0,1037.0,218.0,0.0,21.0,17.0
38233,2023-05-13 01:00:00,362.49,937.0,155.0,1038.0,222.0,0.0,21.0,16.0
38234,2023-05-13 02:00:00,364.3,943.0,159.0,1036.0,224.0,0.0,18.0,16.0
38235,2023-05-13 03:00:00,351.05,963.0,160.0,1037.0,325.0,18.0,25.0,16.0
38236,2023-05-13 04:00:00,303.87,977.0,157.0,1038.0,656.0,136.0,36.0,16.0
38237,2023-05-13 05:00:00,305.54,1089.0,153.0,1038.0,708.0,300.0,17.0,17.0
38238,2023-05-13 06:00:00,276.71,1012.0,151.0,1037.0,719.0,527.0,11.0,17.0
38239,2023-05-13 07:00:00,275.79,947.0,149.0,1037.0,472.0,661.0,6.0,16.0
38240,2023-05-13 08:00:00,273.68,940.0,144.0,1037.0,338.0,813.0,9.0,15.0
38241,2023-05-13 09:00:00,275.39,935.0,139.0,1036.0,221.0,903.0,7.0,16.0
38242,2023-05-13 10:00:00,281.55,970.0,134.0,1037.0,204.0,914.0,4.0,17.0
38243,2023-05-13 11:00:00,279.78,945.0,134.0,1036.0,190.0,893.0,8.0,17.0
38244,2023-05-13 12:00:00,283.35,933.0,136.0,1036.0,188.0,817.0,12.0,17.0
38245,2023-05-13 13:00:00,298.49,967.0,135.0,1036.0,186.0,699.0,14.0,16.0
38246,2023-05-13 14:00:00,311.09,936.0,141.0,1037.0,199.0,484.0,14.0,16.0
38247,2023-05-13 15:00:00,301.97,1020.0,142.0,1039.0,656.0,260.0,12.0,16.0
38248,2023-05-13 16:00:00,283.49,936.0,124.0,1038.0,857.0,86.0,8.0,17.0
38249,2023-05-13 17:00:00,275.77,942.0,139.0,1038.0,1042.0,5.0,15.0,26.0
38250,2023-05-13 18:00:00,266.18,938.0,140.0,1037.0,1162.0,0.0,19.0,27.0
38251,2023-05-13 19:00:00,293.49,956.0,139.0,1038.0,851.0,0.0,27.0,24.0
38252,2023-05-13 20:00:00,348.51,1060.0,139.0,1038.0,492.0,0.0,23.0,23.0
38253,2023-05-13 21:00:00,351.97,1029.0,139.0,1037.0,416.0,0.0,26.0,24.0
38254,2023-05-13 22:00:00,369.56,1041.0,166.0,1037.0,301.0,0.0,30.0,24.0
38255,2023-05-13 23:00:00,371.96,1016.0,165.0,1037.0,263.0,0.0,18.0,24.0
