Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,hydro,solar,wind,other
41928,2023-10-14 00:00:00,2024-07-17 00:00:00,3.1,91.8,902.0,1143.0,4978.0,60.0,113.0,134.0
41929,2023-10-14 01:00:00,2024-07-17 00:00:00,3.1,88.29,951.0,1144.0,5782.0,37.0,76.0,138.0
41930,2023-10-14 02:00:00,2024-07-17 00:00:00,3.1,87.07,950.0,1144.0,5853.0,29.0,114.0,134.0
41931,2023-10-14 03:00:00,2024-07-17 00:00:00,3.1,85.54,904.0,1144.0,5839.0,20.0,115.0,142.0
41932,2023-10-14 04:00:00,2024-07-17 00:00:00,3.1,87.96,905.0,1146.0,5561.0,5.0,94.0,141.0
41933,2023-10-14 05:00:00,2024-07-17 00:00:00,3.1,93.87,918.0,1147.0,4948.0,0.0,93.0,138.0
41934,2023-10-14 06:00:00,2024-07-17 00:00:00,3.1,101.05,919.0,1147.0,4093.0,0.0,231.0,135.0
41935,2023-10-14 07:00:00,2024-07-17 00:00:00,3.1,104.19,919.0,1148.0,3625.0,9.0,394.0,133.0
41936,2023-10-14 08:00:00,2024-07-17 00:00:00,3.1,109.56,904.0,1149.0,3466.0,0.0,134.0,132.0
41937,2023-10-14 09:00:00,2024-07-17 00:00:00,3.1,109.08,905.0,1148.0,3501.0,0.0,113.0,128.0
41938,2023-10-14 10:00:00,2024-07-17 00:00:00,3.1,108.94,905.0,1147.0,3322.0,0.0,265.0,126.0
41939,2023-10-14 11:00:00,2024-07-17 00:00:00,3.1,109.16,904.0,1147.0,3395.0,0.0,215.0,131.0
41940,2023-10-14 12:00:00,2024-07-17 00:00:00,3.1,109.88,906.0,1146.0,3473.0,0.0,114.0,131.0
41941,2023-10-14 13:00:00,2024-07-17 00:00:00,3.1,111.33,925.0,1148.0,3537.0,0.0,68.0,135.0
41942,2023-10-14 14:00:00,2024-07-17 00:00:00,3.1,107.33,926.0,1147.0,3870.0,0.0,45.0,138.0
41943,2023-10-14 15:00:00,2024-07-17 00:00:00,3.1,106.15,925.0,1147.0,3972.0,5.0,38.0,140.0
41944,2023-10-14 16:00:00,2024-07-17 00:00:00,3.1,98.97,908.0,1148.0,4477.0,12.0,28.0,139.0
41945,2023-10-14 17:00:00,2024-07-17 00:00:00,3.1,93.94,905.0,1148.0,4976.0,15.0,13.0,141.0
41946,2023-10-14 18:00:00,2024-07-17 00:00:00,3.1,98.88,905.0,1148.0,4463.0,70.0,5.0,140.0
41947,2023-10-14 19:00:00,2024-07-17 00:00:00,3.1,100.8,905.0,1146.0,4312.0,66.0,1.0,141.0
41948,2023-10-14 20:00:00,2024-07-17 00:00:00,3.1,107.91,903.0,1144.0,3729.0,58.0,5.0,138.0
41949,2023-10-14 21:00:00,2024-07-17 00:00:00,3.1,106.03,903.0,1143.0,3875.0,74.0,13.0,142.0
41950,2023-10-14 22:00:00,2024-07-17 00:00:00,3.1,107.62,901.0,1144.0,3745.0,62.0,17.0,141.0
41951,2023-10-14 23:00:00,2024-07-17 00:00:00,3.1,103.92,903.0,1143.0,4042.0,29.0,18.0,139.0
