UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-09-26T00:00:00.000000000,2024-07-17 00:00:00,3.1,80.65,86.39503
2022-09-26T01:00:00.000000000,2024-07-17 00:00:00,3.1,78.27,84.9673
2022-09-26T02:00:00.000000000,2024-07-17 00:00:00,3.1,74.84,83.96712
2022-09-26T03:00:00.000000000,2024-07-17 00:00:00,3.1,75.99,83.93676
2022-09-26T04:00:00.000000000,2024-07-17 00:00:00,3.1,81.36,84.98266
2022-09-26T05:00:00.000000000,2024-07-17 00:00:00,3.1,87.3,87.7641
2022-09-26T06:00:00.000000000,2024-07-17 00:00:00,3.1,99.77,91.12368
2022-09-26T07:00:00.000000000,2024-07-17 00:00:00,3.1,107.48,95.04647
2022-09-26T08:00:00.000000000,2024-07-17 00:00:00,3.1,110.58,97.70852
2022-09-26T09:00:00.000000000,2024-07-17 00:00:00,3.1,111.98,99.79104
2022-09-26T10:00:00.000000000,2024-07-17 00:00:00,3.1,115.8,100.28302
2022-09-26T11:00:00.000000000,2024-07-17 00:00:00,3.1,116.17,98.66874
2022-09-26T12:00:00.000000000,2024-07-17 00:00:00,3.1,111.85,96.45055
2022-09-26T13:00:00.000000000,2024-07-17 00:00:00,3.1,101.48,94.04987
2022-09-26T14:00:00.000000000,2024-07-17 00:00:00,3.1,97.73,91.58171
2022-09-26T15:00:00.000000000,2024-07-17 00:00:00,3.1,94.22,89.42932
2022-09-26T16:00:00.000000000,2024-07-17 00:00:00,3.1,93.9,89.37017
2022-09-26T17:00:00.000000000,2024-07-17 00:00:00,3.1,94.79,88.91294
2022-09-26T18:00:00.000000000,2024-07-17 00:00:00,3.1,93.42,89.62456
2022-09-26T19:00:00.000000000,2024-07-17 00:00:00,3.1,92.13,89.86594
2022-09-26T20:00:00.000000000,2024-07-17 00:00:00,3.1,87.43,90.76954
2022-09-26T21:00:00.000000000,2024-07-17 00:00:00,3.1,84.7,90.4378
2022-09-26T22:00:00.000000000,2024-07-17 00:00:00,3.1,83.8,88.64092
2022-09-26T23:00:00.000000000,2024-07-17 00:00:00,3.1,79.05,87.14989
2022-09-27T00:00:00.000000000,2024-07-17 00:00:00,3.1,73.0,87.15813
2022-09-27T01:00:00.000000000,2024-07-17 00:00:00,3.1,70.26,85.97855
2022-09-27T02:00:00.000000000,2024-07-17 00:00:00,3.1,69.27,85.59208
2022-09-27T03:00:00.000000000,2024-07-17 00:00:00,3.1,70.75,85.57992
2022-09-27T04:00:00.000000000,2024-07-17 00:00:00,3.1,74.87,87.19652
2022-09-27T05:00:00.000000000,2024-07-17 00:00:00,3.1,81.95,90.68861
2022-09-27T06:00:00.000000000,2024-07-17 00:00:00,3.1,90.23,94.7179
2022-09-27T07:00:00.000000000,2024-07-17 00:00:00,3.1,102.68,98.53982
2022-09-27T08:00:00.000000000,2024-07-17 00:00:00,3.1,104.48,101.42631
2022-09-27T09:00:00.000000000,2024-07-17 00:00:00,3.1,108.56,102.82522
2022-09-27T10:00:00.000000000,2024-07-17 00:00:00,3.1,110.57,102.62961
2022-09-27T11:00:00.000000000,2024-07-17 00:00:00,3.1,111.98,100.34562
2022-09-27T12:00:00.000000000,2024-07-17 00:00:00,3.1,109.51,96.85413
2022-09-27T13:00:00.000000000,2024-07-17 00:00:00,3.1,99.3,92.99472
2022-09-27T14:00:00.000000000,2024-07-17 00:00:00,3.1,92.2,90.01434
2022-09-27T15:00:00.000000000,2024-07-17 00:00:00,3.1,90.52,87.5514
2022-09-27T16:00:00.000000000,2024-07-17 00:00:00,3.1,91.03,86.91357
2022-09-27T17:00:00.000000000,2024-07-17 00:00:00,3.1,90.62,86.59769
2022-09-27T18:00:00.000000000,2024-07-17 00:00:00,3.1,88.98,87.72316
2022-09-27T19:00:00.000000000,2024-07-17 00:00:00,3.1,89.03,88.61435
2022-09-27T20:00:00.000000000,2024-07-17 00:00:00,3.1,88.27,90.05963
2022-09-27T21:00:00.000000000,2024-07-17 00:00:00,3.1,85.84,89.52436
2022-09-27T22:00:00.000000000,2024-07-17 00:00:00,3.1,83.35,88.58958
2022-09-27T23:00:00.000000000,2024-07-17 00:00:00,3.1,80.77,86.93501
2022-09-28T00:00:00.000000000,2024-07-17 00:00:00,3.1,77.47,87.41134
2022-09-28T01:00:00.000000000,2024-07-17 00:00:00,3.1,72.93,85.43428
2022-09-28T02:00:00.000000000,2024-07-17 00:00:00,3.1,71.56,84.15785
2022-09-28T03:00:00.000000000,2024-07-17 00:00:00,3.1,73.76,83.59912
2022-09-28T04:00:00.000000000,2024-07-17 00:00:00,3.1,76.37,85.21828
2022-09-28T05:00:00.000000000,2024-07-17 00:00:00,3.1,80.61,89.14443
2022-09-28T06:00:00.000000000,2024-07-17 00:00:00,3.1,86.78,93.95164
2022-09-28T07:00:00.000000000,2024-07-17 00:00:00,3.1,93.05,98.6834
2022-09-28T08:00:00.000000000,2024-07-17 00:00:00,3.1,100.17,102.4494
2022-09-28T09:00:00.000000000,2024-07-17 00:00:00,3.1,103.13,104.57206
