Unnamed: 0,UTC time,carbon_intensity,nuclear,hydro,solar,wind
35664,2023-01-26 00:00:00,14.7,3023.0,876.0,0.0,1.0
35665,2023-01-26 01:00:00,15.14,3023.0,1073.0,0.0,1.0
35666,2023-01-26 02:00:00,14.77,3021.0,908.0,0.0,2.0
35667,2023-01-26 03:00:00,13.87,3022.0,559.0,0.0,2.0
35668,2023-01-26 04:00:00,14.66,3021.0,863.0,0.0,3.0
35669,2023-01-26 05:00:00,17.75,3020.0,2781.0,0.0,4.0
35670,2023-01-26 06:00:00,18.25,3020.0,3288.0,0.0,5.0
35671,2023-01-26 07:00:00,18.65,3018.0,3761.0,0.0,4.0
35672,2023-01-26 08:00:00,18.44,3028.0,3430.0,18.0,3.0
35673,2023-01-26 09:00:00,18.43,3028.0,3380.0,24.0,2.0
35674,2023-01-26 10:00:00,18.43,3027.0,3154.0,71.0,2.0
35675,2023-01-26 11:00:00,18.26,3027.0,2855.0,96.0,2.0
35676,2023-01-26 12:00:00,18.17,3017.0,2778.0,91.0,3.0
35677,2023-01-26 13:00:00,17.99,3018.0,2740.0,60.0,5.0
35678,2023-01-26 14:00:00,17.97,3020.0,2923.0,16.0,7.0
35679,2023-01-26 15:00:00,17.97,3019.0,2989.0,1.0,6.0
35680,2023-01-26 16:00:00,18.39,3020.0,3451.0,0.0,7.0
35681,2023-01-26 17:00:00,18.53,3019.0,3612.0,0.0,5.0
35682,2023-01-26 18:00:00,18.26,3020.0,3294.0,0.0,4.0
35683,2023-01-26 19:00:00,17.56,3021.0,2610.0,0.0,3.0
35684,2023-01-26 20:00:00,16.81,3021.0,2024.0,0.0,4.0
35685,2023-01-26 21:00:00,16.19,3022.0,1625.0,0.0,3.0
35686,2023-01-26 22:00:00,16.27,3023.0,1671.0,0.0,2.0
35687,2023-01-26 23:00:00,15.81,3022.0,1407.0,0.0,2.0
