UTC time,nuclear,hydro,solar,wind
2023-02-20 00:00:00,3010.0,398.0,0.0,5.0
2023-02-20 01:00:00,3011.0,337.0,0.0,4.0
2023-02-20 02:00:00,3012.0,351.0,0.0,4.0
2023-02-20 03:00:00,3012.0,406.0,0.0,4.0
2023-02-20 04:00:00,3010.0,566.0,0.0,4.0
2023-02-20 05:00:00,3012.0,1152.0,0.0,4.0
2023-02-20 06:00:00,3012.0,1798.0,3.0,5.0
2023-02-20 07:00:00,3012.0,2134.0,125.0,4.0
2023-02-20 08:00:00,3011.0,1919.0,449.0,5.0
2023-02-20 09:00:00,3010.0,817.0,923.0,5.0
2023-02-20 10:00:00,3009.0,565.0,1273.0,3.0
2023-02-20 11:00:00,3004.0,476.0,1437.0,3.0
2023-02-20 12:00:00,3001.0,489.0,1419.0,2.0
2023-02-20 13:00:00,2997.0,493.0,1259.0,1.0
2023-02-20 14:00:00,2995.0,543.0,936.0,2.0
2023-02-20 15:00:00,2994.0,700.0,520.0,4.0
2023-02-20 16:00:00,2994.0,1379.0,143.0,4.0
2023-02-20 17:00:00,2997.0,2090.0,2.0,2.0
2023-02-20 18:00:00,3001.0,2916.0,0.0,1.0
2023-02-20 19:00:00,3005.0,2334.0,0.0,1.0
2023-02-20 20:00:00,3009.0,1068.0,0.0,1.0
2023-02-20 21:00:00,3013.0,679.0,0.0,2.0
2023-02-20 22:00:00,3015.0,635.0,0.0,4.0
2023-02-20 23:00:00,3016.0,724.0,0.0,4.0
