datetime,avg_wind_production_forecast
2023-06-27T00:00:00.000000000,4055.49986
2023-06-27T01:00:00.000000000,4104.3699
2023-06-27T02:00:00.000000000,4250.09989
2023-06-27T03:00:00.000000000,4194.19014
2023-06-27T04:00:00.000000000,4226.61009
2023-06-27T05:00:00.000000000,4272.14992
2023-06-27T06:00:00.000000000,4312.40002
2023-06-27T07:00:00.000000000,4406.76007
2023-06-27T08:00:00.000000000,4367.3901
2023-06-27T09:00:00.000000000,4311.55011
2023-06-27T10:00:00.000000000,4189.36007
2023-06-27T11:00:00.000000000,3994.8899
2023-06-27T12:00:00.000000000,3730.68002
2023-06-27T13:00:00.000000000,3335.16995
2023-06-27T14:00:00.000000000,2753.97005
2023-06-27T15:00:00.000000000,2145.64993
2023-06-27T16:00:00.000000000,1692.71994
2023-06-27T17:00:00.000000000,1415.58995
2023-06-27T18:00:00.000000000,1301.36
2023-06-27T19:00:00.000000000,1378.37995
2023-06-27T20:00:00.000000000,1670.58006
2023-06-27T21:00:00.000000000,2076.47001
2023-06-27T22:00:00.000000000,2514.57996
2023-06-27T23:00:00.000000000,2920.31996
2023-06-28T00:00:00.000000000,2878.70693
2023-06-28T01:00:00.000000000,3088.94089
2023-06-28T02:00:00.000000000,3263.42504
2023-06-28T03:00:00.000000000,3369.98275
2023-06-28T04:00:00.000000000,3511.55127
2023-06-28T05:00:00.000000000,3611.96354
2023-06-28T06:00:00.000000000,3567.1071
2023-06-28T07:00:00.000000000,3568.42986
2023-06-28T08:00:00.000000000,3456.84728
2023-06-28T09:00:00.000000000,3340.334
2023-06-28T10:00:00.000000000,3138.05491
2023-06-28T11:00:00.000000000,2967.6014
2023-06-28T12:00:00.000000000,2736.98829
2023-06-28T13:00:00.000000000,2528.14635
2023-06-28T14:00:00.000000000,2304.05204
2023-06-28T15:00:00.000000000,2166.47059
2023-06-28T16:00:00.000000000,2104.64492
2023-06-28T17:00:00.000000000,1900.56893
2023-06-28T18:00:00.000000000,1809.52766
2023-06-28T19:00:00.000000000,1780.16678
2023-06-28T20:00:00.000000000,1755.63982
2023-06-28T21:00:00.000000000,1855.73595
2023-06-28T22:00:00.000000000,2042.48365
2023-06-28T23:00:00.000000000,2155.5052
2023-06-29T00:00:00.000000000,2207.74433
2023-06-29T01:00:00.000000000,2388.11017
2023-06-29T02:00:00.000000000,2554.16418
2023-06-29T03:00:00.000000000,2664.2051
2023-06-29T04:00:00.000000000,2794.16325
2023-06-29T05:00:00.000000000,2878.54106
2023-06-29T06:00:00.000000000,2845.70066
2023-06-29T07:00:00.000000000,2846.88713
2023-06-29T08:00:00.000000000,2754.03402
2023-06-29T09:00:00.000000000,2649.59369
2023-06-29T10:00:00.000000000,2467.67156
2023-06-29T11:00:00.000000000,2320.4769
2023-06-29T12:00:00.000000000,2125.88024
2023-06-29T13:00:00.000000000,1944.99173
2023-06-29T14:00:00.000000000,1751.16832
2023-06-29T15:00:00.000000000,1625.84095
2023-06-29T16:00:00.000000000,1564.39282
2023-06-29T17:00:00.000000000,1393.02013
2023-06-29T18:00:00.000000000,1319.85973
2023-06-29T19:00:00.000000000,1302.24519
2023-06-29T20:00:00.000000000,1283.8652
2023-06-29T21:00:00.000000000,1372.15881
2023-06-29T22:00:00.000000000,1538.73871
2023-06-29T23:00:00.000000000,1655.88475
2023-06-30T00:00:00.000000000,1716.62506
2023-06-30T01:00:00.000000000,1879.27285
2023-06-30T02:00:00.000000000,2045.11744
2023-06-30T03:00:00.000000000,2162.28711
2023-06-30T04:00:00.000000000,2308.36249
2023-06-30T05:00:00.000000000,2413.18246
2023-06-30T06:00:00.000000000,2423.58595
2023-06-30T07:00:00.000000000,2461.51085
2023-06-30T08:00:00.000000000,2418.53472
2023-06-30T09:00:00.000000000,2361.70306
2023-06-30T10:00:00.000000000,2228.26781
2023-06-30T11:00:00.000000000,2128.47288
2023-06-30T12:00:00.000000000,1980.78093
2023-06-30T13:00:00.000000000,1831.82007
2023-06-30T14:00:00.000000000,1668.75344
2023-06-30T15:00:00.000000000,1558.84817
2023-06-30T16:00:00.000000000,1499.26877
2023-06-30T17:00:00.000000000,1329.61374
2023-06-30T18:00:00.000000000,1246.30957
2023-06-30T19:00:00.000000000,1203.61342
2023-06-30T20:00:00.000000000,1149.03969
2023-06-30T21:00:00.000000000,1195.89224
2023-06-30T22:00:00.000000000,1320.14139
2023-06-30T23:00:00.000000000,1404.47734
