UTC time,nat_gas,solar
2023-08-05 00:00:00,1075.0,180.0
2023-08-05 01:00:00,1073.0,147.0
2023-08-05 02:00:00,1093.0,58.0
2023-08-05 03:00:00,1094.0,35.0
2023-08-05 04:00:00,1115.0,34.0
2023-08-05 05:00:00,1076.0,7.0
2023-08-05 06:00:00,1066.0,0.0
2023-08-05 07:00:00,1018.0,0.0
2023-08-05 08:00:00,911.0,0.0
2023-08-05 09:00:00,797.0,0.0
2023-08-05 10:00:00,741.0,0.0
2023-08-05 11:00:00,700.0,0.0
2023-08-05 12:00:00,703.0,0.0
2023-08-05 13:00:00,691.0,4.0
2023-08-05 14:00:00,657.0,98.0
2023-08-05 15:00:00,583.0,183.0
2023-08-05 16:00:00,583.0,243.0
2023-08-05 17:00:00,584.0,247.0
2023-08-05 18:00:00,823.0,248.0
2023-08-05 19:00:00,942.0,226.0
2023-08-05 20:00:00,1013.0,204.0
2023-08-05 21:00:00,1051.0,189.0
2023-08-05 22:00:00,1047.0,182.0
2023-08-05 23:00:00,1090.0,152.0
