UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-05-09T00:00:00.000000000,2024-07-17 00:00:00,3.1,393.57,458.99239
2023-05-09T01:00:00.000000000,2024-07-17 00:00:00,3.1,410.8,469.60944
2023-05-09T02:00:00.000000000,2024-07-17 00:00:00,3.1,449.72,475.54694
2023-05-09T03:00:00.000000000,2024-07-17 00:00:00,3.1,462.01,483.43037
2023-05-09T04:00:00.000000000,2024-07-17 00:00:00,3.1,457.87,491.1731
2023-05-09T05:00:00.000000000,2024-07-17 00:00:00,3.1,455.09,492.84621
2023-05-09T06:00:00.000000000,2024-07-17 00:00:00,3.1,467.07,493.27501
2023-05-09T07:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,492.18911
2023-05-09T08:00:00.000000000,2024-07-17 00:00:00,3.1,489.18,491.66448
2023-05-09T09:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,490.47382
2023-05-09T10:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,491.85997
2023-05-09T11:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,491.12558
2023-05-09T12:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,489.37022
2023-05-09T13:00:00.000000000,2024-07-17 00:00:00,3.1,477.93,482.80438
2023-05-09T14:00:00.000000000,2024-07-17 00:00:00,3.1,400.45,471.65144
2023-05-09T15:00:00.000000000,2024-07-17 00:00:00,3.1,348.05,455.85382
2023-05-09T16:00:00.000000000,2024-07-17 00:00:00,3.1,319.69,443.98919
2023-05-09T17:00:00.000000000,2024-07-17 00:00:00,3.1,319.57,434.71497
2023-05-09T18:00:00.000000000,2024-07-17 00:00:00,3.1,323.79,424.85171
2023-05-09T19:00:00.000000000,2024-07-17 00:00:00,3.1,343.68,425.38858
2023-05-09T20:00:00.000000000,2024-07-17 00:00:00,3.1,361.15,428.66975
2023-05-09T21:00:00.000000000,2024-07-17 00:00:00,3.1,385.95,433.96509
2023-05-09T22:00:00.000000000,2024-07-17 00:00:00,3.1,374.81,441.78746
2023-05-09T23:00:00.000000000,2024-07-17 00:00:00,3.1,372.86,450.86167
2023-05-10T00:00:00.000000000,2024-07-17 00:00:00,3.1,377.66,460.73506
2023-05-10T01:00:00.000000000,2024-07-17 00:00:00,3.1,405.92,470.47404
2023-05-10T02:00:00.000000000,2024-07-17 00:00:00,3.1,448.13,476.34859
2023-05-10T03:00:00.000000000,2024-07-17 00:00:00,3.1,479.13,482.34951
2023-05-10T04:00:00.000000000,2024-07-17 00:00:00,3.1,474.94,490.60186
2023-05-10T05:00:00.000000000,2024-07-17 00:00:00,3.1,474.88,491.52916
2023-05-10T06:00:00.000000000,2024-07-17 00:00:00,3.1,482.76,493.34797
2023-05-10T07:00:00.000000000,2024-07-17 00:00:00,3.1,487.59,491.48488
2023-05-10T08:00:00.000000000,2024-07-17 00:00:00,3.1,488.1,489.8093
2023-05-10T09:00:00.000000000,2024-07-17 00:00:00,3.1,489.37,487.0701
2023-05-10T10:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,488.8529
2023-05-10T11:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,489.27695
2023-05-10T12:00:00.000000000,2024-07-17 00:00:00,3.1,490.0,489.34393
2023-05-10T13:00:00.000000000,2024-07-17 00:00:00,3.1,480.67,485.48371
2023-05-10T14:00:00.000000000,2024-07-17 00:00:00,3.1,413.08,477.42213
2023-05-10T15:00:00.000000000,2024-07-17 00:00:00,3.1,374.07,462.8112
2023-05-10T16:00:00.000000000,2024-07-17 00:00:00,3.1,392.03,450.64049
2023-05-10T17:00:00.000000000,2024-07-17 00:00:00,3.1,388.9,441.81502
2023-05-10T18:00:00.000000000,2024-07-17 00:00:00,3.1,392.03,431.81591
2023-05-10T19:00:00.000000000,2024-07-17 00:00:00,3.1,353.93,431.6176
2023-05-10T20:00:00.000000000,2024-07-17 00:00:00,3.1,355.42,433.95898
2023-05-10T21:00:00.000000000,2024-07-17 00:00:00,3.1,367.4,437.89399
2023-05-10T22:00:00.000000000,2024-07-17 00:00:00,3.1,377.7,445.26592
2023-05-10T23:00:00.000000000,2024-07-17 00:00:00,3.1,386.61,453.89791
2023-05-11T00:00:00.000000000,2024-07-17 00:00:00,3.1,396.74,454.26717
