UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-12-09T00:00:00.000000000,2024-07-17 00:00:00,3.1,146.62,173.73508
2022-12-09T01:00:00.000000000,2024-07-17 00:00:00,3.1,142.37,170.35873
2022-12-09T02:00:00.000000000,2024-07-17 00:00:00,3.1,140.35,166.19765
2022-12-09T03:00:00.000000000,2024-07-17 00:00:00,3.1,140.96,164.01425
2022-12-09T04:00:00.000000000,2024-07-17 00:00:00,3.1,148.02,162.60375
2022-12-09T05:00:00.000000000,2024-07-17 00:00:00,3.1,158.58,158.81125
2022-12-09T06:00:00.000000000,2024-07-17 00:00:00,3.1,158.71,155.70685
2022-12-09T07:00:00.000000000,2024-07-17 00:00:00,3.1,152.85,148.41154
2022-12-09T08:00:00.000000000,2024-07-17 00:00:00,3.1,156.19,143.74516
2022-12-09T09:00:00.000000000,2024-07-17 00:00:00,3.1,160.15,140.79056
2022-12-09T10:00:00.000000000,2024-07-17 00:00:00,3.1,162.86,140.79543
2022-12-09T11:00:00.000000000,2024-07-17 00:00:00,3.1,166.45,138.82142
2022-12-09T12:00:00.000000000,2024-07-17 00:00:00,3.1,163.55,147.04538
2022-12-09T13:00:00.000000000,2024-07-17 00:00:00,3.1,155.04,153.02183
2022-12-09T14:00:00.000000000,2024-07-17 00:00:00,3.1,159.55,164.4364
2022-12-09T15:00:00.000000000,2024-07-17 00:00:00,3.1,168.26,172.64583
2022-12-09T16:00:00.000000000,2024-07-17 00:00:00,3.1,173.67,180.50817
2022-12-09T17:00:00.000000000,2024-07-17 00:00:00,3.1,177.97,189.31388
2022-12-09T18:00:00.000000000,2024-07-17 00:00:00,3.1,174.75,189.58907
2022-12-09T19:00:00.000000000,2024-07-17 00:00:00,3.1,173.87,189.69864
2022-12-09T20:00:00.000000000,2024-07-17 00:00:00,3.1,173.62,185.54781
2022-12-09T21:00:00.000000000,2024-07-17 00:00:00,3.1,169.58,181.23217
2022-12-09T22:00:00.000000000,2024-07-17 00:00:00,3.1,167.62,175.54271
2022-12-09T23:00:00.000000000,2024-07-17 00:00:00,3.1,158.46,171.52694
2022-12-10T00:00:00.000000000,2024-07-17 00:00:00,3.1,147.69,183.67343
2022-12-10T01:00:00.000000000,2024-07-17 00:00:00,3.1,142.12,175.90928
2022-12-10T02:00:00.000000000,2024-07-17 00:00:00,3.1,140.27,168.4812
2022-12-10T03:00:00.000000000,2024-07-17 00:00:00,3.1,142.94,165.81387
2022-12-10T04:00:00.000000000,2024-07-17 00:00:00,3.1,144.2,164.98346
2022-12-10T05:00:00.000000000,2024-07-17 00:00:00,3.1,148.5,160.18196
2022-12-10T06:00:00.000000000,2024-07-17 00:00:00,3.1,154.4,158.8146
2022-12-10T07:00:00.000000000,2024-07-17 00:00:00,3.1,155.93,153.19886
2022-12-10T08:00:00.000000000,2024-07-17 00:00:00,3.1,151.18,148.47654
2022-12-10T09:00:00.000000000,2024-07-17 00:00:00,3.1,152.87,145.75882
2022-12-10T10:00:00.000000000,2024-07-17 00:00:00,3.1,160.49,143.99115
2022-12-10T11:00:00.000000000,2024-07-17 00:00:00,3.1,158.7,140.0414
2022-12-10T12:00:00.000000000,2024-07-17 00:00:00,3.1,156.77,148.89977
2022-12-10T13:00:00.000000000,2024-07-17 00:00:00,3.1,152.48,154.64649
2022-12-10T14:00:00.000000000,2024-07-17 00:00:00,3.1,148.93,171.4664
2022-12-10T15:00:00.000000000,2024-07-17 00:00:00,3.1,153.26,184.20181
2022-12-10T16:00:00.000000000,2024-07-17 00:00:00,3.1,159.35,199.26854
2022-12-10T17:00:00.000000000,2024-07-17 00:00:00,3.1,165.15,216.33348
2022-12-10T18:00:00.000000000,2024-07-17 00:00:00,3.1,168.99,222.94001
2022-12-10T19:00:00.000000000,2024-07-17 00:00:00,3.1,162.74,227.21555
2022-12-10T20:00:00.000000000,2024-07-17 00:00:00,3.1,163.02,226.78679
2022-12-10T21:00:00.000000000,2024-07-17 00:00:00,3.1,163.57,223.44175
2022-12-10T22:00:00.000000000,2024-07-17 00:00:00,3.1,158.85,215.76414
2022-12-10T23:00:00.000000000,2024-07-17 00:00:00,3.1,162.04,207.20051
2022-12-11T00:00:00.000000000,2024-07-17 00:00:00,3.1,152.13,187.39756
2022-12-11T01:00:00.000000000,2024-07-17 00:00:00,3.1,149.93,182.45068
2022-12-11T02:00:00.000000000,2024-07-17 00:00:00,3.1,151.17,177.95689
2022-12-11T03:00:00.000000000,2024-07-17 00:00:00,3.1,153.55,173.85389
2022-12-11T04:00:00.000000000,2024-07-17 00:00:00,3.1,157.8,171.4999
2022-12-11T05:00:00.000000000,2024-07-17 00:00:00,3.1,160.51,166.4251
2022-12-11T06:00:00.000000000,2024-07-17 00:00:00,3.1,163.0,162.12842
2022-12-11T07:00:00.000000000,2024-07-17 00:00:00,3.1,160.89,157.04915
2022-12-11T08:00:00.000000000,2024-07-17 00:00:00,3.1,157.12,154.73302
2022-12-11T09:00:00.000000000,2024-07-17 00:00:00,3.1,162.95,153.3806
2022-12-11T10:00:00.000000000,2024-07-17 00:00:00,3.1,164.18,150.60358
2022-12-11T11:00:00.000000000,2024-07-17 00:00:00,3.1,163.74,151.2465
2022-12-11T12:00:00.000000000,2024-07-17 00:00:00,3.1,162.5,160.48938
2022-12-11T13:00:00.000000000,2024-07-17 00:00:00,3.1,161.01,168.05599
