UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-10-16T00:00:00.000000000,2024-07-17 00:00:00,3.1,46.77,58.50127
2023-10-16T01:00:00.000000000,2024-07-17 00:00:00,3.1,46.75,54.11963
2023-10-16T02:00:00.000000000,2024-07-17 00:00:00,3.1,46.21,40.94585
2023-10-16T03:00:00.000000000,2024-07-17 00:00:00,3.1,45.18,69.96794
2023-10-16T04:00:00.000000000,2024-07-17 00:00:00,3.1,42.36,49.19341
2023-10-16T05:00:00.000000000,2024-07-17 00:00:00,3.1,41.91,30.92363
2023-10-16T06:00:00.000000000,2024-07-17 00:00:00,3.1,41.92,35.73065
2023-10-16T07:00:00.000000000,2024-07-17 00:00:00,3.1,42.15,35.80488
2023-10-16T08:00:00.000000000,2024-07-17 00:00:00,3.1,42.16,36.25137
2023-10-16T09:00:00.000000000,2024-07-17 00:00:00,3.1,42.34,64.47289
2023-10-16T10:00:00.000000000,2024-07-17 00:00:00,3.1,42.89,74.688
2023-10-16T11:00:00.000000000,2024-07-17 00:00:00,3.1,42.72,46.61702
2023-10-16T12:00:00.000000000,2024-07-17 00:00:00,3.1,42.29,86.15131
2023-10-16T13:00:00.000000000,2024-07-17 00:00:00,3.1,42.01,20.05814
2023-10-16T14:00:00.000000000,2024-07-17 00:00:00,3.1,42.19,62.46133
2023-10-16T15:00:00.000000000,2024-07-17 00:00:00,3.1,42.25,99.22204
2023-10-16T16:00:00.000000000,2024-07-17 00:00:00,3.1,43.35,132.10917
2023-10-16T17:00:00.000000000,2024-07-17 00:00:00,3.1,43.42,109.35182
2023-10-16T18:00:00.000000000,2024-07-17 00:00:00,3.1,43.81,100.25118
2023-10-16T19:00:00.000000000,2024-07-17 00:00:00,3.1,42.65,109.11124
2023-10-16T20:00:00.000000000,2024-07-17 00:00:00,3.1,43.14,95.1392
2023-10-16T21:00:00.000000000,2024-07-17 00:00:00,3.1,43.52,89.72101
2023-10-16T22:00:00.000000000,2024-07-17 00:00:00,3.1,44.23,130.96033
2023-10-16T23:00:00.000000000,2024-07-17 00:00:00,3.1,45.27,129.88067
2023-10-17T00:00:00.000000000,2024-07-17 00:00:00,3.1,47.08,55.36295
2023-10-17T01:00:00.000000000,2024-07-17 00:00:00,3.1,47.36,51.47134
2023-10-17T02:00:00.000000000,2024-07-17 00:00:00,3.1,48.38,39.87522
2023-10-17T03:00:00.000000000,2024-07-17 00:00:00,3.1,53.34,65.851
2023-10-17T04:00:00.000000000,2024-07-17 00:00:00,3.1,61.32,43.04782
2023-10-17T05:00:00.000000000,2024-07-17 00:00:00,3.1,67.03,19.49869
2023-10-17T06:00:00.000000000,2024-07-17 00:00:00,3.1,70.19,25.70108
2023-10-17T07:00:00.000000000,2024-07-17 00:00:00,3.1,74.2,26.04514
2023-10-17T08:00:00.000000000,2024-07-17 00:00:00,3.1,71.93,25.28911
2023-10-17T09:00:00.000000000,2024-07-17 00:00:00,3.1,71.55,51.02998
2023-10-17T10:00:00.000000000,2024-07-17 00:00:00,3.1,72.33,63.90374
2023-10-17T11:00:00.000000000,2024-07-17 00:00:00,3.1,70.83,33.02904
2023-10-17T12:00:00.000000000,2024-07-17 00:00:00,3.1,69.98,75.90046
2023-10-17T13:00:00.000000000,2024-07-17 00:00:00,3.1,69.76,3.9617
2023-10-17T14:00:00.000000000,2024-07-17 00:00:00,3.1,69.79,50.28546
2023-10-17T15:00:00.000000000,2024-07-17 00:00:00,3.1,70.03,96.21808
2023-10-17T16:00:00.000000000,2024-07-17 00:00:00,3.1,69.22,128.25422
2023-10-17T17:00:00.000000000,2024-07-17 00:00:00,3.1,68.54,94.5806
2023-10-17T18:00:00.000000000,2024-07-17 00:00:00,3.1,66.95,86.05901
2023-10-17T19:00:00.000000000,2024-07-17 00:00:00,3.1,60.34,97.16882
2023-10-17T20:00:00.000000000,2024-07-17 00:00:00,3.1,55.09,83.1011
2023-10-17T21:00:00.000000000,2024-07-17 00:00:00,3.1,51.11,76.77544
2023-10-17T22:00:00.000000000,2024-07-17 00:00:00,3.1,49.96,124.50677
2023-10-17T23:00:00.000000000,2024-07-17 00:00:00,3.1,49.22,115.24686
2023-10-18T00:00:00.000000000,2024-07-17 00:00:00,3.1,48.46,55.20821
2023-10-18T01:00:00.000000000,2024-07-17 00:00:00,3.1,48.5,51.55502
2023-10-18T02:00:00.000000000,2024-07-17 00:00:00,3.1,49.04,39.96972
2023-10-18T03:00:00.000000000,2024-07-17 00:00:00,3.1,50.75,65.79725
2023-10-18T04:00:00.000000000,2024-07-17 00:00:00,3.1,55.23,42.70253
2023-10-18T05:00:00.000000000,2024-07-17 00:00:00,3.1,59.5,19.12106
2023-10-18T06:00:00.000000000,2024-07-17 00:00:00,3.1,60.68,25.46214
2023-10-18T07:00:00.000000000,2024-07-17 00:00:00,3.1,61.82,25.64044
2023-10-18T08:00:00.000000000,2024-07-17 00:00:00,3.1,62.75,24.87633
2023-10-18T09:00:00.000000000,2024-07-17 00:00:00,3.1,62.33,50.45478
2023-10-18T10:00:00.000000000,2024-07-17 00:00:00,3.1,60.2,63.34375
2023-10-18T11:00:00.000000000,2024-07-17 00:00:00,3.1,58.71,32.33208
2023-10-18T12:00:00.000000000,2024-07-17 00:00:00,3.1,57.87,75.16571
2023-10-18T13:00:00.000000000,2024-07-17 00:00:00,3.1,55.25,3.29225
2023-10-18T14:00:00.000000000,2024-07-17 00:00:00,3.1,54.71,49.69656
2023-10-18T15:00:00.000000000,2024-07-17 00:00:00,3.1,50.96,95.61647
2023-10-18T16:00:00.000000000,2024-07-17 00:00:00,3.1,48.87,127.66274
2023-10-18T17:00:00.000000000,2024-07-17 00:00:00,3.1,46.63,93.74655
2023-10-18T18:00:00.000000000,2024-07-17 00:00:00,3.1,48.1,85.12008
2023-10-18T19:00:00.000000000,2024-07-17 00:00:00,3.1,48.72,96.39812
2023-10-18T20:00:00.000000000,2024-07-17 00:00:00,3.1,48.2,82.35896
2023-10-18T21:00:00.000000000,2024-07-17 00:00:00,3.1,49.1,75.90885
2023-10-18T22:00:00.000000000,2024-07-17 00:00:00,3.1,50.72,123.67539
2023-10-18T23:00:00.000000000,2024-07-17 00:00:00,3.1,50.35,114.37353
2023-10-19T00:00:00.000000000,2024-07-17 00:00:00,3.1,49.65,55.37286
2023-10-19T01:00:00.000000000,2024-07-17 00:00:00,3.1,49.7,51.63488
2023-10-19T02:00:00.000000000,2024-07-17 00:00:00,3.1,48.45,40.01857
2023-10-19T03:00:00.000000000,2024-07-17 00:00:00,3.1,47.54,65.94383
2023-10-19T04:00:00.000000000,2024-07-17 00:00:00,3.1,47.04,43.00815
2023-10-19T05:00:00.000000000,2024-07-17 00:00:00,3.1,49.04,19.58476
2023-10-19T06:00:00.000000000,2024-07-17 00:00:00,3.1,51.74,25.84307
2023-10-19T07:00:00.000000000,2024-07-17 00:00:00,3.1,55.73,26.0678
2023-10-19T08:00:00.000000000,2024-07-17 00:00:00,3.1,57.33,25.3352
2023-10-19T09:00:00.000000000,2024-07-17 00:00:00,3.1,55.02,51.00495
2023-10-19T10:00:00.000000000,2024-07-17 00:00:00,3.1,53.99,63.81511
2023-10-19T11:00:00.000000000,2024-07-17 00:00:00,3.1,54.37,32.93671
2023-10-19T12:00:00.000000000,2024-07-17 00:00:00,3.1,53.69,75.66644
2023-10-19T13:00:00.000000000,2024-07-17 00:00:00,3.1,52.59,3.975
2023-10-19T14:00:00.000000000,2024-07-17 00:00:00,3.1,52.19,50.22484
2023-10-19T15:00:00.000000000,2024-07-17 00:00:00,3.1,49.73,95.88224
2023-10-19T16:00:00.000000000,2024-07-17 00:00:00,3.1,48.18,127.91751
2023-10-19T17:00:00.000000000,2024-07-17 00:00:00,3.1,46.57,94.37925
2023-10-19T18:00:00.000000000,2024-07-17 00:00:00,3.1,46.96,85.7726
2023-10-19T19:00:00.000000000,2024-07-17 00:00:00,3.1,47.7,96.93712
2023-10-19T20:00:00.000000000,2024-07-17 00:00:00,3.1,49.74,82.90264
2023-10-19T21:00:00.000000000,2024-07-17 00:00:00,3.1,50.99,76.51668
2023-10-19T22:00:00.000000000,2024-07-17 00:00:00,3.1,51.5,124.07482
2023-10-19T23:00:00.000000000,2024-07-17 00:00:00,3.1,53.63,114.98942
