UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-07-23T00:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,140.1967
2023-07-23T01:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,136.84861
2023-07-23T02:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,133.11927
2023-07-23T03:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,131.31896
2023-07-23T04:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,131.25106
2023-07-23T05:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,134.30077
2023-07-23T06:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,139.22264
2023-07-23T07:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,142.76686
2023-07-23T08:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,142.40721
2023-07-23T09:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,136.39115
2023-07-23T10:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,127.57996
2023-07-23T11:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,119.05603
2023-07-23T12:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,113.78493
2023-07-23T13:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,110.22093
2023-07-23T14:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,109.48032
2023-07-23T15:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,109.78247
2023-07-23T16:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,111.65939
2023-07-23T17:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,113.34694
2023-07-23T18:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,114.09842
2023-07-23T19:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,114.36247
2023-07-23T20:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,114.08871
2023-07-23T21:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,113.16188
2023-07-23T22:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,112.6967
2023-07-23T23:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,111.88823
2023-07-24T00:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,130.23866
2023-07-24T01:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,127.59368
2023-07-24T02:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,125.48451
2023-07-24T03:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,126.2093
2023-07-24T04:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,129.10695
2023-07-24T05:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,134.93668
2023-07-24T06:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,142.37781
2023-07-24T07:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,147.79693
2023-07-24T08:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,148.41306
2023-07-24T09:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,143.037
2023-07-24T10:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,134.55853
2023-07-24T11:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,125.823
2023-07-24T12:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,120.26726
2023-07-24T13:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,116.74373
2023-07-24T14:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,116.39877
2023-07-24T15:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,117.77504
2023-07-24T16:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,120.80923
2023-07-24T17:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,123.43716
2023-07-24T18:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,124.88134
2023-07-24T19:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,125.33861
2023-07-24T20:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,125.13987
2023-07-24T21:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,124.09845
2023-07-24T22:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,123.22699
2023-07-24T23:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,122.25684
2023-07-25T00:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,159.56896
2023-07-25T01:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,161.31804
2023-07-25T02:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,163.97845
2023-07-25T03:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,169.32925
2023-07-25T04:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,175.26072
2023-07-25T05:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,181.22394
2023-07-25T06:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,187.12481
2023-07-25T07:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,190.55954
2023-07-25T08:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,191.60193
2023-07-25T09:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,186.57613
2023-07-25T10:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,179.89387
2023-07-25T11:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,172.92197
2023-07-25T12:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,168.96544
2023-07-25T13:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,165.56179
2023-07-25T14:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,164.10506
2023-07-25T15:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,162.56401
2023-07-25T16:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,160.33469
2023-07-25T17:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,158.51681
2023-07-25T18:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,155.31822
2023-07-25T19:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,153.12772
2023-07-25T20:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,151.6128
2023-07-25T21:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,152.52651
2023-07-25T22:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,154.27242
2023-07-25T23:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,157.25595
2023-07-26T00:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,166.91224
2023-07-26T01:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,168.08946
2023-07-26T02:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,170.20818
2023-07-26T03:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,175.21766
2023-07-26T04:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,180.2978
2023-07-26T05:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,185.30222
2023-07-26T06:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,189.72704
2023-07-26T07:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,190.61593
2023-07-26T08:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,188.76671
2023-07-26T09:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,180.89739
2023-07-26T10:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,171.95351
2023-07-26T11:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,164.00648
2023-07-26T12:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,159.74478
2023-07-26T13:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,155.75913
2023-07-26T14:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,153.53035
2023-07-26T15:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,150.37925
2023-07-26T16:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,146.03572
2023-07-26T17:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,141.93978
2023-07-26T18:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,136.11869
2023-07-26T19:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,131.0367
2023-07-26T20:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,126.29374
2023-07-26T21:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,123.75139
2023-07-26T22:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,122.92878
2023-07-26T23:00:00.000000000,2024-07-17 00:00:00,3.1,103.22,124.47598
