UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-08-16T00:00:00.000000000,2024-07-17 00:00:00,3.1,249.38,276.77787
2023-08-16T01:00:00.000000000,2024-07-17 00:00:00,3.1,249.74,287.94339
2023-08-16T02:00:00.000000000,2024-07-17 00:00:00,3.1,245.99,271.89939
2023-08-16T03:00:00.000000000,2024-07-17 00:00:00,3.1,241.57,264.56957
2023-08-16T04:00:00.000000000,2024-07-17 00:00:00,3.1,212.89,246.79165
2023-08-16T05:00:00.000000000,2024-07-17 00:00:00,3.1,206.77,237.23644
2023-08-16T06:00:00.000000000,2024-07-17 00:00:00,3.1,210.29,232.95547
2023-08-16T07:00:00.000000000,2024-07-17 00:00:00,3.1,214.37,233.98578
2023-08-16T08:00:00.000000000,2024-07-17 00:00:00,3.1,219.99,230.12331
2023-08-16T09:00:00.000000000,2024-07-17 00:00:00,3.1,233.97,226.76606
2023-08-16T10:00:00.000000000,2024-07-17 00:00:00,3.1,229.74,232.94958
2023-08-16T11:00:00.000000000,2024-07-17 00:00:00,3.1,236.01,238.52339
2023-08-16T12:00:00.000000000,2024-07-17 00:00:00,3.1,236.32,251.39921
2023-08-16T13:00:00.000000000,2024-07-17 00:00:00,3.1,223.05,244.9302
2023-08-16T14:00:00.000000000,2024-07-17 00:00:00,3.1,220.29,239.60229
2023-08-16T15:00:00.000000000,2024-07-17 00:00:00,3.1,221.48,233.00128
2023-08-16T16:00:00.000000000,2024-07-17 00:00:00,3.1,211.44,216.9013
2023-08-16T17:00:00.000000000,2024-07-17 00:00:00,3.1,205.77,224.21299
2023-08-16T18:00:00.000000000,2024-07-17 00:00:00,3.1,201.94,214.75717
2023-08-16T19:00:00.000000000,2024-07-17 00:00:00,3.1,199.34,216.92563
2023-08-16T20:00:00.000000000,2024-07-17 00:00:00,3.1,196.42,222.76548
2023-08-16T21:00:00.000000000,2024-07-17 00:00:00,3.1,195.17,238.58799
2023-08-16T22:00:00.000000000,2024-07-17 00:00:00,3.1,211.56,259.43875
2023-08-16T23:00:00.000000000,2024-07-17 00:00:00,3.1,225.82,266.2023
2023-08-17T00:00:00.000000000,2024-07-17 00:00:00,3.1,227.07,273.69184
2023-08-17T01:00:00.000000000,2024-07-17 00:00:00,3.1,228.37,281.27814
2023-08-17T02:00:00.000000000,2024-07-17 00:00:00,3.1,228.43,268.98537
2023-08-17T03:00:00.000000000,2024-07-17 00:00:00,3.1,224.44,262.32824
2023-08-17T04:00:00.000000000,2024-07-17 00:00:00,3.1,193.52,245.54916
2023-08-17T05:00:00.000000000,2024-07-17 00:00:00,3.1,192.31,236.04384
2023-08-17T06:00:00.000000000,2024-07-17 00:00:00,3.1,195.48,233.39156
2023-08-17T07:00:00.000000000,2024-07-17 00:00:00,3.1,199.4,234.56816
2023-08-17T08:00:00.000000000,2024-07-17 00:00:00,3.1,227.08,230.08873
2023-08-17T09:00:00.000000000,2024-07-17 00:00:00,3.1,229.15,224.86694
2023-08-17T10:00:00.000000000,2024-07-17 00:00:00,3.1,236.47,229.43447
2023-08-17T11:00:00.000000000,2024-07-17 00:00:00,3.1,247.01,234.73086
2023-08-17T12:00:00.000000000,2024-07-17 00:00:00,3.1,247.93,246.82707
2023-08-17T13:00:00.000000000,2024-07-17 00:00:00,3.1,257.41,241.36728
2023-08-17T14:00:00.000000000,2024-07-17 00:00:00,3.1,264.08,236.42318
2023-08-17T15:00:00.000000000,2024-07-17 00:00:00,3.1,237.06,231.80796
2023-08-17T16:00:00.000000000,2024-07-17 00:00:00,3.1,239.68,216.23731
2023-08-17T17:00:00.000000000,2024-07-17 00:00:00,3.1,239.61,225.47848
2023-08-17T18:00:00.000000000,2024-07-17 00:00:00,3.1,230.12,215.32105
2023-08-17T19:00:00.000000000,2024-07-17 00:00:00,3.1,223.15,218.27716
2023-08-17T20:00:00.000000000,2024-07-17 00:00:00,3.1,217.46,223.69156
2023-08-17T21:00:00.000000000,2024-07-17 00:00:00,3.1,215.04,237.39594
2023-08-17T22:00:00.000000000,2024-07-17 00:00:00,3.1,229.18,256.20173
2023-08-17T23:00:00.000000000,2024-07-17 00:00:00,3.1,244.63,261.21189
2023-08-18T00:00:00.000000000,2024-07-17 00:00:00,3.1,245.32,267.5581
2023-08-18T01:00:00.000000000,2024-07-17 00:00:00,3.1,247.59,272.90909
2023-08-18T02:00:00.000000000,2024-07-17 00:00:00,3.1,249.88,265.02994
2023-08-18T03:00:00.000000000,2024-07-17 00:00:00,3.1,249.09,260.32705
2023-08-18T04:00:00.000000000,2024-07-17 00:00:00,3.1,221.97,245.86863
2023-08-18T05:00:00.000000000,2024-07-17 00:00:00,3.1,221.25,237.27205
2023-08-18T06:00:00.000000000,2024-07-17 00:00:00,3.1,228.53,235.32317
2023-08-18T07:00:00.000000000,2024-07-17 00:00:00,3.1,238.79,235.56129
2023-08-18T08:00:00.000000000,2024-07-17 00:00:00,3.1,245.67,232.54612
2023-08-18T09:00:00.000000000,2024-07-17 00:00:00,3.1,265.55,224.92748
2023-08-18T10:00:00.000000000,2024-07-17 00:00:00,3.1,284.46,228.03143
2023-08-18T11:00:00.000000000,2024-07-17 00:00:00,3.1,289.49,231.27958
2023-08-18T12:00:00.000000000,2024-07-17 00:00:00,3.1,290.2,242.15431
2023-08-18T13:00:00.000000000,2024-07-17 00:00:00,3.1,289.13,236.50289
2023-08-18T14:00:00.000000000,2024-07-17 00:00:00,3.1,267.69,231.27175
2023-08-18T15:00:00.000000000,2024-07-17 00:00:00,3.1,244.5,228.93485
2023-08-18T16:00:00.000000000,2024-07-17 00:00:00,3.1,234.97,214.42303
2023-08-18T17:00:00.000000000,2024-07-17 00:00:00,3.1,231.94,224.68297
2023-08-18T18:00:00.000000000,2024-07-17 00:00:00,3.1,223.02,213.58762
2023-08-18T19:00:00.000000000,2024-07-17 00:00:00,3.1,220.92,216.63313
2023-08-18T20:00:00.000000000,2024-07-17 00:00:00,3.1,224.01,220.04756
2023-08-18T21:00:00.000000000,2024-07-17 00:00:00,3.1,224.04,232.15514
2023-08-18T22:00:00.000000000,2024-07-17 00:00:00,3.1,243.46,248.34403
2023-08-18T23:00:00.000000000,2024-07-17 00:00:00,3.1,265.92,254.0579
2023-08-19T00:00:00.000000000,2024-07-17 00:00:00,3.1,257.05,265.12777
2023-08-19T01:00:00.000000000,2024-07-17 00:00:00,3.1,253.14,272.438
2023-08-19T02:00:00.000000000,2024-07-17 00:00:00,3.1,251.29,263.67033
2023-08-19T03:00:00.000000000,2024-07-17 00:00:00,3.1,243.52,260.62449
2023-08-19T04:00:00.000000000,2024-07-17 00:00:00,3.1,255.1,244.85225
2023-08-19T05:00:00.000000000,2024-07-17 00:00:00,3.1,258.92,234.53129
2023-08-19T06:00:00.000000000,2024-07-17 00:00:00,3.1,264.1,228.79297
2023-08-19T07:00:00.000000000,2024-07-17 00:00:00,3.1,267.95,223.35235
2023-08-19T08:00:00.000000000,2024-07-17 00:00:00,3.1,269.38,223.53305
2023-08-19T09:00:00.000000000,2024-07-17 00:00:00,3.1,269.71,213.74186
2023-08-19T10:00:00.000000000,2024-07-17 00:00:00,3.1,277.11,215.52956
2023-08-19T11:00:00.000000000,2024-07-17 00:00:00,3.1,282.26,217.97867
2023-08-19T12:00:00.000000000,2024-07-17 00:00:00,3.1,282.22,235.5598
2023-08-19T13:00:00.000000000,2024-07-17 00:00:00,3.1,266.63,227.55922
2023-08-19T14:00:00.000000000,2024-07-17 00:00:00,3.1,257.53,223.86349
2023-08-19T15:00:00.000000000,2024-07-17 00:00:00,3.1,228.83,219.80104
2023-08-19T16:00:00.000000000,2024-07-17 00:00:00,3.1,213.97,207.68215
2023-08-19T17:00:00.000000000,2024-07-17 00:00:00,3.1,211.52,218.09061
2023-08-19T18:00:00.000000000,2024-07-17 00:00:00,3.1,206.78,208.40964
2023-08-19T19:00:00.000000000,2024-07-17 00:00:00,3.1,204.58,204.9771
2023-08-19T20:00:00.000000000,2024-07-17 00:00:00,3.1,207.33,210.37696
2023-08-19T21:00:00.000000000,2024-07-17 00:00:00,3.1,217.86,224.52968
2023-08-19T22:00:00.000000000,2024-07-17 00:00:00,3.1,225.83,239.65145
2023-08-19T23:00:00.000000000,2024-07-17 00:00:00,3.1,220.67,250.56731
