UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-04-08T00:00:00.000000000,2024-07-17 00:00:00,3.1,96.31,92.23463
2023-04-08T01:00:00.000000000,2024-07-17 00:00:00,3.1,123.63,86.14495
2023-04-08T02:00:00.000000000,2024-07-17 00:00:00,3.1,135.59,80.57294
2023-04-08T03:00:00.000000000,2024-07-17 00:00:00,3.1,166.75,92.25771
2023-04-08T04:00:00.000000000,2024-07-17 00:00:00,3.1,164.4,89.66048
2023-04-08T05:00:00.000000000,2024-07-17 00:00:00,3.1,145.0,88.18166
2023-04-08T06:00:00.000000000,2024-07-17 00:00:00,3.1,139.82,87.26898
2023-04-08T07:00:00.000000000,2024-07-17 00:00:00,3.1,142.07,85.0235
2023-04-08T08:00:00.000000000,2024-07-17 00:00:00,3.1,149.45,85.62448
2023-04-08T09:00:00.000000000,2024-07-17 00:00:00,3.1,139.5,86.27713
2023-04-08T10:00:00.000000000,2024-07-17 00:00:00,3.1,140.68,82.87406
2023-04-08T11:00:00.000000000,2024-07-17 00:00:00,3.1,141.74,85.91507
2023-04-08T12:00:00.000000000,2024-07-17 00:00:00,3.1,144.14,83.39711
2023-04-08T13:00:00.000000000,2024-07-17 00:00:00,3.1,137.43,81.21246
2023-04-08T14:00:00.000000000,2024-07-17 00:00:00,3.1,152.72,80.33532
2023-04-08T15:00:00.000000000,2024-07-17 00:00:00,3.1,140.63,74.98197
2023-04-08T16:00:00.000000000,2024-07-17 00:00:00,3.1,128.67,73.30833
2023-04-08T17:00:00.000000000,2024-07-17 00:00:00,3.1,130.96,75.31951
2023-04-08T18:00:00.000000000,2024-07-17 00:00:00,3.1,136.72,72.14076
2023-04-08T19:00:00.000000000,2024-07-17 00:00:00,3.1,139.34,75.48978
2023-04-08T20:00:00.000000000,2024-07-17 00:00:00,3.1,138.61,73.79755
2023-04-08T21:00:00.000000000,2024-07-17 00:00:00,3.1,127.28,73.68256
2023-04-08T22:00:00.000000000,2024-07-17 00:00:00,3.1,127.41,75.57353
2023-04-08T23:00:00.000000000,2024-07-17 00:00:00,3.1,130.31,73.75473
2023-04-09T00:00:00.000000000,2024-07-17 00:00:00,3.1,128.52,82.74398
2023-04-09T01:00:00.000000000,2024-07-17 00:00:00,3.1,121.82,75.48396
2023-04-09T02:00:00.000000000,2024-07-17 00:00:00,3.1,148.4,71.87893
2023-04-09T03:00:00.000000000,2024-07-17 00:00:00,3.1,144.48,82.03304
2023-04-09T04:00:00.000000000,2024-07-17 00:00:00,3.1,141.43,78.74098
2023-04-09T05:00:00.000000000,2024-07-17 00:00:00,3.1,146.82,80.69125
2023-04-09T06:00:00.000000000,2024-07-17 00:00:00,3.1,139.39,79.73212
2023-04-09T07:00:00.000000000,2024-07-17 00:00:00,3.1,142.72,77.48751
2023-04-09T08:00:00.000000000,2024-07-17 00:00:00,3.1,163.0,77.4649
2023-04-09T09:00:00.000000000,2024-07-17 00:00:00,3.1,170.79,79.22612
2023-04-09T10:00:00.000000000,2024-07-17 00:00:00,3.1,182.81,79.64325
2023-04-09T11:00:00.000000000,2024-07-17 00:00:00,3.1,178.72,78.53478
2023-04-09T12:00:00.000000000,2024-07-17 00:00:00,3.1,174.77,80.73995
2023-04-09T13:00:00.000000000,2024-07-17 00:00:00,3.1,168.28,75.89351
2023-04-09T14:00:00.000000000,2024-07-17 00:00:00,3.1,161.12,77.6575
2023-04-09T15:00:00.000000000,2024-07-17 00:00:00,3.1,149.26,72.32888
2023-04-09T16:00:00.000000000,2024-07-17 00:00:00,3.1,125.76,70.65183
2023-04-09T17:00:00.000000000,2024-07-17 00:00:00,3.1,88.83,71.9089
2023-04-09T18:00:00.000000000,2024-07-17 00:00:00,3.1,90.57,68.10798
2023-04-09T19:00:00.000000000,2024-07-17 00:00:00,3.1,96.82,70.68833
2023-04-09T20:00:00.000000000,2024-07-17 00:00:00,3.1,101.17,70.28056
2023-04-09T21:00:00.000000000,2024-07-17 00:00:00,3.1,102.91,69.49189
2023-04-09T22:00:00.000000000,2024-07-17 00:00:00,3.1,99.77,71.50621
2023-04-09T23:00:00.000000000,2024-07-17 00:00:00,3.1,94.2,70.4714
2023-04-10T00:00:00.000000000,2024-07-17 00:00:00,3.1,90.4,79.8352
2023-04-10T01:00:00.000000000,2024-07-17 00:00:00,3.1,82.4,73.22458
2023-04-10T02:00:00.000000000,2024-07-17 00:00:00,3.1,84.93,69.86759
2023-04-10T03:00:00.000000000,2024-07-17 00:00:00,3.1,88.76,79.50055
2023-04-10T04:00:00.000000000,2024-07-17 00:00:00,3.1,91.37,77.29089
2023-04-10T05:00:00.000000000,2024-07-17 00:00:00,3.1,93.44,76.53838
2023-04-10T06:00:00.000000000,2024-07-17 00:00:00,3.1,106.36,76.28656
2023-04-10T07:00:00.000000000,2024-07-17 00:00:00,3.1,110.94,73.72771
2023-04-10T08:00:00.000000000,2024-07-17 00:00:00,3.1,115.37,75.37019
2023-04-10T09:00:00.000000000,2024-07-17 00:00:00,3.1,116.92,76.28319
2023-04-10T10:00:00.000000000,2024-07-17 00:00:00,3.1,116.12,75.89014
2023-04-10T11:00:00.000000000,2024-07-17 00:00:00,3.1,114.51,79.00051
2023-04-10T12:00:00.000000000,2024-07-17 00:00:00,3.1,98.75,78.3098
2023-04-10T13:00:00.000000000,2024-07-17 00:00:00,3.1,88.75,74.98874
2023-04-10T14:00:00.000000000,2024-07-17 00:00:00,3.1,83.84,75.54662
2023-04-10T15:00:00.000000000,2024-07-17 00:00:00,3.1,56.62,71.11609
2023-04-10T16:00:00.000000000,2024-07-17 00:00:00,3.1,42.97,71.034
2023-04-10T17:00:00.000000000,2024-07-17 00:00:00,3.1,41.94,72.61712
2023-04-10T18:00:00.000000000,2024-07-17 00:00:00,3.1,38.78,68.87687
2023-04-10T19:00:00.000000000,2024-07-17 00:00:00,3.1,38.16,70.83363
2023-04-10T20:00:00.000000000,2024-07-17 00:00:00,3.1,38.36,69.40704
2023-04-10T21:00:00.000000000,2024-07-17 00:00:00,3.1,37.01,69.74279
2023-04-10T22:00:00.000000000,2024-07-17 00:00:00,3.1,36.51,73.03586
2023-04-10T23:00:00.000000000,2024-07-17 00:00:00,3.1,39.86,69.84724
2023-04-11T00:00:00.000000000,2024-07-17 00:00:00,3.1,66.94,74.43644
2023-04-11T01:00:00.000000000,2024-07-17 00:00:00,3.1,63.17,74.73865
2023-04-11T02:00:00.000000000,2024-07-17 00:00:00,3.1,72.58,80.60471
2023-04-11T03:00:00.000000000,2024-07-17 00:00:00,3.1,78.21,77.43405
2023-04-11T04:00:00.000000000,2024-07-17 00:00:00,3.1,80.32,84.04099
2023-04-11T05:00:00.000000000,2024-07-17 00:00:00,3.1,85.3,93.46661
2023-04-11T06:00:00.000000000,2024-07-17 00:00:00,3.1,96.44,90.02786
2023-04-11T07:00:00.000000000,2024-07-17 00:00:00,3.1,135.98,100.50054
2023-04-11T08:00:00.000000000,2024-07-17 00:00:00,3.1,160.41,102.04072
2023-04-11T09:00:00.000000000,2024-07-17 00:00:00,3.1,168.83,106.91445
2023-04-11T10:00:00.000000000,2024-07-17 00:00:00,3.1,147.22,113.88348
2023-04-11T11:00:00.000000000,2024-07-17 00:00:00,3.1,156.53,106.5111
2023-04-11T12:00:00.000000000,2024-07-17 00:00:00,3.1,165.53,111.62505
2023-04-11T13:00:00.000000000,2024-07-17 00:00:00,3.1,153.55,111.18361
2023-04-11T14:00:00.000000000,2024-07-17 00:00:00,3.1,152.96,118.79137
2023-04-11T15:00:00.000000000,2024-07-17 00:00:00,3.1,131.66,115.65564
2023-04-11T16:00:00.000000000,2024-07-17 00:00:00,3.1,121.75,116.70059
2023-04-11T17:00:00.000000000,2024-07-17 00:00:00,3.1,129.8,116.21091
2023-04-11T18:00:00.000000000,2024-07-17 00:00:00,3.1,137.83,118.83988
2023-04-11T19:00:00.000000000,2024-07-17 00:00:00,3.1,135.44,109.86986
2023-04-11T20:00:00.000000000,2024-07-17 00:00:00,3.1,93.99,110.99851
2023-04-11T21:00:00.000000000,2024-07-17 00:00:00,3.1,94.98,109.76814
2023-04-11T22:00:00.000000000,2024-07-17 00:00:00,3.1,91.27,112.8658
2023-04-11T23:00:00.000000000,2024-07-17 00:00:00,3.1,88.04,108.16775
