UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-08-06T00:00:00.000000000,2024-07-17 00:00:00,3.1,268.33,268.98331
2023-08-06T01:00:00.000000000,2024-07-17 00:00:00,3.1,267.87,265.30553
2023-08-06T02:00:00.000000000,2024-07-17 00:00:00,3.1,270.46,263.72572
2023-08-06T03:00:00.000000000,2024-07-17 00:00:00,3.1,265.28,262.15465
2023-08-06T04:00:00.000000000,2024-07-17 00:00:00,3.1,254.77,256.09874
2023-08-06T05:00:00.000000000,2024-07-17 00:00:00,3.1,246.74,253.22345
2023-08-06T06:00:00.000000000,2024-07-17 00:00:00,3.1,234.31,247.87264
2023-08-06T07:00:00.000000000,2024-07-17 00:00:00,3.1,234.37,243.40457
2023-08-06T08:00:00.000000000,2024-07-17 00:00:00,3.1,235.98,239.86952
2023-08-06T09:00:00.000000000,2024-07-17 00:00:00,3.1,229.59,242.93808
2023-08-06T10:00:00.000000000,2024-07-17 00:00:00,3.1,231.56,240.52539
2023-08-06T11:00:00.000000000,2024-07-17 00:00:00,3.1,235.01,240.99249
2023-08-06T12:00:00.000000000,2024-07-17 00:00:00,3.1,242.08,246.97685
2023-08-06T13:00:00.000000000,2024-07-17 00:00:00,3.1,238.78,242.79845
2023-08-06T14:00:00.000000000,2024-07-17 00:00:00,3.1,236.86,252.81986
2023-08-06T15:00:00.000000000,2024-07-17 00:00:00,3.1,230.59,252.68288
2023-08-06T16:00:00.000000000,2024-07-17 00:00:00,3.1,228.55,255.95098
2023-08-06T17:00:00.000000000,2024-07-17 00:00:00,3.1,232.87,259.87517
2023-08-06T18:00:00.000000000,2024-07-17 00:00:00,3.1,236.75,261.31909
2023-08-06T19:00:00.000000000,2024-07-17 00:00:00,3.1,243.22,263.85194
2023-08-06T20:00:00.000000000,2024-07-17 00:00:00,3.1,250.22,264.75428
2023-08-06T21:00:00.000000000,2024-07-17 00:00:00,3.1,251.97,266.66562
2023-08-06T22:00:00.000000000,2024-07-17 00:00:00,3.1,245.36,265.8612
2023-08-06T23:00:00.000000000,2024-07-17 00:00:00,3.1,248.22,266.10117
2023-08-07T00:00:00.000000000,2024-07-17 00:00:00,3.1,253.51,277.06657
2023-08-07T01:00:00.000000000,2024-07-17 00:00:00,3.1,255.64,273.2286
2023-08-07T02:00:00.000000000,2024-07-17 00:00:00,3.1,262.47,269.04148
2023-08-07T03:00:00.000000000,2024-07-17 00:00:00,3.1,259.31,267.32528
2023-08-07T04:00:00.000000000,2024-07-17 00:00:00,3.1,249.5,260.54559
2023-08-07T05:00:00.000000000,2024-07-17 00:00:00,3.1,242.88,258.26603
2023-08-07T06:00:00.000000000,2024-07-17 00:00:00,3.1,241.78,255.00451
2023-08-07T07:00:00.000000000,2024-07-17 00:00:00,3.1,239.43,250.97857
2023-08-07T08:00:00.000000000,2024-07-17 00:00:00,3.1,240.66,249.50197
2023-08-07T09:00:00.000000000,2024-07-17 00:00:00,3.1,242.02,251.68164
2023-08-07T10:00:00.000000000,2024-07-17 00:00:00,3.1,246.27,250.89305
2023-08-07T11:00:00.000000000,2024-07-17 00:00:00,3.1,251.3,253.75343
2023-08-07T12:00:00.000000000,2024-07-17 00:00:00,3.1,260.24,259.10435
2023-08-07T13:00:00.000000000,2024-07-17 00:00:00,3.1,264.55,258.9261
2023-08-07T14:00:00.000000000,2024-07-17 00:00:00,3.1,265.56,267.09524
2023-08-07T15:00:00.000000000,2024-07-17 00:00:00,3.1,263.41,269.68225
2023-08-07T16:00:00.000000000,2024-07-17 00:00:00,3.1,266.16,272.37668
2023-08-07T17:00:00.000000000,2024-07-17 00:00:00,3.1,267.19,277.66389
2023-08-07T18:00:00.000000000,2024-07-17 00:00:00,3.1,269.03,279.33778
2023-08-07T19:00:00.000000000,2024-07-17 00:00:00,3.1,268.81,281.76771
2023-08-07T20:00:00.000000000,2024-07-17 00:00:00,3.1,256.43,281.60084
2023-08-07T21:00:00.000000000,2024-07-17 00:00:00,3.1,250.83,283.05677
2023-08-07T22:00:00.000000000,2024-07-17 00:00:00,3.1,247.42,278.93493
2023-08-07T23:00:00.000000000,2024-07-17 00:00:00,3.1,246.87,277.69774
2023-08-08T00:00:00.000000000,2024-07-17 00:00:00,3.1,258.78,275.82026
2023-08-08T01:00:00.000000000,2024-07-17 00:00:00,3.1,260.83,274.02809
2023-08-08T02:00:00.000000000,2024-07-17 00:00:00,3.1,258.74,268.41827
2023-08-08T03:00:00.000000000,2024-07-17 00:00:00,3.1,255.04,268.20344
2023-08-08T04:00:00.000000000,2024-07-17 00:00:00,3.1,241.31,262.13377
2023-08-08T05:00:00.000000000,2024-07-17 00:00:00,3.1,228.54,257.75941
2023-08-08T06:00:00.000000000,2024-07-17 00:00:00,3.1,221.9,258.06408
2023-08-08T07:00:00.000000000,2024-07-17 00:00:00,3.1,219.88,254.01739
2023-08-08T08:00:00.000000000,2024-07-17 00:00:00,3.1,218.3,250.67652
2023-08-08T09:00:00.000000000,2024-07-17 00:00:00,3.1,218.36,253.9538
2023-08-08T10:00:00.000000000,2024-07-17 00:00:00,3.1,219.49,253.04583
2023-08-08T11:00:00.000000000,2024-07-17 00:00:00,3.1,230.92,254.302
2023-08-08T12:00:00.000000000,2024-07-17 00:00:00,3.1,246.07,256.69701
2023-08-08T13:00:00.000000000,2024-07-17 00:00:00,3.1,250.35,259.42094
2023-08-08T14:00:00.000000000,2024-07-17 00:00:00,3.1,253.08,266.75375
2023-08-08T15:00:00.000000000,2024-07-17 00:00:00,3.1,249.4,267.83429
2023-08-08T16:00:00.000000000,2024-07-17 00:00:00,3.1,251.17,271.65444
2023-08-08T17:00:00.000000000,2024-07-17 00:00:00,3.1,252.03,275.56573
2023-08-08T18:00:00.000000000,2024-07-17 00:00:00,3.1,248.92,275.72725
2023-08-08T19:00:00.000000000,2024-07-17 00:00:00,3.1,247.97,278.20708
2023-08-08T20:00:00.000000000,2024-07-17 00:00:00,3.1,243.03,278.08306
2023-08-08T21:00:00.000000000,2024-07-17 00:00:00,3.1,247.11,279.58192
2023-08-08T22:00:00.000000000,2024-07-17 00:00:00,3.1,246.05,276.74365
2023-08-08T23:00:00.000000000,2024-07-17 00:00:00,3.1,245.19,277.56706
2023-08-09T00:00:00.000000000,2024-07-17 00:00:00,3.1,255.85,269.48767
2023-08-09T01:00:00.000000000,2024-07-17 00:00:00,3.1,255.62,267.58188
2023-08-09T02:00:00.000000000,2024-07-17 00:00:00,3.1,255.22,264.92449
2023-08-09T03:00:00.000000000,2024-07-17 00:00:00,3.1,247.87,263.65617
2023-08-09T04:00:00.000000000,2024-07-17 00:00:00,3.1,236.62,259.14191
2023-08-09T05:00:00.000000000,2024-07-17 00:00:00,3.1,222.13,254.23617
2023-08-09T06:00:00.000000000,2024-07-17 00:00:00,3.1,216.49,252.56864
2023-08-09T07:00:00.000000000,2024-07-17 00:00:00,3.1,216.91,248.52459
2023-08-09T08:00:00.000000000,2024-07-17 00:00:00,3.1,216.32,243.96031
2023-08-09T09:00:00.000000000,2024-07-17 00:00:00,3.1,215.66,247.21244
2023-08-09T10:00:00.000000000,2024-07-17 00:00:00,3.1,216.31,243.68746
2023-08-09T11:00:00.000000000,2024-07-17 00:00:00,3.1,217.07,245.02893
2023-08-09T12:00:00.000000000,2024-07-17 00:00:00,3.1,216.53,248.16266
2023-08-09T13:00:00.000000000,2024-07-17 00:00:00,3.1,217.61,248.28226
2023-08-09T14:00:00.000000000,2024-07-17 00:00:00,3.1,220.24,256.7116
2023-08-09T15:00:00.000000000,2024-07-17 00:00:00,3.1,219.16,256.81893
2023-08-09T16:00:00.000000000,2024-07-17 00:00:00,3.1,216.31,260.82831
2023-08-09T17:00:00.000000000,2024-07-17 00:00:00,3.1,221.54,263.37109
2023-08-09T18:00:00.000000000,2024-07-17 00:00:00,3.1,228.2,263.43164
2023-08-09T19:00:00.000000000,2024-07-17 00:00:00,3.1,238.2,266.48293
2023-08-09T20:00:00.000000000,2024-07-17 00:00:00,3.1,236.06,266.32982
2023-08-09T21:00:00.000000000,2024-07-17 00:00:00,3.1,233.22,269.03921
2023-08-09T22:00:00.000000000,2024-07-17 00:00:00,3.1,234.77,268.11011
2023-08-09T23:00:00.000000000,2024-07-17 00:00:00,3.1,235.94,268.7542
