UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-07-07T02:00:00.000000000,2024-07-17 00:00:00,3.1,369.61,371.86221
2022-07-07T03:00:00.000000000,2024-07-17 00:00:00,3.1,424.23,390.12628
2022-07-07T04:00:00.000000000,2024-07-17 00:00:00,3.1,431.34,408.16088
2022-07-07T05:00:00.000000000,2024-07-17 00:00:00,3.1,438.22,428.41034
2022-07-07T06:00:00.000000000,2024-07-17 00:00:00,3.1,444.08,448.66578
2022-07-07T07:00:00.000000000,2024-07-17 00:00:00,3.1,432.76,464.36028
2022-07-07T08:00:00.000000000,2024-07-17 00:00:00,3.1,439.02,471.8013
2022-07-07T09:00:00.000000000,2024-07-17 00:00:00,3.1,435.25,474.32911
2022-07-07T10:00:00.000000000,2024-07-17 00:00:00,3.1,439.66,478.88494
2022-07-07T11:00:00.000000000,2024-07-17 00:00:00,3.1,446.25,485.63769
2022-07-07T12:00:00.000000000,2024-07-17 00:00:00,3.1,447.68,486.94302
2022-07-07T13:00:00.000000000,2024-07-17 00:00:00,3.1,454.01,472.60247
2022-07-07T14:00:00.000000000,2024-07-17 00:00:00,3.1,426.31,434.98935
2022-07-07T15:00:00.000000000,2024-07-17 00:00:00,3.1,345.53,378.60667
2022-07-07T16:00:00.000000000,2024-07-17 00:00:00,3.1,287.11,322.80296
2022-07-07T17:00:00.000000000,2024-07-17 00:00:00,3.1,262.34,285.33954
2022-07-07T18:00:00.000000000,2024-07-17 00:00:00,3.1,249.05,271.64743
2022-07-07T19:00:00.000000000,2024-07-17 00:00:00,3.1,256.7,272.99342
2022-07-07T20:00:00.000000000,2024-07-17 00:00:00,3.1,259.96,279.10889
2022-07-07T21:00:00.000000000,2024-07-17 00:00:00,3.1,251.96,285.58751
2022-07-07T22:00:00.000000000,2024-07-17 00:00:00,3.1,273.05,294.75392
2022-07-07T23:00:00.000000000,2024-07-17 00:00:00,3.1,288.46,311.30641
2022-07-08T00:00:00.000000000,2024-07-17 00:00:00,3.1,279.35,334.18757
2022-07-08T01:00:00.000000000,2024-07-17 00:00:00,3.1,343.01,358.13048
2022-07-08T02:00:00.000000000,2024-07-17 00:00:00,3.1,401.03,386.36752
2022-07-08T03:00:00.000000000,2024-07-17 00:00:00,3.1,440.56,404.73452
2022-07-08T04:00:00.000000000,2024-07-17 00:00:00,3.1,436.76,423.1502
2022-07-08T05:00:00.000000000,2024-07-17 00:00:00,3.1,480.05,442.8555
2022-07-08T06:00:00.000000000,2024-07-17 00:00:00,3.1,477.97,461.8854
2022-07-08T07:00:00.000000000,2024-07-17 00:00:00,3.1,468.92,476.44214
2022-07-08T08:00:00.000000000,2024-07-17 00:00:00,3.1,453.26,483.42963
2022-07-08T09:00:00.000000000,2024-07-17 00:00:00,3.1,463.51,485.94105
2022-07-08T10:00:00.000000000,2024-07-17 00:00:00,3.1,450.69,490.05042
2022-07-08T11:00:00.000000000,2024-07-17 00:00:00,3.1,449.96,495.87987
2022-07-08T12:00:00.000000000,2024-07-17 00:00:00,3.1,453.27,496.6592
2022-07-08T13:00:00.000000000,2024-07-17 00:00:00,3.1,451.21,483.01856
2022-07-08T14:00:00.000000000,2024-07-17 00:00:00,3.1,420.08,448.13867
2022-07-08T15:00:00.000000000,2024-07-17 00:00:00,3.1,347.79,396.13069
2022-07-08T16:00:00.000000000,2024-07-17 00:00:00,3.1,284.66,343.61052
2022-07-08T17:00:00.000000000,2024-07-17 00:00:00,3.1,258.77,306.37471
2022-07-08T18:00:00.000000000,2024-07-17 00:00:00,3.1,249.23,290.97554
2022-07-08T19:00:00.000000000,2024-07-17 00:00:00,3.1,243.06,291.40539
2022-07-08T20:00:00.000000000,2024-07-17 00:00:00,3.1,264.8,298.18214
2022-07-08T21:00:00.000000000,2024-07-17 00:00:00,3.1,269.98,306.23161
2022-07-08T22:00:00.000000000,2024-07-17 00:00:00,3.1,279.29,316.11653
2022-07-08T23:00:00.000000000,2024-07-17 00:00:00,3.1,296.36,331.25979
2022-07-09T00:00:00.000000000,2024-07-17 00:00:00,3.1,307.22,351.27335
2022-07-09T01:00:00.000000000,2024-07-17 00:00:00,3.1,324.49,372.72679
2022-07-09T02:00:00.000000000,2024-07-17 00:00:00,3.1,374.13,385.06559
2022-07-09T03:00:00.000000000,2024-07-17 00:00:00,3.1,413.5,403.28179
2022-07-09T04:00:00.000000000,2024-07-17 00:00:00,3.1,454.15,420.16432
2022-07-09T05:00:00.000000000,2024-07-17 00:00:00,3.1,480.83,439.70335
2022-07-09T06:00:00.000000000,2024-07-17 00:00:00,3.1,463.47,460.74188
2022-07-09T07:00:00.000000000,2024-07-17 00:00:00,3.1,450.31,478.22222
2022-07-09T08:00:00.000000000,2024-07-17 00:00:00,3.1,453.46,486.35414
2022-07-09T09:00:00.000000000,2024-07-17 00:00:00,3.1,451.51,487.7993
2022-07-09T10:00:00.000000000,2024-07-17 00:00:00,3.1,451.82,490.45771
2022-07-09T11:00:00.000000000,2024-07-17 00:00:00,3.1,452.63,495.32126
2022-07-09T12:00:00.000000000,2024-07-17 00:00:00,3.1,447.93,495.31636
2022-07-09T13:00:00.000000000,2024-07-17 00:00:00,3.1,453.39,481.45369
2022-07-09T14:00:00.000000000,2024-07-17 00:00:00,3.1,427.67,446.07195
2022-07-09T15:00:00.000000000,2024-07-17 00:00:00,3.1,343.13,391.71112
2022-07-09T16:00:00.000000000,2024-07-17 00:00:00,3.1,292.14,334.58515
2022-07-09T17:00:00.000000000,2024-07-17 00:00:00,3.1,258.45,292.97916
2022-07-09T18:00:00.000000000,2024-07-17 00:00:00,3.1,244.84,275.50398
2022-07-09T19:00:00.000000000,2024-07-17 00:00:00,3.1,239.83,275.48843
2022-07-09T20:00:00.000000000,2024-07-17 00:00:00,3.1,243.1,281.74478
2022-07-09T21:00:00.000000000,2024-07-17 00:00:00,3.1,255.96,288.5161
2022-07-09T22:00:00.000000000,2024-07-17 00:00:00,3.1,267.03,297.75171
2022-07-09T23:00:00.000000000,2024-07-17 00:00:00,3.1,278.54,315.16676
2022-07-10T00:00:00.000000000,2024-07-17 00:00:00,3.1,283.26,340.47105
2022-07-10T01:00:00.000000000,2024-07-17 00:00:00,3.1,304.18,367.44789
2022-07-10T02:00:00.000000000,2024-07-17 00:00:00,3.1,364.47,388.24562
2022-07-10T03:00:00.000000000,2024-07-17 00:00:00,3.1,400.78,402.43777
2022-07-10T04:00:00.000000000,2024-07-17 00:00:00,3.1,429.83,415.598
2022-07-10T05:00:00.000000000,2024-07-17 00:00:00,3.1,451.9,431.20032
2022-07-10T06:00:00.000000000,2024-07-17 00:00:00,3.1,432.72,447.60709
2022-07-10T07:00:00.000000000,2024-07-17 00:00:00,3.1,413.37,459.7208
2022-07-10T08:00:00.000000000,2024-07-17 00:00:00,3.1,449.29,464.60641
2022-07-10T09:00:00.000000000,2024-07-17 00:00:00,3.1,462.82,467.77024
2022-07-10T10:00:00.000000000,2024-07-17 00:00:00,3.1,462.75,477.05437
2022-07-10T11:00:00.000000000,2024-07-17 00:00:00,3.1,465.09,490.29752
2022-07-10T12:00:00.000000000,2024-07-17 00:00:00,3.1,474.81,497.01716
2022-07-10T13:00:00.000000000,2024-07-17 00:00:00,3.1,485.73,485.44724
2022-07-10T14:00:00.000000000,2024-07-17 00:00:00,3.1,449.19,449.65824
2022-07-10T15:00:00.000000000,2024-07-17 00:00:00,3.1,339.54,395.67727
2022-07-10T16:00:00.000000000,2024-07-17 00:00:00,3.1,275.71,342.25717
2022-07-10T17:00:00.000000000,2024-07-17 00:00:00,3.1,260.37,306.31666
2022-07-10T18:00:00.000000000,2024-07-17 00:00:00,3.1,252.66,292.90175
2022-07-10T19:00:00.000000000,2024-07-17 00:00:00,3.1,254.5,295.30617
2022-07-10T20:00:00.000000000,2024-07-17 00:00:00,3.1,265.38,303.56134
2022-07-10T21:00:00.000000000,2024-07-17 00:00:00,3.1,283.87,311.96466
2022-07-10T22:00:00.000000000,2024-07-17 00:00:00,3.1,301.23,320.98066
2022-07-10T23:00:00.000000000,2024-07-17 00:00:00,3.1,296.1,334.74071
2022-07-11T00:00:00.000000000,2024-07-17 00:00:00,3.1,313.11,353.612
2022-07-11T01:00:00.000000000,2024-07-17 00:00:00,3.1,331.36,374.31146
