UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-07-27T00:00:00.000000000,2024-07-17 00:00:00,3.1,459.55,449.41098
2022-07-27T01:00:00.000000000,2024-07-17 00:00:00,3.1,466.7,451.41772
2022-07-27T02:00:00.000000000,2024-07-17 00:00:00,3.1,471.61,450.53563
2022-07-27T03:00:00.000000000,2024-07-17 00:00:00,3.1,470.08,449.50289
2022-07-27T04:00:00.000000000,2024-07-17 00:00:00,3.1,467.1,444.78533
2022-07-27T05:00:00.000000000,2024-07-17 00:00:00,3.1,461.46,439.37893
2022-07-27T06:00:00.000000000,2024-07-17 00:00:00,3.1,458.24,433.03819
2022-07-27T07:00:00.000000000,2024-07-17 00:00:00,3.1,451.98,428.29825
2022-07-27T08:00:00.000000000,2024-07-17 00:00:00,3.1,444.59,426.79556
2022-07-27T09:00:00.000000000,2024-07-17 00:00:00,3.1,441.08,432.83625
2022-07-27T10:00:00.000000000,2024-07-17 00:00:00,3.1,438.02,425.25704
2022-07-27T11:00:00.000000000,2024-07-17 00:00:00,3.1,436.58,433.1626
2022-07-27T12:00:00.000000000,2024-07-17 00:00:00,3.1,436.58,438.37122
2022-07-27T13:00:00.000000000,2024-07-17 00:00:00,3.1,446.33,440.22796
2022-07-27T14:00:00.000000000,2024-07-17 00:00:00,3.1,460.83,448.19568
2022-07-27T15:00:00.000000000,2024-07-17 00:00:00,3.1,461.53,455.15195
2022-07-27T16:00:00.000000000,2024-07-17 00:00:00,3.1,453.81,452.19202
2022-07-27T17:00:00.000000000,2024-07-17 00:00:00,3.1,449.97,449.59318
2022-07-27T18:00:00.000000000,2024-07-17 00:00:00,3.1,446.03,445.59307
2022-07-27T19:00:00.000000000,2024-07-17 00:00:00,3.1,439.0,442.78879
2022-07-27T20:00:00.000000000,2024-07-17 00:00:00,3.1,433.85,442.0356
2022-07-27T21:00:00.000000000,2024-07-17 00:00:00,3.1,431.72,440.56699
2022-07-27T22:00:00.000000000,2024-07-17 00:00:00,3.1,430.17,443.55659
2022-07-27T23:00:00.000000000,2024-07-17 00:00:00,3.1,429.92,444.56305
2022-07-28T00:00:00.000000000,2024-07-17 00:00:00,3.1,436.2,443.43686
2022-07-28T01:00:00.000000000,2024-07-17 00:00:00,3.1,445.77,445.08702
2022-07-28T02:00:00.000000000,2024-07-17 00:00:00,3.1,450.43,444.20844
2022-07-28T03:00:00.000000000,2024-07-17 00:00:00,3.1,457.8,442.97472
2022-07-28T04:00:00.000000000,2024-07-17 00:00:00,3.1,458.42,437.31264
2022-07-28T05:00:00.000000000,2024-07-17 00:00:00,3.1,451.15,432.10688
2022-07-28T06:00:00.000000000,2024-07-17 00:00:00,3.1,439.81,426.28167
2022-07-28T07:00:00.000000000,2024-07-17 00:00:00,3.1,435.46,421.95952
2022-07-28T08:00:00.000000000,2024-07-17 00:00:00,3.1,433.75,420.50525
2022-07-28T09:00:00.000000000,2024-07-17 00:00:00,3.1,426.91,426.40231
2022-07-28T10:00:00.000000000,2024-07-17 00:00:00,3.1,430.0,419.39641
2022-07-28T11:00:00.000000000,2024-07-17 00:00:00,3.1,433.28,426.89457
2022-07-28T12:00:00.000000000,2024-07-17 00:00:00,3.1,437.03,433.20296
2022-07-28T13:00:00.000000000,2024-07-17 00:00:00,3.1,440.92,435.72109
2022-07-28T14:00:00.000000000,2024-07-17 00:00:00,3.1,448.62,442.57357
