Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
43416,2023-12-15 00:00:00,2024-07-17 00:00:00,3.1,462.64,1503.0,114.0,59.0,447.0,1.0,488.0
43417,2023-12-15 01:00:00,2024-07-17 00:00:00,3.1,445.81,1497.0,169.0,59.0,444.0,0.0,577.0
43418,2023-12-15 02:00:00,2024-07-17 00:00:00,3.1,437.43,1495.0,189.0,60.0,441.0,0.0,628.0
43419,2023-12-15 03:00:00,2024-07-17 00:00:00,3.1,433.52,1491.0,191.0,61.0,444.0,0.0,647.0
43420,2023-12-15 04:00:00,2024-07-17 00:00:00,3.1,434.65,1491.0,196.0,59.0,441.0,0.0,642.0
43421,2023-12-15 05:00:00,2024-07-17 00:00:00,3.1,434.06,1494.0,189.0,61.0,440.0,0.0,650.0
43422,2023-12-15 06:00:00,2024-07-17 00:00:00,3.1,434.6,1488.0,190.0,59.0,445.0,0.0,637.0
43423,2023-12-15 07:00:00,2024-07-17 00:00:00,3.1,440.17,1489.0,190.0,60.0,441.0,0.0,606.0
43424,2023-12-15 08:00:00,2024-07-17 00:00:00,3.1,433.05,1490.0,194.0,59.0,442.0,0.0,651.0
43425,2023-12-15 09:00:00,2024-07-17 00:00:00,3.1,431.73,1501.0,194.0,60.0,447.0,0.0,663.0
43426,2023-12-15 10:00:00,2024-07-17 00:00:00,3.1,430.99,1504.0,195.0,61.0,441.0,0.0,676.0
43427,2023-12-15 11:00:00,2024-07-17 00:00:00,3.1,445.03,1503.0,198.0,61.0,448.0,0.0,577.0
43428,2023-12-15 12:00:00,2024-07-17 00:00:00,3.1,457.82,1502.0,196.0,60.0,445.0,0.0,502.0
43429,2023-12-15 13:00:00,2024-07-17 00:00:00,3.1,458.76,1510.0,194.0,61.0,450.0,0.0,497.0
43430,2023-12-15 14:00:00,2024-07-17 00:00:00,3.1,450.89,1503.0,197.0,61.0,446.0,0.0,543.0
43431,2023-12-15 15:00:00,2024-07-17 00:00:00,3.1,458.25,1506.0,192.0,59.0,443.0,0.0,505.0
43432,2023-12-15 16:00:00,2024-07-17 00:00:00,3.1,472.72,1504.0,197.0,58.0,443.0,10.0,410.0
43433,2023-12-15 17:00:00,2024-07-17 00:00:00,3.1,493.78,1504.0,177.0,59.0,448.0,48.0,260.0
43434,2023-12-15 18:00:00,2024-07-17 00:00:00,3.1,518.19,1502.0,148.0,58.0,433.0,50.0,163.0
43435,2023-12-15 19:00:00,2024-07-17 00:00:00,3.1,521.92,1505.0,143.0,58.0,413.0,42.0,177.0
43436,2023-12-15 20:00:00,2024-07-17 00:00:00,3.1,513.56,1502.0,141.0,59.0,449.0,40.0,180.0
43437,2023-12-15 21:00:00,2024-07-17 00:00:00,3.1,502.09,1510.0,142.0,59.0,448.0,47.0,232.0
43438,2023-12-15 22:00:00,2024-07-17 00:00:00,3.1,492.44,1506.0,141.0,58.0,450.0,50.0,273.0
43439,2023-12-15 23:00:00,2024-07-17 00:00:00,3.1,504.28,1506.0,148.0,58.0,450.0,15.0,248.0
