UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-01-11T00:00:00.000000000,2024-07-17 00:00:00,3.1,444.91,469.04606
2023-01-11T01:00:00.000000000,2024-07-17 00:00:00,3.1,465.64,471.46606
2023-01-11T02:00:00.000000000,2024-07-17 00:00:00,3.1,487.47,471.97829
2023-01-11T03:00:00.000000000,2024-07-17 00:00:00,3.1,498.0,469.80702
2023-01-11T04:00:00.000000000,2024-07-17 00:00:00,3.1,498.75,465.21862
2023-01-11T05:00:00.000000000,2024-07-17 00:00:00,3.1,499.17,459.32537
2023-01-11T06:00:00.000000000,2024-07-17 00:00:00,3.1,498.08,448.28395
2023-01-11T07:00:00.000000000,2024-07-17 00:00:00,3.1,497.82,440.91268
2023-01-11T08:00:00.000000000,2024-07-17 00:00:00,3.1,501.24,427.88278
2023-01-11T09:00:00.000000000,2024-07-17 00:00:00,3.1,503.92,417.27128
2023-01-11T10:00:00.000000000,2024-07-17 00:00:00,3.1,501.16,405.7627
2023-01-11T11:00:00.000000000,2024-07-17 00:00:00,3.1,499.74,400.49533
2023-01-11T12:00:00.000000000,2024-07-17 00:00:00,3.1,476.25,400.25674
2023-01-11T13:00:00.000000000,2024-07-17 00:00:00,3.1,462.34,404.48456
2023-01-11T14:00:00.000000000,2024-07-17 00:00:00,3.1,471.74,412.11616
2023-01-11T15:00:00.000000000,2024-07-17 00:00:00,3.1,478.93,427.1538
2023-01-11T16:00:00.000000000,2024-07-17 00:00:00,3.1,469.24,442.47036
2023-01-11T17:00:00.000000000,2024-07-17 00:00:00,3.1,484.27,457.7068
2023-01-11T18:00:00.000000000,2024-07-17 00:00:00,3.1,494.69,476.72106
2023-01-11T19:00:00.000000000,2024-07-17 00:00:00,3.1,511.26,497.36368
2023-01-11T20:00:00.000000000,2024-07-17 00:00:00,3.1,521.75,523.46572
2023-01-11T21:00:00.000000000,2024-07-17 00:00:00,3.1,530.4,535.87037
2023-01-11T22:00:00.000000000,2024-07-17 00:00:00,3.1,543.99,546.55424
2023-01-11T23:00:00.000000000,2024-07-17 00:00:00,3.1,554.19,558.33993
2023-01-12T00:00:00.000000000,2024-07-17 00:00:00,3.1,571.27,598.6349
2023-01-12T01:00:00.000000000,2024-07-17 00:00:00,3.1,574.1,597.68246
2023-01-12T02:00:00.000000000,2024-07-17 00:00:00,3.1,564.49,594.58081
