UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-03-12T00:00:00.000000000,2024-07-17 00:00:00,3.1,511.03,479.94813
2023-03-12T01:00:00.000000000,2024-07-17 00:00:00,3.1,521.65,479.69973
2023-03-12T02:00:00.000000000,2024-07-17 00:00:00,3.1,536.05,479.20367
2023-03-12T03:00:00.000000000,2024-07-17 00:00:00,3.1,534.43,479.64697
2023-03-12T04:00:00.000000000,2024-07-17 00:00:00,3.1,538.59,481.03215
2023-03-12T05:00:00.000000000,2024-07-17 00:00:00,3.1,562.41,483.36889
2023-03-12T06:00:00.000000000,2024-07-17 00:00:00,3.1,580.67,485.62665
2023-03-12T07:00:00.000000000,2024-07-17 00:00:00,3.1,620.29,487.46318
2023-03-12T08:00:00.000000000,2024-07-17 00:00:00,3.1,640.22,487.8426
2023-03-12T09:00:00.000000000,2024-07-17 00:00:00,3.1,647.9,487.15514
2023-03-12T10:00:00.000000000,2024-07-17 00:00:00,3.1,652.56,487.04842
2023-03-12T11:00:00.000000000,2024-07-17 00:00:00,3.1,656.96,487.20585
2023-03-12T12:00:00.000000000,2024-07-17 00:00:00,3.1,663.89,488.80938
2023-03-12T13:00:00.000000000,2024-07-17 00:00:00,3.1,667.8,490.9266
2023-03-12T14:00:00.000000000,2024-07-17 00:00:00,3.1,669.02,495.53154
2023-03-12T15:00:00.000000000,2024-07-17 00:00:00,3.1,663.68,501.22742
2023-03-12T16:00:00.000000000,2024-07-17 00:00:00,3.1,648.53,507.94262
2023-03-12T17:00:00.000000000,2024-07-17 00:00:00,3.1,647.67,514.34619
2023-03-12T18:00:00.000000000,2024-07-17 00:00:00,3.1,645.69,520.21952
2023-03-12T19:00:00.000000000,2024-07-17 00:00:00,3.1,644.68,525.22216
2023-03-12T20:00:00.000000000,2024-07-17 00:00:00,3.1,643.67,529.36885
2023-03-12T21:00:00.000000000,2024-07-17 00:00:00,3.1,643.16,530.78595
2023-03-12T22:00:00.000000000,2024-07-17 00:00:00,3.1,638.85,531.7463
2023-03-12T23:00:00.000000000,2024-07-17 00:00:00,3.1,632.36,531.09631
2023-03-13T00:00:00.000000000,2024-07-17 00:00:00,3.1,625.36,489.89755
2023-03-13T01:00:00.000000000,2024-07-17 00:00:00,3.1,621.54,489.61021
2023-03-13T02:00:00.000000000,2024-07-17 00:00:00,3.1,604.97,489.21395
2023-03-13T03:00:00.000000000,2024-07-17 00:00:00,3.1,583.3,489.866
2023-03-13T04:00:00.000000000,2024-07-17 00:00:00,3.1,566.33,491.19599
2023-03-13T05:00:00.000000000,2024-07-17 00:00:00,3.1,563.77,493.91708
2023-03-13T06:00:00.000000000,2024-07-17 00:00:00,3.1,566.92,496.62321
2023-03-13T07:00:00.000000000,2024-07-17 00:00:00,3.1,567.96,499.12885
2023-03-13T08:00:00.000000000,2024-07-17 00:00:00,3.1,562.74,500.42765
2023-03-13T09:00:00.000000000,2024-07-17 00:00:00,3.1,558.39,501.01733
2023-03-13T10:00:00.000000000,2024-07-17 00:00:00,3.1,554.24,502.26642
2023-03-13T11:00:00.000000000,2024-07-17 00:00:00,3.1,553.36,503.76181
2023-03-13T12:00:00.000000000,2024-07-17 00:00:00,3.1,543.65,506.0869
2023-03-13T13:00:00.000000000,2024-07-17 00:00:00,3.1,544.34,509.02785
2023-03-13T14:00:00.000000000,2024-07-17 00:00:00,3.1,541.81,514.29117
2023-03-13T15:00:00.000000000,2024-07-17 00:00:00,3.1,539.15,520.04478
2023-03-13T16:00:00.000000000,2024-07-17 00:00:00,3.1,539.03,526.14155
2023-03-13T17:00:00.000000000,2024-07-17 00:00:00,3.1,540.99,531.789
2023-03-13T18:00:00.000000000,2024-07-17 00:00:00,3.1,547.03,536.76696
2023-03-13T19:00:00.000000000,2024-07-17 00:00:00,3.1,563.08,540.64179
2023-03-13T20:00:00.000000000,2024-07-17 00:00:00,3.1,551.53,543.80319
2023-03-13T21:00:00.000000000,2024-07-17 00:00:00,3.1,543.48,544.34253
2023-03-13T22:00:00.000000000,2024-07-17 00:00:00,3.1,539.92,544.7463
2023-03-13T23:00:00.000000000,2024-07-17 00:00:00,3.1,530.65,543.74495
2023-03-14T00:00:00.000000000,2024-07-17 00:00:00,3.1,521.66,503.57865
2023-03-14T01:00:00.000000000,2024-07-17 00:00:00,3.1,527.32,504.20676
2023-03-14T02:00:00.000000000,2024-07-17 00:00:00,3.1,531.12,504.19955
2023-03-14T03:00:00.000000000,2024-07-17 00:00:00,3.1,531.44,505.31453
2023-03-14T04:00:00.000000000,2024-07-17 00:00:00,3.1,528.38,505.69947
2023-03-14T05:00:00.000000000,2024-07-17 00:00:00,3.1,524.31,507.78314
2023-03-14T06:00:00.000000000,2024-07-17 00:00:00,3.1,526.98,509.904
