UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-07-18T00:00:00.000000000,2024-07-17 00:00:00,3.1,121.69,123.15328
2022-07-18T01:00:00.000000000,2024-07-17 00:00:00,3.1,112.1,119.7318
2022-07-18T02:00:00.000000000,2024-07-17 00:00:00,3.1,114.07,117.79089
2022-07-18T03:00:00.000000000,2024-07-17 00:00:00,3.1,102.72,114.98375
2022-07-18T04:00:00.000000000,2024-07-17 00:00:00,3.1,98.94,111.09781
2022-07-18T05:00:00.000000000,2024-07-17 00:00:00,3.1,97.61,110.51381
2022-07-18T06:00:00.000000000,2024-07-17 00:00:00,3.1,96.16,109.8779
2022-07-18T07:00:00.000000000,2024-07-17 00:00:00,3.1,96.82,109.9896
2022-07-18T08:00:00.000000000,2024-07-17 00:00:00,3.1,99.01,111.04041
2022-07-18T09:00:00.000000000,2024-07-17 00:00:00,3.1,96.83,112.61697
2022-07-18T10:00:00.000000000,2024-07-17 00:00:00,3.1,97.92,114.55945
2022-07-18T11:00:00.000000000,2024-07-17 00:00:00,3.1,110.25,116.45669
2022-07-18T12:00:00.000000000,2024-07-17 00:00:00,3.1,113.0,117.9685
2022-07-18T13:00:00.000000000,2024-07-17 00:00:00,3.1,100.38,117.85086
2022-07-18T14:00:00.000000000,2024-07-17 00:00:00,3.1,103.38,117.00454
2022-07-18T15:00:00.000000000,2024-07-17 00:00:00,3.1,105.75,116.63143
2022-07-18T16:00:00.000000000,2024-07-17 00:00:00,3.1,108.72,115.94907
2022-07-18T17:00:00.000000000,2024-07-17 00:00:00,3.1,112.08,116.35995
2022-07-18T18:00:00.000000000,2024-07-17 00:00:00,3.1,117.82,116.81532
2022-07-18T19:00:00.000000000,2024-07-17 00:00:00,3.1,117.4,116.89016
2022-07-18T20:00:00.000000000,2024-07-17 00:00:00,3.1,92.63,118.42375
2022-07-18T21:00:00.000000000,2024-07-17 00:00:00,3.1,93.45,119.87946
2022-07-18T22:00:00.000000000,2024-07-17 00:00:00,3.1,105.53,118.24805
