Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
37200,2023-03-31 00:00:00,2024-07-17 00:00:00,3.1,313.94,1685.0,1075.0,55.0,456.0,2184.0,131.0
37201,2023-03-31 01:00:00,2024-07-17 00:00:00,3.1,355.07,1928.0,1488.0,54.0,384.0,1905.0,132.0
37202,2023-03-31 02:00:00,2024-07-17 00:00:00,3.1,405.47,2078.0,1700.0,56.0,81.0,1586.0,131.0
37203,2023-03-31 03:00:00,2024-07-17 00:00:00,3.1,416.87,2172.0,1756.0,57.0,0.0,1583.0,131.0
37204,2023-03-31 04:00:00,2024-07-17 00:00:00,3.1,413.74,2233.0,1771.0,55.0,0.0,1678.0,132.0
37205,2023-03-31 05:00:00,2024-07-17 00:00:00,3.1,415.66,2187.0,1642.0,58.0,0.0,1624.0,132.0
37206,2023-03-31 06:00:00,2024-07-17 00:00:00,3.1,424.88,2212.0,1623.0,59.0,0.0,1522.0,130.0
37207,2023-03-31 07:00:00,2024-07-17 00:00:00,3.1,427.47,2311.0,1576.0,59.0,0.0,1572.0,131.0
37208,2023-03-31 08:00:00,2024-07-17 00:00:00,3.1,421.11,2316.0,1571.0,59.0,0.0,1662.0,131.0
37209,2023-03-31 09:00:00,2024-07-17 00:00:00,3.1,418.98,2355.0,1499.0,59.0,0.0,1731.0,130.0
37210,2023-03-31 10:00:00,2024-07-17 00:00:00,3.1,420.04,2352.0,1353.0,63.0,0.0,1727.0,129.0
37211,2023-03-31 11:00:00,2024-07-17 00:00:00,3.1,415.83,2340.0,1440.0,60.0,0.0,1767.0,128.0
37212,2023-03-31 12:00:00,2024-07-17 00:00:00,3.1,410.29,2370.0,1557.0,59.0,0.0,1860.0,129.0
37213,2023-03-31 13:00:00,2024-07-17 00:00:00,3.1,412.7,2383.0,1644.0,59.0,0.0,1827.0,129.0
37214,2023-03-31 14:00:00,2024-07-17 00:00:00,3.1,404.24,2332.0,1745.0,56.0,78.0,1825.0,129.0
37215,2023-03-31 15:00:00,2024-07-17 00:00:00,3.1,356.84,2255.0,1651.0,56.0,807.0,1825.0,130.0
37216,2023-03-31 16:00:00,2024-07-17 00:00:00,3.1,312.82,2146.0,1415.0,58.0,1357.0,2022.0,132.0
37217,2023-03-31 17:00:00,2024-07-17 00:00:00,3.1,291.15,2045.0,913.0,55.0,1479.0,2135.0,132.0
37218,2023-03-31 18:00:00,2024-07-17 00:00:00,3.1,265.57,1739.0,857.0,58.0,1422.0,2252.0,135.0
37219,2023-03-31 19:00:00,2024-07-17 00:00:00,3.1,261.24,1598.0,874.0,57.0,1317.0,2203.0,135.0
37220,2023-03-31 20:00:00,2024-07-17 00:00:00,3.1,252.41,1483.0,876.0,57.0,1269.0,2237.0,135.0
37221,2023-03-31 21:00:00,2024-07-17 00:00:00,3.1,251.07,1439.0,863.0,58.0,1248.0,2194.0,135.0
37222,2023-03-31 22:00:00,2024-07-17 00:00:00,3.1,246.13,1370.0,853.0,56.0,1273.0,2137.0,132.0
37223,2023-03-31 23:00:00,2024-07-17 00:00:00,3.1,251.74,1398.0,852.0,59.0,1246.0,2086.0,131.0
