UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2022-11-03T00:00:00.000000000,2024-07-17 00:00:00,3.1,421.65,448.42081
2022-11-03T01:00:00.000000000,2024-07-17 00:00:00,3.1,449.19,470.81138
2022-11-03T02:00:00.000000000,2024-07-17 00:00:00,3.1,501.32,482.30644
2022-11-03T03:00:00.000000000,2024-07-17 00:00:00,3.1,532.3,495.75678
2022-11-03T04:00:00.000000000,2024-07-17 00:00:00,3.1,549.9,501.79518
2022-11-03T05:00:00.000000000,2024-07-17 00:00:00,3.1,549.05,499.91463
2022-11-03T06:00:00.000000000,2024-07-17 00:00:00,3.1,532.35,498.87335
2022-11-03T07:00:00.000000000,2024-07-17 00:00:00,3.1,523.42,499.07387
2022-11-03T08:00:00.000000000,2024-07-17 00:00:00,3.1,533.92,492.94673
2022-11-03T09:00:00.000000000,2024-07-17 00:00:00,3.1,539.3,492.38347
2022-11-03T10:00:00.000000000,2024-07-17 00:00:00,3.1,530.88,489.88693
2022-11-03T11:00:00.000000000,2024-07-17 00:00:00,3.1,558.63,486.4152
2022-11-03T12:00:00.000000000,2024-07-17 00:00:00,3.1,572.39,498.1219
2022-11-03T13:00:00.000000000,2024-07-17 00:00:00,3.1,578.74,492.364
2022-11-03T14:00:00.000000000,2024-07-17 00:00:00,3.1,579.45,472.40506
2022-11-03T15:00:00.000000000,2024-07-17 00:00:00,3.1,550.96,456.47367
2022-11-03T16:00:00.000000000,2024-07-17 00:00:00,3.1,512.58,443.38307
2022-11-03T17:00:00.000000000,2024-07-17 00:00:00,3.1,491.16,424.0684
2022-11-03T18:00:00.000000000,2024-07-17 00:00:00,3.1,466.01,412.18072
2022-11-03T19:00:00.000000000,2024-07-17 00:00:00,3.1,433.79,406.10546
2022-11-03T20:00:00.000000000,2024-07-17 00:00:00,3.1,436.15,400.41103
2022-11-03T21:00:00.000000000,2024-07-17 00:00:00,3.1,463.63,403.36881
2022-11-03T22:00:00.000000000,2024-07-17 00:00:00,3.1,479.3,418.86145
2022-11-03T23:00:00.000000000,2024-07-17 00:00:00,3.1,529.2,436.82954
2022-11-04T00:00:00.000000000,2024-07-17 00:00:00,3.1,542.7,468.71011
2022-11-04T01:00:00.000000000,2024-07-17 00:00:00,3.1,554.42,493.6883
2022-11-04T02:00:00.000000000,2024-07-17 00:00:00,3.1,560.98,507.43114
2022-11-04T03:00:00.000000000,2024-07-17 00:00:00,3.1,564.24,519.78958
2022-11-04T04:00:00.000000000,2024-07-17 00:00:00,3.1,563.09,528.81853
2022-11-04T05:00:00.000000000,2024-07-17 00:00:00,3.1,539.94,525.33358
2022-11-04T06:00:00.000000000,2024-07-17 00:00:00,3.1,526.46,520.90162
2022-11-04T07:00:00.000000000,2024-07-17 00:00:00,3.1,532.38,524.48358
2022-11-04T08:00:00.000000000,2024-07-17 00:00:00,3.1,520.24,518.51406
2022-11-04T09:00:00.000000000,2024-07-17 00:00:00,3.1,516.43,520.05721
2022-11-04T10:00:00.000000000,2024-07-17 00:00:00,3.1,515.93,521.46583
2022-11-04T11:00:00.000000000,2024-07-17 00:00:00,3.1,494.35,517.55742
2022-11-04T12:00:00.000000000,2024-07-17 00:00:00,3.1,466.92,529.57889
2022-11-04T13:00:00.000000000,2024-07-17 00:00:00,3.1,455.54,525.00489
2022-11-04T14:00:00.000000000,2024-07-17 00:00:00,3.1,442.07,502.02097
2022-11-04T15:00:00.000000000,2024-07-17 00:00:00,3.1,402.26,483.53966
2022-11-04T16:00:00.000000000,2024-07-17 00:00:00,3.1,338.59,467.23975
2022-11-04T17:00:00.000000000,2024-07-17 00:00:00,3.1,306.6,445.7248
2022-11-04T18:00:00.000000000,2024-07-17 00:00:00,3.1,295.0,429.30519
2022-11-04T19:00:00.000000000,2024-07-17 00:00:00,3.1,291.85,423.81242
2022-11-04T20:00:00.000000000,2024-07-17 00:00:00,3.1,292.91,413.40354
2022-11-04T21:00:00.000000000,2024-07-17 00:00:00,3.1,282.13,416.68208
2022-11-04T22:00:00.000000000,2024-07-17 00:00:00,3.1,278.63,429.58092
2022-11-04T23:00:00.000000000,2024-07-17 00:00:00,3.1,301.92,449.13515
2022-11-05T00:00:00.000000000,2024-07-17 00:00:00,3.1,354.66,457.72581
