UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-07-26T00:00:00.000000000,2024-07-17 00:00:00,3.1,495.84,501.53638
2023-07-26T01:00:00.000000000,2024-07-17 00:00:00,3.1,527.09,520.94834
2023-07-26T02:00:00.000000000,2024-07-17 00:00:00,3.1,579.07,543.21742
2023-07-26T03:00:00.000000000,2024-07-17 00:00:00,3.1,622.8,561.2754
2023-07-26T04:00:00.000000000,2024-07-17 00:00:00,3.1,651.43,577.63948
2023-07-26T05:00:00.000000000,2024-07-17 00:00:00,3.1,659.94,586.09143
2023-07-26T06:00:00.000000000,2024-07-17 00:00:00,3.1,642.11,595.11538
2023-07-26T07:00:00.000000000,2024-07-17 00:00:00,3.1,615.49,594.91826
2023-07-26T08:00:00.000000000,2024-07-17 00:00:00,3.1,603.48,603.04185
2023-07-26T09:00:00.000000000,2024-07-17 00:00:00,3.1,593.23,602.90807
2023-07-26T10:00:00.000000000,2024-07-17 00:00:00,3.1,585.99,604.48685
2023-07-26T11:00:00.000000000,2024-07-17 00:00:00,3.1,582.99,595.40729
2023-07-26T12:00:00.000000000,2024-07-17 00:00:00,3.1,585.99,580.47422
2023-07-26T13:00:00.000000000,2024-07-17 00:00:00,3.1,594.09,566.51421
2023-07-26T14:00:00.000000000,2024-07-17 00:00:00,3.1,528.01,545.88316
2023-07-26T15:00:00.000000000,2024-07-17 00:00:00,3.1,484.84,517.88112
2023-07-26T16:00:00.000000000,2024-07-17 00:00:00,3.1,471.39,496.90472
2023-07-26T17:00:00.000000000,2024-07-17 00:00:00,3.1,471.89,472.39311
2023-07-26T18:00:00.000000000,2024-07-17 00:00:00,3.1,487.84,456.09227
2023-07-26T19:00:00.000000000,2024-07-17 00:00:00,3.1,529.85,447.30112
2023-07-26T20:00:00.000000000,2024-07-17 00:00:00,3.1,524.65,446.20735
2023-07-26T21:00:00.000000000,2024-07-17 00:00:00,3.1,547.17,458.35523
2023-07-26T22:00:00.000000000,2024-07-17 00:00:00,3.1,559.57,474.90355
2023-07-26T23:00:00.000000000,2024-07-17 00:00:00,3.1,553.7,490.07747
2023-07-27T00:00:00.000000000,2024-07-17 00:00:00,3.1,512.31,506.26388
2023-07-27T01:00:00.000000000,2024-07-17 00:00:00,3.1,523.46,528.22444
2023-07-27T02:00:00.000000000,2024-07-17 00:00:00,3.1,590.54,549.43707
2023-07-27T03:00:00.000000000,2024-07-17 00:00:00,3.1,640.21,566.39281
2023-07-27T04:00:00.000000000,2024-07-17 00:00:00,3.1,625.4,582.51213
2023-07-27T05:00:00.000000000,2024-07-17 00:00:00,3.1,631.62,587.38422
2023-07-27T06:00:00.000000000,2024-07-17 00:00:00,3.1,598.41,595.43052
2023-07-27T07:00:00.000000000,2024-07-17 00:00:00,3.1,608.05,595.87929
2023-07-27T08:00:00.000000000,2024-07-17 00:00:00,3.1,610.85,600.67097
2023-07-27T09:00:00.000000000,2024-07-17 00:00:00,3.1,586.21,601.18973
2023-07-27T10:00:00.000000000,2024-07-17 00:00:00,3.1,585.34,603.63757
2023-07-27T11:00:00.000000000,2024-07-17 00:00:00,3.1,598.69,594.74908
2023-07-27T12:00:00.000000000,2024-07-17 00:00:00,3.1,608.22,579.37828
2023-07-27T13:00:00.000000000,2024-07-17 00:00:00,3.1,622.21,565.23433
2023-07-27T14:00:00.000000000,2024-07-17 00:00:00,3.1,585.92,542.08854
2023-07-27T15:00:00.000000000,2024-07-17 00:00:00,3.1,532.68,516.9801
2023-07-27T16:00:00.000000000,2024-07-17 00:00:00,3.1,504.97,495.94742
2023-07-27T17:00:00.000000000,2024-07-17 00:00:00,3.1,489.26,470.21739
2023-07-27T18:00:00.000000000,2024-07-17 00:00:00,3.1,442.71,452.76349
2023-07-27T19:00:00.000000000,2024-07-17 00:00:00,3.1,438.16,442.55851
2023-07-27T20:00:00.000000000,2024-07-17 00:00:00,3.1,438.1,440.15422
2023-07-27T21:00:00.000000000,2024-07-17 00:00:00,3.1,424.62,449.16731
2023-07-27T22:00:00.000000000,2024-07-17 00:00:00,3.1,427.27,464.62452
2023-07-27T23:00:00.000000000,2024-07-17 00:00:00,3.1,479.49,480.06713
2023-07-28T00:00:00.000000000,2024-07-17 00:00:00,3.1,553.58,506.49129
2023-07-28T01:00:00.000000000,2024-07-17 00:00:00,3.1,566.65,523.57903
2023-07-28T02:00:00.000000000,2024-07-17 00:00:00,3.1,588.13,542.75634
2023-07-28T03:00:00.000000000,2024-07-17 00:00:00,3.1,612.72,559.33825
2023-07-28T04:00:00.000000000,2024-07-17 00:00:00,3.1,636.26,574.32292
2023-07-28T05:00:00.000000000,2024-07-17 00:00:00,3.1,626.43,582.39265
2023-07-28T06:00:00.000000000,2024-07-17 00:00:00,3.1,620.37,592.45024
2023-07-28T07:00:00.000000000,2024-07-17 00:00:00,3.1,638.47,593.97607
2023-07-28T08:00:00.000000000,2024-07-17 00:00:00,3.1,635.17,602.77492
2023-07-28T09:00:00.000000000,2024-07-17 00:00:00,3.1,640.82,604.32128
2023-07-28T10:00:00.000000000,2024-07-17 00:00:00,3.1,675.44,607.24919
2023-07-28T11:00:00.000000000,2024-07-17 00:00:00,3.1,671.98,600.33282
2023-07-28T12:00:00.000000000,2024-07-17 00:00:00,3.1,687.2,586.58603
2023-07-28T13:00:00.000000000,2024-07-17 00:00:00,3.1,669.93,573.56345
2023-07-28T14:00:00.000000000,2024-07-17 00:00:00,3.1,607.66,553.29275
2023-07-28T15:00:00.000000000,2024-07-17 00:00:00,3.1,562.92,529.35958
2023-07-28T16:00:00.000000000,2024-07-17 00:00:00,3.1,561.28,509.21694
2023-07-28T17:00:00.000000000,2024-07-17 00:00:00,3.1,562.71,486.71621
2023-07-28T18:00:00.000000000,2024-07-17 00:00:00,3.1,561.18,471.47198
2023-07-28T19:00:00.000000000,2024-07-17 00:00:00,3.1,560.94,461.98464
2023-07-28T20:00:00.000000000,2024-07-17 00:00:00,3.1,563.97,460.51573
2023-07-28T21:00:00.000000000,2024-07-17 00:00:00,3.1,566.17,469.90758
2023-07-28T22:00:00.000000000,2024-07-17 00:00:00,3.1,578.13,483.82663
2023-07-28T23:00:00.000000000,2024-07-17 00:00:00,3.1,588.18,496.9385
2023-07-29T00:00:00.000000000,2024-07-17 00:00:00,3.1,592.23,521.29254
2023-07-29T01:00:00.000000000,2024-07-17 00:00:00,3.1,566.5,538.03895
2023-07-29T02:00:00.000000000,2024-07-17 00:00:00,3.1,561.96,556.09076
2023-07-29T03:00:00.000000000,2024-07-17 00:00:00,3.1,603.11,569.76974
2023-07-29T04:00:00.000000000,2024-07-17 00:00:00,3.1,621.79,584.07377
2023-07-29T05:00:00.000000000,2024-07-17 00:00:00,3.1,638.88,590.61107
2023-07-29T06:00:00.000000000,2024-07-17 00:00:00,3.1,626.4,599.81182
2023-07-29T07:00:00.000000000,2024-07-17 00:00:00,3.1,636.35,601.25444
2023-07-29T08:00:00.000000000,2024-07-17 00:00:00,3.1,633.45,608.54215
2023-07-29T09:00:00.000000000,2024-07-17 00:00:00,3.1,631.5,609.8208
2023-07-29T10:00:00.000000000,2024-07-17 00:00:00,3.1,633.78,611.43823
2023-07-29T11:00:00.000000000,2024-07-17 00:00:00,3.1,638.6,605.54477
2023-07-29T12:00:00.000000000,2024-07-17 00:00:00,3.1,640.94,591.69144
2023-07-29T13:00:00.000000000,2024-07-17 00:00:00,3.1,631.17,579.05094
2023-07-29T14:00:00.000000000,2024-07-17 00:00:00,3.1,593.24,557.28037
2023-07-29T15:00:00.000000000,2024-07-17 00:00:00,3.1,549.78,535.92692
2023-07-29T16:00:00.000000000,2024-07-17 00:00:00,3.1,528.21,516.09556
2023-07-29T17:00:00.000000000,2024-07-17 00:00:00,3.1,551.82,494.55181
2023-07-29T18:00:00.000000000,2024-07-17 00:00:00,3.1,564.55,479.69593
2023-07-29T19:00:00.000000000,2024-07-17 00:00:00,3.1,572.09,471.43103
2023-07-29T20:00:00.000000000,2024-07-17 00:00:00,3.1,573.54,471.1111
2023-07-29T21:00:00.000000000,2024-07-17 00:00:00,3.1,587.08,481.481
2023-07-29T22:00:00.000000000,2024-07-17 00:00:00,3.1,603.64,495.07635
2023-07-29T23:00:00.000000000,2024-07-17 00:00:00,3.1,625.8,507.80212
