Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind
41184,2023-09-13 00:00:00,2024-07-17 00:00:00,3.1,334.14,1353.0,2205.0,0.0,28.0,301.0,1632.0
41185,2023-09-13 01:00:00,2024-07-17 00:00:00,3.1,323.5,1338.0,2161.0,0.0,61.0,155.0,1900.0
41186,2023-09-13 02:00:00,2024-07-17 00:00:00,3.1,283.73,1178.0,1827.0,0.0,62.0,87.0,2384.0
41187,2023-09-13 03:00:00,2024-07-17 00:00:00,3.1,257.2,1133.0,1487.0,0.0,60.0,43.0,2764.0
41188,2023-09-13 04:00:00,2024-07-17 00:00:00,3.1,240.14,936.0,1392.0,0.0,60.0,40.0,2679.0
41189,2023-09-13 05:00:00,2024-07-17 00:00:00,3.1,233.14,796.0,1283.0,0.0,10.0,0.0,2542.0
41190,2023-09-13 06:00:00,2024-07-17 00:00:00,3.1,251.11,871.0,1305.0,0.0,11.0,0.0,2372.0
41191,2023-09-13 07:00:00,2024-07-17 00:00:00,3.1,263.44,889.0,1222.0,0.0,12.0,0.0,2158.0
41192,2023-09-13 08:00:00,2024-07-17 00:00:00,3.1,281.89,895.0,1286.0,0.0,11.0,0.0,1909.0
41193,2023-09-13 09:00:00,2024-07-17 00:00:00,3.1,305.9,898.0,1341.0,0.0,11.0,0.0,1603.0
41194,2023-09-13 10:00:00,2024-07-17 00:00:00,3.1,334.92,896.0,1621.0,0.0,11.0,0.0,1296.0
41195,2023-09-13 11:00:00,2024-07-17 00:00:00,3.1,380.52,963.0,1714.0,0.0,11.0,0.0,902.0
41196,2023-09-13 12:00:00,2024-07-17 00:00:00,3.1,432.47,1340.0,1785.0,0.0,11.0,44.0,702.0
41197,2023-09-13 13:00:00,2024-07-17 00:00:00,3.1,437.49,1494.0,1863.0,0.0,101.0,142.0,571.0
41198,2023-09-13 14:00:00,2024-07-17 00:00:00,3.1,440.97,1503.0,1910.0,0.0,131.0,175.0,474.0
41199,2023-09-13 15:00:00,2024-07-17 00:00:00,3.1,433.7,1488.0,1828.0,0.0,131.0,368.0,352.0
41200,2023-09-13 16:00:00,2024-07-17 00:00:00,3.1,404.43,1432.0,1762.0,0.0,53.0,676.0,380.0
41201,2023-09-13 17:00:00,2024-07-17 00:00:00,3.1,347.43,1310.0,1622.0,0.0,11.0,1215.0,435.0
41202,2023-09-13 18:00:00,2024-07-17 00:00:00,3.1,298.02,1210.0,1595.0,0.0,10.0,1658.0,593.0
41203,2023-09-13 19:00:00,2024-07-17 00:00:00,3.1,285.2,1190.0,1765.0,0.0,11.0,1909.0,586.0
41204,2023-09-13 20:00:00,2024-07-17 00:00:00,3.1,319.42,1385.0,1968.0,0.0,11.0,1636.0,575.0
41205,2023-09-13 21:00:00,2024-07-17 00:00:00,3.1,346.84,1654.0,2018.0,0.0,12.0,1482.0,611.0
41206,2023-09-13 22:00:00,2024-07-17 00:00:00,3.1,361.13,1762.0,2071.0,0.0,11.0,1218.0,768.0
41207,2023-09-13 23:00:00,2024-07-17 00:00:00,3.1,380.5,1930.0,2028.0,0.0,12.0,875.0,982.0
