UTC time,coal,nat_gas,nuclear,hydro,solar,other
2023-10-17 00:00:00,346.0,1371.0,991.0,83.0,0.0,1.0
2023-10-17 01:00:00,344.0,1351.0,990.0,44.0,0.0,1.0
2023-10-17 02:00:00,272.0,1369.0,990.0,13.0,0.0,9.0
2023-10-17 03:00:00,205.0,1316.0,989.0,12.0,0.0,4.0
2023-10-17 04:00:00,192.0,1212.0,989.0,13.0,0.0,5.0
2023-10-17 05:00:00,193.0,1074.0,992.0,12.0,0.0,10.0
2023-10-17 06:00:00,192.0,979.0,990.0,9.0,0.0,12.0
2023-10-17 07:00:00,193.0,956.0,989.0,8.0,0.0,4.0
2023-10-17 08:00:00,192.0,970.0,991.0,10.0,0.0,8.0
2023-10-17 09:00:00,192.0,969.0,990.0,8.0,0.0,11.0
2023-10-17 10:00:00,193.0,1107.0,990.0,8.0,0.0,11.0
2023-10-17 11:00:00,191.0,1249.0,991.0,109.0,0.0,7.0
2023-10-17 12:00:00,190.0,1343.0,989.0,268.0,9.0,5.0
2023-10-17 13:00:00,191.0,1211.0,990.0,98.0,279.0,1.0
2023-10-17 14:00:00,191.0,950.0,991.0,12.0,700.0,0.0
2023-10-17 15:00:00,192.0,975.0,991.0,9.0,779.0,1.0
2023-10-17 16:00:00,190.0,901.0,990.0,10.0,784.0,4.0
2023-10-17 17:00:00,191.0,889.0,990.0,10.0,776.0,4.0
2023-10-17 18:00:00,191.0,916.0,990.0,7.0,739.0,0.0
2023-10-17 19:00:00,195.0,946.0,991.0,8.0,710.0,0.0
2023-10-17 20:00:00,190.0,1025.0,992.0,8.0,690.0,0.0
2023-10-17 21:00:00,193.0,1086.0,992.0,5.0,578.0,0.0
2023-10-17 22:00:00,193.0,1213.0,991.0,19.0,330.0,0.0
2023-10-17 23:00:00,192.0,1373.0,991.0,205.0,37.0,0.0
