Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
43056,2023-11-30 00:00:00,2024-07-17 00:00:00,3.1,354.06,309.0,1641.0,992.0,84.0,0.0,0.0
43057,2023-11-30 01:00:00,2024-07-17 00:00:00,3.1,360.13,316.0,1765.0,989.0,90.0,0.0,0.0
43058,2023-11-30 02:00:00,2024-07-17 00:00:00,3.1,352.35,326.0,1696.0,992.0,147.0,0.0,0.0
43059,2023-11-30 03:00:00,2024-07-17 00:00:00,3.1,358.16,336.0,1691.0,991.0,105.0,0.0,0.0
43060,2023-11-30 04:00:00,2024-07-17 00:00:00,3.1,363.56,332.0,1624.0,990.0,26.0,0.0,0.0
43061,2023-11-30 05:00:00,2024-07-17 00:00:00,3.1,366.25,355.0,1560.0,991.0,9.0,0.0,0.0
43062,2023-11-30 06:00:00,2024-07-17 00:00:00,3.1,368.66,365.0,1578.0,991.0,8.0,0.0,0.0
43063,2023-11-30 07:00:00,2024-07-17 00:00:00,3.1,378.88,428.0,1592.0,990.0,7.0,0.0,0.0
43064,2023-11-30 08:00:00,2024-07-17 00:00:00,3.1,380.98,446.0,1591.0,992.0,9.0,0.0,0.0
43065,2023-11-30 09:00:00,2024-07-17 00:00:00,3.1,383.7,447.0,1654.0,990.0,8.0,0.0,0.0
43066,2023-11-30 10:00:00,2024-07-17 00:00:00,3.1,389.75,491.0,1656.0,991.0,8.0,0.0,0.0
43067,2023-11-30 11:00:00,2024-07-17 00:00:00,3.1,390.11,541.0,1760.0,991.0,92.0,0.0,0.0
43068,2023-11-30 12:00:00,2024-07-17 00:00:00,3.1,374.55,542.0,1853.0,992.0,273.0,0.0,0.0
43069,2023-11-30 13:00:00,2024-07-17 00:00:00,3.1,363.67,534.0,1935.0,992.0,365.0,48.0,0.0
43070,2023-11-30 14:00:00,2024-07-17 00:00:00,3.1,332.95,536.0,1622.0,989.0,315.0,351.0,0.0
43071,2023-11-30 15:00:00,2024-07-17 00:00:00,3.1,315.32,484.0,1360.0,991.0,44.0,623.0,0.0
43072,2023-11-30 16:00:00,2024-07-17 00:00:00,3.1,295.93,361.0,1310.0,993.0,7.0,636.0,0.0
43073,2023-11-30 17:00:00,2024-07-17 00:00:00,3.1,295.25,348.0,1293.0,989.0,7.0,609.0,0.0
43074,2023-11-30 18:00:00,2024-07-17 00:00:00,3.1,291.12,268.0,1372.0,991.0,8.0,552.0,0.0
43075,2023-11-30 19:00:00,2024-07-17 00:00:00,3.1,308.95,189.0,1666.0,993.0,7.0,384.0,0.0
43076,2023-11-30 20:00:00,2024-07-17 00:00:00,3.1,318.92,191.0,1685.0,990.0,7.0,285.0,0.0
43077,2023-11-30 21:00:00,2024-07-17 00:00:00,3.1,325.05,190.0,1692.0,991.0,8.0,216.0,0.0
43078,2023-11-30 22:00:00,2024-07-17 00:00:00,3.1,341.93,190.0,1728.0,991.0,6.0,60.0,0.0
43079,2023-11-30 23:00:00,2024-07-17 00:00:00,3.1,336.38,191.0,1721.0,992.0,111.0,1.0,0.0
