UTC time,creation_time (UTC),version,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-06-29T00:00:00.000000000,2024-07-17 00:00:00,3.1,215.71,206.0452
2023-06-29T01:00:00.000000000,2024-07-17 00:00:00,3.1,217.79,206.96414
2023-06-29T02:00:00.000000000,2024-07-17 00:00:00,3.1,217.27,205.2571
2023-06-29T03:00:00.000000000,2024-07-17 00:00:00,3.1,208.87,200.72075
2023-06-29T04:00:00.000000000,2024-07-17 00:00:00,3.1,204.31,194.15581
2023-06-29T05:00:00.000000000,2024-07-17 00:00:00,3.1,204.94,187.73354
2023-06-29T06:00:00.000000000,2024-07-17 00:00:00,3.1,213.93,181.95651
2023-06-29T07:00:00.000000000,2024-07-17 00:00:00,3.1,222.0,178.36958
2023-06-29T08:00:00.000000000,2024-07-17 00:00:00,3.1,232.52,177.14312
2023-06-29T09:00:00.000000000,2024-07-17 00:00:00,3.1,239.9,176.8289
2023-06-29T10:00:00.000000000,2024-07-17 00:00:00,3.1,241.95,176.18424
2023-06-29T11:00:00.000000000,2024-07-17 00:00:00,3.1,244.07,174.72751
2023-06-29T12:00:00.000000000,2024-07-17 00:00:00,3.1,240.77,173.08188
2023-06-29T13:00:00.000000000,2024-07-17 00:00:00,3.1,234.53,171.0078
2023-06-29T14:00:00.000000000,2024-07-17 00:00:00,3.1,224.53,170.0847
2023-06-29T15:00:00.000000000,2024-07-17 00:00:00,3.1,210.24,170.10942
2023-06-29T16:00:00.000000000,2024-07-17 00:00:00,3.1,194.42,171.27088
2023-06-29T17:00:00.000000000,2024-07-17 00:00:00,3.1,190.46,173.46362
2023-06-29T18:00:00.000000000,2024-07-17 00:00:00,3.1,190.37,176.88608
2023-06-29T19:00:00.000000000,2024-07-17 00:00:00,3.1,191.1,181.43677
2023-06-29T20:00:00.000000000,2024-07-17 00:00:00,3.1,194.72,186.43664
2023-06-29T21:00:00.000000000,2024-07-17 00:00:00,3.1,198.76,190.06366
2023-06-29T22:00:00.000000000,2024-07-17 00:00:00,3.1,207.5,193.23626
2023-06-29T23:00:00.000000000,2024-07-17 00:00:00,3.1,214.05,196.65519
2023-06-30T00:00:00.000000000,2024-07-17 00:00:00,3.1,217.62,207.2303
2023-06-30T01:00:00.000000000,2024-07-17 00:00:00,3.1,216.45,210.70185
2023-06-30T02:00:00.000000000,2024-07-17 00:00:00,3.1,214.43,209.95875
2023-06-30T03:00:00.000000000,2024-07-17 00:00:00,3.1,205.57,204.91307
2023-06-30T04:00:00.000000000,2024-07-17 00:00:00,3.1,188.85,196.02625
2023-06-30T05:00:00.000000000,2024-07-17 00:00:00,3.1,183.49,186.32617
2023-06-30T06:00:00.000000000,2024-07-17 00:00:00,3.1,185.53,177.49081
2023-06-30T07:00:00.000000000,2024-07-17 00:00:00,3.1,188.26,171.2761
2023-06-30T08:00:00.000000000,2024-07-17 00:00:00,3.1,187.84,168.08251
2023-06-30T09:00:00.000000000,2024-07-17 00:00:00,3.1,189.27,166.63131
2023-06-30T10:00:00.000000000,2024-07-17 00:00:00,3.1,195.52,165.68808
2023-06-30T11:00:00.000000000,2024-07-17 00:00:00,3.1,199.42,164.19678
2023-06-30T12:00:00.000000000,2024-07-17 00:00:00,3.1,199.63,162.42918
2023-06-30T13:00:00.000000000,2024-07-17 00:00:00,3.1,199.37,160.29732
2023-06-30T14:00:00.000000000,2024-07-17 00:00:00,3.1,200.67,159.29144
2023-06-30T15:00:00.000000000,2024-07-17 00:00:00,3.1,195.42,159.17905
2023-06-30T16:00:00.000000000,2024-07-17 00:00:00,3.1,190.99,160.023
2023-06-30T17:00:00.000000000,2024-07-17 00:00:00,3.1,188.64,161.93662
2023-06-30T18:00:00.000000000,2024-07-17 00:00:00,3.1,189.18,165.47322
2023-06-30T19:00:00.000000000,2024-07-17 00:00:00,3.1,190.79,171.03409
2023-06-30T20:00:00.000000000,2024-07-17 00:00:00,3.1,196.59,177.81406
2023-06-30T21:00:00.000000000,2024-07-17 00:00:00,3.1,199.6,183.78163
2023-06-30T22:00:00.000000000,2024-07-17 00:00:00,3.1,204.81,189.88798
2023-06-30T23:00:00.000000000,2024-07-17 00:00:00,3.1,203.07,196.72383
2023-07-01T00:00:00.000000000,2024-07-17 00:00:00,3.1,203.1,210.26191
2023-07-01T01:00:00.000000000,2024-07-17 00:00:00,3.1,203.55,214.55972
2023-07-01T02:00:00.000000000,2024-07-17 00:00:00,3.1,204.11,213.89815
2023-07-01T03:00:00.000000000,2024-07-17 00:00:00,3.1,205.95,208.13832
2023-07-01T04:00:00.000000000,2024-07-17 00:00:00,3.1,205.09,197.81099
2023-07-01T05:00:00.000000000,2024-07-17 00:00:00,3.1,203.83,186.43836
2023-07-01T06:00:00.000000000,2024-07-17 00:00:00,3.1,209.57,176.20294
2023-07-01T07:00:00.000000000,2024-07-17 00:00:00,3.1,208.87,169.03074
2023-07-01T08:00:00.000000000,2024-07-17 00:00:00,3.1,212.41,165.46462
2023-07-01T09:00:00.000000000,2024-07-17 00:00:00,3.1,218.27,164.09353
2023-07-01T10:00:00.000000000,2024-07-17 00:00:00,3.1,221.71,163.46556
2023-07-01T11:00:00.000000000,2024-07-17 00:00:00,3.1,231.61,162.26279
2023-07-01T12:00:00.000000000,2024-07-17 00:00:00,3.1,242.48,160.54954
2023-07-01T13:00:00.000000000,2024-07-17 00:00:00,3.1,243.58,158.32267
2023-07-01T14:00:00.000000000,2024-07-17 00:00:00,3.1,228.65,157.13188
2023-07-01T15:00:00.000000000,2024-07-17 00:00:00,3.1,201.42,156.80002
2023-07-01T16:00:00.000000000,2024-07-17 00:00:00,3.1,195.57,157.42834
2023-07-01T17:00:00.000000000,2024-07-17 00:00:00,3.1,183.26,159.22349
2023-07-01T18:00:00.000000000,2024-07-17 00:00:00,3.1,182.34,162.86131
2023-07-01T19:00:00.000000000,2024-07-17 00:00:00,3.1,179.43,168.85264
2023-07-01T20:00:00.000000000,2024-07-17 00:00:00,3.1,178.55,176.29188
2023-07-01T21:00:00.000000000,2024-07-17 00:00:00,3.1,178.99,183.02175
2023-07-01T22:00:00.000000000,2024-07-17 00:00:00,3.1,177.32,190.08764
2023-07-01T23:00:00.000000000,2024-07-17 00:00:00,3.1,185.27,198.10093
2023-07-02T00:00:00.000000000,2024-07-17 00:00:00,3.1,193.03,205.25289
2023-07-02T01:00:00.000000000,2024-07-17 00:00:00,3.1,194.78,210.22445
2023-07-02T02:00:00.000000000,2024-07-17 00:00:00,3.1,195.47,210.56437
2023-07-02T03:00:00.000000000,2024-07-17 00:00:00,3.1,194.27,206.10073
2023-07-02T04:00:00.000000000,2024-07-17 00:00:00,3.1,193.1,196.95921
2023-07-02T05:00:00.000000000,2024-07-17 00:00:00,3.1,196.46,186.26067
2023-07-02T06:00:00.000000000,2024-07-17 00:00:00,3.1,203.16,176.073
2023-07-02T07:00:00.000000000,2024-07-17 00:00:00,3.1,207.87,168.37324
2023-07-02T08:00:00.000000000,2024-07-17 00:00:00,3.1,209.89,163.80686
2023-07-02T09:00:00.000000000,2024-07-17 00:00:00,3.1,209.42,161.62121
2023-07-02T10:00:00.000000000,2024-07-17 00:00:00,3.1,209.25,160.81565
2023-07-02T11:00:00.000000000,2024-07-17 00:00:00,3.1,210.69,160.122
2023-07-02T12:00:00.000000000,2024-07-17 00:00:00,3.1,211.42,159.18191
2023-07-02T13:00:00.000000000,2024-07-17 00:00:00,3.1,210.36,157.74252
2023-07-02T14:00:00.000000000,2024-07-17 00:00:00,3.1,203.1,157.07669
2023-07-02T15:00:00.000000000,2024-07-17 00:00:00,3.1,195.13,156.86433
2023-07-02T16:00:00.000000000,2024-07-17 00:00:00,3.1,186.67,157.1863
2023-07-02T17:00:00.000000000,2024-07-17 00:00:00,3.1,166.55,158.40041
2023-07-02T18:00:00.000000000,2024-07-17 00:00:00,3.1,159.18,161.26658
2023-07-02T19:00:00.000000000,2024-07-17 00:00:00,3.1,161.12,166.43021
2023-07-02T20:00:00.000000000,2024-07-17 00:00:00,3.1,166.96,173.24456
2023-07-02T21:00:00.000000000,2024-07-17 00:00:00,3.1,163.89,179.83923
2023-07-02T22:00:00.000000000,2024-07-17 00:00:00,3.1,184.02,187.08765
2023-07-02T23:00:00.000000000,2024-07-17 00:00:00,3.1,183.29,195.34736
