UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass
2023-05-26 00:00:00,323.0,36.0,693.0,0.0,698.0,0.0,0.0,17.0
2023-05-26 01:00:00,317.0,36.0,694.0,0.0,698.0,0.0,2.0,17.0
2023-05-26 02:00:00,317.0,38.0,693.0,0.0,700.0,0.0,1.0,17.0
2023-05-26 03:00:00,313.0,40.0,693.0,0.0,764.0,1.0,2.0,17.0
2023-05-26 04:00:00,313.0,40.0,693.0,0.0,832.0,12.0,1.0,18.0
2023-05-26 05:00:00,331.0,45.0,693.0,0.0,834.0,33.0,0.0,18.0
2023-05-26 06:00:00,310.0,43.0,693.0,0.0,840.0,61.0,0.0,17.0
2023-05-26 07:00:00,305.0,38.0,692.0,0.0,781.0,90.0,0.0,17.0
2023-05-26 08:00:00,259.0,37.0,693.0,0.0,733.0,115.0,0.0,18.0
2023-05-26 09:00:00,266.0,37.0,692.0,0.0,739.0,149.0,0.0,18.0
2023-05-26 10:00:00,254.0,36.0,692.0,0.0,700.0,185.0,0.0,18.0
2023-05-26 11:00:00,267.0,36.0,693.0,0.0,667.0,191.0,0.0,17.0
2023-05-26 12:00:00,270.0,35.0,693.0,0.0,647.0,181.0,0.0,18.0
2023-05-26 13:00:00,268.0,34.0,692.0,0.0,695.0,131.0,0.0,18.0
2023-05-26 14:00:00,275.0,36.0,692.0,0.0,727.0,90.0,0.0,18.0
2023-05-26 15:00:00,321.0,36.0,692.0,0.0,768.0,65.0,0.0,17.0
2023-05-26 16:00:00,405.0,36.0,692.0,0.0,813.0,38.0,0.0,18.0
2023-05-26 17:00:00,493.0,40.0,693.0,0.0,844.0,14.0,0.0,17.0
2023-05-26 18:00:00,510.0,40.0,692.0,0.0,842.0,1.0,0.0,18.0
2023-05-26 19:00:00,499.0,37.0,693.0,0.0,834.0,0.0,1.0,17.0
2023-05-26 20:00:00,489.0,36.0,693.0,0.0,821.0,0.0,1.0,17.0
2023-05-26 21:00:00,475.0,36.0,693.0,0.0,743.0,0.0,1.0,17.0
2023-05-26 22:00:00,416.0,35.0,693.0,0.0,729.0,0.0,2.0,17.0
2023-05-26 23:00:00,305.0,37.0,693.0,0.0,724.0,0.0,1.0,17.0
