Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,hydro,other
39000,2023-06-16 00:00:00,2024-07-17 00:00:00,3.1,189.79,479.0,236.0
39001,2023-06-16 01:00:00,2024-07-17 00:00:00,3.1,248.85,308.0,235.0
39002,2023-06-16 02:00:00,2024-07-17 00:00:00,3.1,254.6,297.0,236.0
39003,2023-06-16 03:00:00,2024-07-17 00:00:00,3.1,313.03,195.0,233.0
39004,2023-06-16 04:00:00,2024-07-17 00:00:00,3.1,303.99,189.0,212.0
39005,2023-06-16 05:00:00,2024-07-17 00:00:00,3.1,304.24,186.0,209.0
39006,2023-06-16 06:00:00,2024-07-17 00:00:00,3.1,285.43,210.0,207.0
39007,2023-06-16 07:00:00,2024-07-17 00:00:00,3.1,281.29,213.0,204.0
39008,2023-06-16 08:00:00,2024-07-17 00:00:00,3.1,284.0,208.0,203.0
39009,2023-06-16 09:00:00,2024-07-17 00:00:00,3.1,319.62,163.0,204.0
39010,2023-06-16 10:00:00,2024-07-17 00:00:00,3.1,318.92,163.0,203.0
39011,2023-06-16 11:00:00,2024-07-17 00:00:00,3.1,319.79,162.0,203.0
39012,2023-06-16 12:00:00,2024-07-17 00:00:00,3.1,318.92,163.0,203.0
39013,2023-06-16 13:00:00,2024-07-17 00:00:00,3.1,313.09,174.0,208.0
39014,2023-06-16 14:00:00,2024-07-17 00:00:00,3.1,329.8,171.0,230.0
39015,2023-06-16 15:00:00,2024-07-17 00:00:00,3.1,330.59,173.0,234.0
39016,2023-06-16 16:00:00,2024-07-17 00:00:00,3.1,325.42,181.0,236.0
39017,2023-06-16 17:00:00,2024-07-17 00:00:00,3.1,299.56,217.0,236.0
39018,2023-06-16 18:00:00,2024-07-17 00:00:00,3.1,285.69,240.0,237.0
39019,2023-06-16 19:00:00,2024-07-17 00:00:00,3.1,245.24,316.0,235.0
39020,2023-06-16 20:00:00,2024-07-17 00:00:00,3.1,132.91,785.0,236.0
39021,2023-06-16 21:00:00,2024-07-17 00:00:00,3.1,90.51,1258.0,235.0
39022,2023-06-16 22:00:00,2024-07-17 00:00:00,3.1,86.01,1336.0,235.0
39023,2023-06-16 23:00:00,2024-07-17 00:00:00,3.1,86.54,1332.0,236.0
